"disposition","reps"
"ASC, CANB, DES, ILLS, NMC, NY, U",1
"ASC, CS, ENCB, UTEP",1
"ASC, CS, HUEFS, MSC, NA, NMC, NY",1
"ASC, CTES, HUEFS, MBM, UTEP",1
"ASC, CTES, NY, OBI",1
"ASC, DBG, ASC",1
"ASC, DES, NA, SD, WVA",1
"ASC, DES, UTEP",1
"ASC, ENCB, OSC, UTEP",1
"ASC, ENCB, UTEP",1
"ASC, ID, NMC, NY, UMO, UTEP, WVA",1
"ASC, ID, NY, UTEP, WVA",1
"ASC, MEXU, NY, UTEP",1
"ASC, NA, NY",1
"ASC, OBI, UTEP",1
"ASC, RSA, UCR, UTEP",1
"ASC, SJC",1
"ASU, HUEFS, HUEG, UB",1
"ASU,HUFSJ,RB,UB",1
"ASU, OBI, TEX, SD",1
"BLM - PDO",1
"BRIT",1
"BRIT, BRY, DES, MSC, NA, UMO, UT",1
"BRIT, BRY, DES, MSC, NA, UTEP",1
"BRIT, BRY, ID, NY, UCR, UTEP, WV",1
"BRIT, BRY, NY, SD, UTEP",1
"BRIT, CAS, DES, NMC, NY, RM, RSA",1
"BRIT, CS, DES, NY, UTEP",1
"BRIT, CS, MBM, NY, UTEP",1
"BRIT, CS, NY, UTEP",1
"BRIT, CS, UTEP",1
"BRIT, CTES, DES, MSC, NA, UMO, U",1
"BRIT, CTES, MSC, NA, UTEP",1
"BRIT, DAV, ID, NMC, NY, UTEP, WV",1
"BRIT, DES, MSC, NA, UMO, UTEP",1
"BRIT, DES, MSC, NA, UTEP",1
"BRIt, DES, MSC, UTEP",1
"BRIT, DES, NY, OBI, UTEP",1
"BRIT, ID, NO, OS, UTEP",1
"BRIT, ID, NY, UTEP, WVA",1
"BRIT, ID, OS, UMO, UTEP",1
"BRIT, ID, RSA, UTEP, WVA",1
"BRIT, ID, UTEP, WVA",1
"BRIT, MSC, NA, UTEP",1
"BRIT, MSC, UTEP",1
"BRIT, NO, NY, UTEP",1
"BRIT, NY, UTEP",1
"BRIT, OBI, OSC, UTEP",1
"BRIT, OBI, UTEP",1
"BRY, CANB, CS, HUEFS, MS, OSC, U",1
"BRY, CANB, SI, UTEP",1
"BRY, CAS, CS, MSC, NY, RSA, UTEP",1
"BRY, CS, ENCB, UTEP",1
"BRY, CS, UTEP",1
"BRY, CTES, NY, OSC, UTEP",1
"BRY, DES, ID, NY, OS, SD, UCR, U",1
"BRY, DES, NY, RSA, UTEP",1
"BRY, ENCB, MO, NY, RSA, SD, UCR,",1
"BRY, ENCB, MSC, OSC, SD, UCR, WT",1
"BRY, ID, NY, UTEP, WVA",1
"BRY, MBM, NA, UMO, UTEP",1
"BRY, MSC, UMO",1
"BRY, MSC, UTEP",1
"BRY, NY, WVA, UTEP",1
"BRY, OSC, UTEP",1
"BRY, UMO",1
"BYU",1
"CANB, CS, CTES, NA, UTEP",1
"CANB, CS, ENCB, HUEFS, UCR, UTEP",1
"CANB, CS, HUEFS, MSC, UTEP",1
"CANB, CS, HUEFS, OSC, UTEP, WVA",1
"CANB, CS, UTEP",1
"CANB, CTES, E, F, GH, K, MICH, M",1
"CANB, CTES, ENCB, HUEFS, OBI, OS",1
"CANB, CTES, HUEFS, MBM, OBI, OSC",1
"CANB, CTES, HUEFS, MBM, OBI, UTE",1
"CANB, CTES, UC, UTEP",1
"CANB, E, K, UTEP",1
"CANB, ENCB, HUEFS, UCR, UTEP",1
"CANB, ENCB, MSC, NY, OSC, UTEP",1
"CANB, HUEFS, MBM, UTEP",1
"CANB, HUEFS, MSC, UCR, UTEP",1
"CANB, MSC, OSC, UTEP",1
"CAN, DES, ARIZ, ASC, NO",1
"CAS Retention TCM 2017",1
"CAS, RSA",1
"CAY, P VI, U, B, D.S",1
"CR, F, INB, USJ, UTEP",1
"CS, BRY, UTEP",1
"CS, CTES, OBI, MBM, UTEP",1
"CS, ENCB, MSC, UTEP",1
"CS, HUEFS, MSC, NMC, NSW, NY, UT",1
"CS, HUEFS, NMC, UTEP",1
"CS, HUEFS, OSC, UTEP",1
"CS, MSC, NMC, SD, UTEP",1
"CS, MSC, NMC, SD, UTEP, WTS",1
"CS, MSC, NSW, UTEP",1
"CS, MSC, NY, OBI, UTEP",1
"CS, MSC, NY, OSC, UTEP",1
"CS, NMC, OSC, UTEP",1
"CS, RSA, UTEP",1
"CTES, ENCB, HUA, NY, OSC, UTEP",1
"CTES, ENCB, HUEFS, NY, UTEP",1
"CTES, ENCB, MBM, NMC, NY, UTEP",1
"CTES, HUA, NY, OSC, UTEP",1
"CTES, HUA, OSC, UTEP",1
"CTES, HUEFS, NMC, RB, UTEP",1
"CTES, MBM, OSC",1
"CTES, NA, OBI, UTEP",1
"CTES, OSC, UTEP",1
"DBG",1
"DES, ARIZ,",1
"DES, ARIZ, ASC, CANB",1
"DES, ARIZ, ASC, ID, NY, OS, UCR,",1
"DES, ARIZ, ASC, NA,",1
"DES, ARIZ, ASC, NA, MSC",1
"DES, ARIZ, ASC, NA, MSC, UMO, NY",1
"DES, ARIZ, ASC, NA, NO",1
"DES, ARIZ, ASC, NA, NO, UCR",1
"DES, ARIZ, ASC, NA, NY, MSC, UMO",1
"DES, ARIZ, ASC, NA, NY, UCR",1
"DES, ARIZ, ASC, NA, NY, UCR, BRY",1
"DES, ARIZ, ASC, NA, NY, UMO, MSC",1
"DES, ARIZ, ASC, NY",1
"DES, ARIZ, ASC, NY, CANB",1
"DES, ARIZ, ASC, UCR",1
"DES, ARIZ, TAES",1
"DES, ENCB, UTEP",1
"DES, HUEFS, NY, UTEP",1
"DES, MSC, NA, UMO",1
"DES, MSC, OSC, NY, UTEP",1
"DES, NMC, UTEP",1
"DES, NO, OSC, SD",1
"ENCB, MSC, UTEP",1
"ENCB, NY, TEX, UTEP",1
"ENCB, OSC, NY, UCR, UTEP",1
"ENCB, OSC, UTEP",1
"F, GH, MICH, MO, SP, US, UTEP",1
"full specimen at BISH",1
"GCNP, ASC, ASU",1
"GCNP, ASC, DES, ARIZ",1
"HUEFS, MEXU, UTEP",1
"HUEFS, MSC, UTEP",1
"HUEFS, NA, UCR",1
"HUEFS, NMC, UTEP",1
"HUEFS, OSC, UTEP",1
"ID, NMC, OS, UMO, UTEP",1
"ID, NMC, UTEP, WVA",1
"ID, NO, OS, SD, UMO, UTEP, WVA",1
"ID, OS, NMC, UTEP",1
"ID, OS, UTEP",1
"In Collection",1
"JGCC",1
"Lost",1
"LOST",1
"Male",1
"MBM, NA, UCR",1
"MBM, UTEP",1
"MEXU, UTEP",1
"MO",1
"MO, QCA",1
"MSC, NA, BRIT",1
"MSC, NA, NY, UCR, UMO",1
