"index.typestatus","reps"
"lectotype of cyclostoma pisum",1
"lectotype of cyclostoma proximum",1
"lectotype of cyclostoma pulchrius",1
"lectotype of cyclostoma pupoides",1
"lectotype of cyclostoma qinquefasciatum",1
"lectotype of cyclostoma retrorsum",1
"lectotype of cyclostoma roemeri arguesi",1
"lectotype of cyclostoma roseum",1
"lectotype of cyclostoma sculptum",1
"lectotype of cyclostoma seminudum",1
"lectotype of cyclostoma sericinum",1
"lectotype of cyclostoma serriferum",1
"lectotype of cyclostoma shepardianum",1
"lectotype of cyclostoma simulans",1
"lectotype of cyclostoma spinulosm",1
"lectotype of cyclostoma tahitiensis",1
"lectotype of cyclostoma tappianianum",1
"lectotype of cyclostoma tectilabre",1
"lectotype of cyclostoma tentorium",1
"lectotype of cyclostoma tenuistriatum",1
"lectotype of cyclostoma umbricola",1
"lectotype of cyclostoma undosum",1
"lectotype of cyclostoma variable",1
"lectotype of cyclostoma varians",1
"lectotype of cyclostoma wilkinsonii",1
"lectotype of cyclostoma xanthostomum albilabre",1
"lectotype of cyclostoma yallahense",1
"lectotype of cyclostoma zonata",1
"lectotype of cyclotus ziczac",1
"lectotype of cylindra formosa",1
"lectotype of cylindrella agnesiana",1
"lectotype of cylindrella alba",1
"lectotype of cylindrella alba striatula",1
"lectotype of cylindrella aspera",1
"lectotype of cylindrella augustae",1
"lectotype of cylindrella beardsleana",1
"lectotype of cylindrella carnea",1
"lectotype of cylindrella carnea cerina",1
"lectotype of cylindrella columna",1
"lectotype of cylindrella columna intermedia",1
"lectotype of cylindrella cumingii",1
"lectotype of cylindrella cylindrus",1
"lectotype of cylindrella elatior",1
"lectotype of cylindrella gravesii",1
"lectotype of cylindrella greyana",1
"lectotype of cylindrella inornata",1
"lectotype of cylindrella lata",1
"lectotype of cylindrella maugeri bicincta",1
"lectotype of cylindrella maugeri cinerea",1
"lectotype of cylindrella maugeri citrina",1
"lectotype of cylindrella maugeri levis",1
"lectotype of cylindrella maugeri nigrescens",1
"lectotype of cylindrella maugeri rufilabris",1
"lectotype of cylindrella maugeri sinuata",1
"lectotype of cylindrella maugeri solida",1
"lectotype of cylindrella maugeri striata",1
"lectotype of cylindrella maugeri tessellata",1
"lectotype of cylindrella maugeri tricolor",1
"lectotype of cylindrella maugeri unicolor",1
"lectotype of cylindrella maugeri valida",1
"lectotype of cylindrella megacheila",1
"lectotype of cylindrella montana",1
"lectotype of cylindrella perlata",1
"lectotype of cylindrella princeps",1
"lectotype of cylindrella procera",1
"lectotype of cylindrella pupaeformis",1
"lectotype of cylindrella pygmaea",1
"lectotype of cylindrella robertsi",1
"lectotype of cylindrella rosea fortis",1
"lectotype of cylindrella rosea magna",1
"lectotype of cylindrella sauvelleana",1
"lectotype of cylindrella seminuda",1
"lectotype of cylindrella similis",1
"lectotype of cylindrella tenella",1
"lectotype of cyllidium nigrellum",1
"lectotype of cymbiodyta blanchardi",1
"lectotype of cymbiodyta morata",1
"lectotype of cymindis punctigera",1
"lectotype of cyparium flavipes",1
"lectotype of cypraea gemmula",1
"lectotype of cyprinodon latifasciatus",1
"lectotype of cyrena maritima| voucher of cyrena maritima",1
"lectotype of cyrena olivacea",1
"lectotype of cyrtusa egena",1
"lectotype of cystiphyllum cicatriciferum| lectotype of cladionophyllum cicatriciferum",1
"lectotype of cystiphyllum nettelrothi| lectotype of hadrophyllum nettelrothi",1
"lectotype of dactylosternum advectum",1
"lectotype of dalium solidum",1
"lectotype of daphnella sandwicensis",1
"lectotype of dasycerus angulicollis",1
"lectotype of dentiora rubida| voucher of dentiora rubida",1
"lectotype of desmometopa tarsalis",1
"lectotype of diaseris crispa",1
"lectotype of dibranchichthys nudivomer| syntype of dibranchichthys nudivomer| voucher of dibranchichthys nudivomer",1
"lectotype of dibranchus hystrix| syntype of dibranchus hystrix| voucher of dibranchus hystrix",1
"lectotype of dibranchus scaber| syntype of dibranchus scaber",1
"lectotype of dicheirus parallelus",1
"lectotype of didea fuscipes",1
"lectotype of didea laxa",1
"lectotype of dilar turcicus| syntype of dilar turcicus",1
"lectotype of dineutes angustus",1
"lectotype of dineutes carolinus",1
"lectotype of dineutes serrulatus",1
"lectotype of diogmites angustipennis",1
"lectotype of diogmites symmachus",1
"lectotype of diphyphyllum bellis| lectotype of hexagonaria bella",1
"lectotype of diphyphyllum conjunctum| lectotype of eridophyllum conjunctum",1
"lectotype of diplesion fasciatus| lectotype of diplesion fasciatus",1
"lectotype of dircaea riversi| syntype of dircaea riversi",1
"lectotype of dircaea sericea| syntype of dircaea sericea",1
"lectotype of donax flexuosus",1
"lectotype of drapetis divergens",1
"lectotype of drillia reciproca",1
"lectotype of drosophila sigmoides",1
"lectotype of drymaeus sallei",1
"lectotype of dyschirius basalis",1
"lectotype of dyschirius dentiger",1
"lectotype of dyschirius erythrocerus",1
"lectotype of dyschirius hispidus",1
"lectotype of dyschirius patruelis",1
"lectotype of dyschirius pilosus",1
"lectotype of echinocoleus setiger",1
"lectotype of eiconaxius faxoni| voucher of eiconaxius albatrossae| holotype of eiconaxius albatrossae",1
"lectotype of elanura forficata",1
"lectotype of emmonsia amplissima| lectotype of favosites amplissimus",1
"lectotype of emmonsia eximia| lectotype of favosites eximius",1
"lectotype of emoda bayamensis| voucher of helicina bayamensis",1
"lectotype of emoda briarea| voucher of helicina briarea",1
"lectotype of engina nodicostata",1
"lectotype of engina variabilis",1
"lectotype of eoharpes uniserialis| lectotype of dolichoharpes uniserialis",1
"lectotype of eotermes grandaeva statz, 1939",1
"lectotype of epeira silvatica| syntype of epeira silvatica",1
"lectotype of ephemerella hecuba",1
"lectotype of erato cypraeoides",1
"lectotype of erato leucophaea",1
"lectotype of erchomus politus",1
"lectotype of eristalis atriceps",1
"lectotype of eristalis hirtus",1
"lectotype of eristalis inornatus",1
"lectotype of eristalis latifrons",1
"lectotype of eristalis obscurus",1
"lectotype of eristalis pilosus",1
"lectotype of eristalis stipator",1
"lectotype of ervilia concentrica",1
"lectotype of erythraeus remotus| paralectotype of erythraeus remotus",1
"lectotype of etheria caillaudi",1
"lectotype of eulima aciculata",1
"lectotype of eunephthya nigra| syntype of nephthya nigra",1
"lectotype of eupeodes volucris",1
"lectotype of eurytrichus flebilis",1
"lectotype of eutrochatella pulchella",1
"lectotype of eutrochatella pulchella multicarinata",1
"lectotype of euxesta nitidiventris",1
"lectotype of evarthrus acutus",1
"lectotype of evarthrus convivus",1
"lectotype of evarthrus englemanni",1
"lectotype of evarthrus fatuus",1
"lectotype of evarthrus furtivus",1
"lectotype of evarthrus latebrosus",1
"lectotype of evarthrus nonnitens",1
"lectotype of evarthrus rotundatus",1
"lectotype of evarthrus sallei",1
"lectotype of evarthrus torvus",1
"lectotype of evarthrus vinctus",1
"lectotype of exochomus guexi",1
"lectotype of exochomus pleuralis",1
"lectotype of exoprosopa parva",1
"lectotype of falagria cingulata",1
"lectotype of falagria partita",1
"lectotype of favosites arbor| lectotype of favosites frutex| lectotype of bractea frutex",1
"lectotype of favosites convexus| lectotype of emmonsia convexa",1
"lectotype of favosites mundus| syntype of favosites mundus",1
"lectotype of favosites proximatus| lectotype of favosites proximus",1
"lectotype of feronia abdominalis",1
"lectotype of feronia brevoorti",1
"lectotype of feronia colossus",1
"lectotype of feronia corax",1
"lectotype of feronia lixa",1
"lectotype of feronia ovipennis",1
"lectotype of feronia praetermissus",1
"lectotype of feronia seximpressus",1
"lectotype of feronia sodalis",1
"lectotype of feronia substriatus",1
"lectotype of feronia vagans",1
"lectotype of fidia cana| syntype of fidia cana",1
"lectotype of fissurella fluviana",1
"lectotype of formica cinerea var. neocinerea| syntype of formica cinerea var. neocinerea",1
"lectotype of formica fusca pruinosa| syntype of formica fusca pruinosa",1
"lectotype of formica fusca pruinosa var. lutescens| syntype of formica fusca pruinosa var. lutescens",1
"lectotype of formica moki| syntype of formica moki",1
"lectotype of fusus benthalis",1
"lectotype of gamasus attenuipes",1
"lectotype of gamasus calcarator| paralectotype of gamasus calcarator",1
"lectotype of gamasus frontalis",1
"lectotype of gamasus partitus| voucher of gamasus partitus",1
"lectotype of gamasus predator",1
"lectotype of gambusia puncticulata| lectotype of gambusia puncticulata",1
"lectotype of garyops depressa",1
"lectotype of garypus californicus",1
"lectotype of garypus floridensis",1
"lectotype of gasteropelecus fasciatus| syntype of gasteropelecus fasciatus",1
"lectotype of gastrotrypes caudatus| holotype of gastrotrypes caudatus",1
"lectotype of gaurodytes aeneolus",1
"lectotype of gaurodytes disintegratus",1
"lectotype of gaurodytes inscriptus",1
"lectotype of gaurodytes intersecta",1
"lectotype of gaurodytes suturalis",1
"lectotype of gaza fischeri| additional material of gaza fischeri",1
"lectotype of gemma manhattensis",1
"lectotype of geomelania alata",1
"lectotype of geomelania conica",1
"lectotype of geomelania costulosa",1
"lectotype of geomelania procera",1
"lectotype of geomelania sinuosa",1
"lectotype of glaphurus pustulatus",1
"lectotype of gnathophysa rubido",1
"lectotype of goerodes abrupta",1
"lectotype of goerodes apoanus",1
"lectotype of goleta workmanii| paralectotype of goleta workmanii",1
"lectotype of goniobasis ozarkensis",1
"lectotype of grystes nobilis",1
"lectotype of gulella phalanga",1
"lectotype of gulella simplex",1
"lectotype of gulella trifolium",1
"lectotype of gyrinophilus porphyriticus danielsi",1
"lectotype of habrocerus schwarzii",1
"lectotype of hadrotes extensus",1
"lectotype of haliplus tumidus",1
"lectotype of halysites nexus| lectotype of cystihalysites nexus",1
"lectotype of haploderus linearis",1
"lectotype of harpalus carbonatus",1
"lectotype of harpalus ellipsis",1
"lectotype of harpalus fallax",1
"lectotype of harpalus foveicollis",1
"lectotype of harpalus fraternus",1
"lectotype of harpalus funestus",1
"lectotype of harpalus impiger| syntype of harpalus impiger",1
"lectotype of harpalus laticeps",1
"lectotype of harpalus lewisii",1
"lectotype of harpalus megacephalus",1
"lectotype of harpalus montanus",1
"lectotype of harpalus proximus",1
"lectotype of harpalus rufimanus",1
"lectotype of harpalus ventralis",1
"lectotype of hastula suffusa",1
"lectotype of helicina affinis",1
"lectotype of helicina albolabris",1
"lectotype of helicina ampliata",1
"lectotype of helicina (articallosa) rubicunda",1
"lectotype of helicina bellula peripherica",1
"lectotype of helicina bellula suturalis",1
"lectotype of helicina ciliata",1
"lectotype of helicina cisnerosi",1
"lectotype of helicina citrinolabris",1
"lectotype of helicina conica",1
"lectotype of helicina consanguinea",1
"lectotype of helicina consanguinea soror",1
"lectotype of helicina corrugaton",1
"lectotype of helicina depressa valida| voucher of helicina depressa valida",1
"lectotype of helicina erythraea citrinacallosa",1
"lectotype of helicina glabra",1
"lectotype of helicina granum| neotype of helicina granum",1
"lectotype of helicina hirsuta",1
"lectotype of helicina hollandi",1
"lectotype of helicina jugulata",1
"lectotype of helicina laciniosa",1
"lectotype of helicina lineata",1
"lectotype of helicina littoricola",1
"lectotype of helicina macilenta",1
"lectotype of helicina megastoma",1
"lectotype of helicina mestrei",1
"lectotype of helicina microstoma",1
"lectotype of helicina neritella angulata",1
"lectotype of helicina nodae",1
"lectotype of helicina nuda",1
"lectotype of helicina palliata",1
"lectotype of helicina palliata labiosa",1
"lectotype of helicina pfeifferiana",1
"lectotype of helicina rotelloidea",1
"lectotype of helicina rubella",1
"lectotype of helicina rugulosa",1
"lectotype of helicina solida",1
"lectotype of helicina solitaria",1
"lectotype of helicina spectabilis",1
"lectotype of helicina subanguiculata",1
"lectotype of helicina subunguiculata",1
"lectotype of helicina tenuis",1
"lectotype of helicina wrighti",1
"lectotype of heliophyllum ethelanum| lectotype of cyathophyllum ethelanum",1
"lectotype of helix aeruginosa",1
"lectotype of helix alligans",1
"lectotype of helix alveus",1
"lectotype of helix anguina",1
"lectotype of helix anomala convexa",1
"lectotype of helix anomala pallescens",1
"lectotype of helix anthoniana",1
"lectotype of helix arboreoides",1
"lectotype of helix augustispira",1
"lectotype of helix auriformis",1
"lectotype of helix bainbridgei pretiosa",1
"lectotype of helix bitaeniata",1
"lectotype of helix blandiana",1
"lectotype of helix blomfieldi",1
"lectotype of helix brevis",1
"lectotype of helix bursatella",1
"lectotype of helix cara",1
"lectotype of helix cara media",1
"lectotype of helix cesticulus",1
"lectotype of helix chittyana",1
"lectotype of helix collumellata",1
"lectotype of helix connectens",1
"lectotype of helix consanguinea",1
"lectotype of helix consanguinea carinata",1
"lectotype of helix consanguinea imperforata",1
"lectotype of helix conula",1
"lectotype of helix daedalea",1
"lectotype of helix depressiformis",1
"lectotype of helix devia",1
"lectotype of helix dilatata",1
"lectotype of helix diminuta",1
"lectotype of helix discoricola",1
"lectotype of helix downieana",1
"lectotype of helix epistyliulum",1
"lectotype of helix epistylium delaminata",1
"lectotype of helix fabrefacta",1
"lectotype of helix foremaniana",1
"lectotype of helix fortis",1
"lectotype of helix fuscocincta",1
"lectotype of helix fuscolabris",1
"lectotype of helix fuscula",1
"lectotype of helix graminicola",1
"lectotype of helix hollandi| lectotype of helix foremaniana",1
"lectotype of helix immunda",1
"lectotype of helix inconspicua",1
"lectotype of helix infrendens",1
"lectotype of helix ingens",1
"lectotype of helix ingens imperforata",1
"lectotype of helix ingens indigna",1
"lectotype of helix invalida",1
"lectotype of helix jayana",1
"lectotype of helix labiosa",1
"lectotype of helix lawi",1
"lectotype of helix loxodon",1
"lectotype of helix macmurrayi",1
"lectotype of helix macroglossa",1
"lectotype of helix maxillata",1
"lectotype of helix munda",1
"lectotype of helix (nanina) rubricata",1
"lectotype of helix nemoraloides",1
"lectotype of helix normalis",1
"lectotype of helix oconnellensis",1
"lectotype of helix osculans",1
"lectotype of helix osculans delaminata",1
"lectotype of helix pauper",1
"lectotype of helix peraffinis",1
"lectotype of helix picturata",1
"lectotype of helix pila",1
"lectotype of helix propenuda",1
"lectotype of helix pulchrior",1
"lectotype of helix pupula",1
"lectotype of helix repercussa",1
"lectotype of helix retrorsa",1
"lectotype of helix ruida",1
"lectotype of helix selenina",1
"lectotype of helix sincera",1
"lectotype of helix spreta",1
"lectotype of helix stellula",1
"lectotype of helix strangulata",1
"lectotype of helix subconica",1
"lectotype of helix subpyramidalis",1
"lectotype of helix swainsoniana",1
"lectotype of helix tenerrima",1
"lectotype of helix torrefacta",1
"lectotype of helix tumulus",1
"lectotype of helix tunicata",1
"lectotype of helix valida",1
"lectotype of helix virginea",1
"lectotype of helix vultuosa",1
"lectotype of helophilus divisus",1
"lectotype of helophilus glacialis",1
"lectotype of helophilus hamatus",1
"lectotype of helophilus integer",1
"lectotype of helophilus laetus",1
"lectotype of helophilus latifrons",1
"lectotype of helophilus obscurus",1
"lectotype of helophilus obsoletus",1
"lectotype of helophilus polygrammus",1
"lectotype of helophorus alternatus",1
"lectotype of helophorus fortis",1
"lectotype of helophorus lacustris",1
"lectotype of helophorus oblongus",1
"lectotype of helophorus obscurus",1
"lectotype of helophorus scaber",1
"lectotype of hemicystites granulatus| lectotype of cystaster granulatus",1
"lectotype? of hemitrochus multifasciatus",1
"lectotype of heptapterus eigenmanni| syntype of heptapterus eigenmanni",1
"lectotype of heraclea regia",1
"lectotype of heraclea sanguinea",1
"lectotype of hesperia eos| syntype of hesperia eos",1
"lectotype of hesperomys gossypinus",1
"lectotype of hippelates flavipes| syntype of hippelates flavipes",1
"lectotype of hippodamia ambigua",1
"lectotype of hippodamia moesta",1
"lectotype of hippodamia punctulata",1
"lectotype of hister spretus",1
"lectotype of hister ulkei",1
"lectotype of holciophorus serripes",1
"lectotype of holothuria (cystipus) rigida| syntype of stichopus rigidus",1
"lectotype of hyalina simulans",1
"lectotype of hyboaspis depressa| syntype of hyboaspis depressa",1
"lectotype of hydnobius longulus",1
"lectotype of hydnobius pumilus",1
"lectotype of hydnobius strigilatus",1
"lectotype of hydractinia polyclina| syntype of hydractinia polyclina",1
"lectotype of hydrobius cuspidatus",1
"lectotype of hydrocharis glaucus",1
"lectotype of hydrochus foveatus",1
"lectotype of hydroporus concinnus",1
"lectotype of hydroporus erythrostomus",1
"lectotype of hydroporus eximius",1
"lectotype of hydroporus fortis",1
"lectotype of hydroporus humeralis",1
"lectotype of hydroporus macularis",1
"lectotype of hydroporus obscurellus",1
"lectotype of hydroporus picturatus",1
"lectotype of hydroporus plicipennis",1
"lectotype of hydroporus quadrimaculatus",1
"lectotype of hydroporus varians",1
"lectotype of hyperaspis annexa",1
"lectotype of hyperaspis bolteri",1
"lectotype of hyperaspis cruenta",1
"lectotype of hyperaspis disconotata",1
"lectotype of hyperaspis gemina",1
"lectotype of hyperaspis lewisii",1
"lectotype of hyperaspis moerens",1
"lectotype of hyperaspis osculans",1
"lectotype of hyperaspis postica",1
"lectotype of hyperaspis punctata",1
"lectotype of hyperaspis taedata",1
"lectotype of hyperaspis tristis",1
"lectotype of hyperaspis vittigera",1
"lectotype of hyperetes tessulatus| syntype of hyperetes tessulatus",1
"lectotype of hyphessobrycon melazonatus",1
"lectotype of hypocyptus crotchi",1
"lectotype of hypulus fulminans| syntype of hypulus fulminans",1
"lectotype of icius cinctipes",1
"lectotype of icius floridanus",1
"lectotype of icius peckhamae",1
"lectotype of icius wickhamii",1
"lectotype of ilybiosoma regularis",1
"lectotype of iowaphyllum knotti| lectotype of strombodes knotti",1
"lectotype of iphthimus serratus var. lewisii| syntype of iphthimus serratus var. lewisii",1
"lectotype of ipnops agassizii",1
"lectotype of iridomyrmex keiteli var. flavescens",1
"lectotype of isoplastus fossor",1
"lectotype of isthmia bollesiana",1
"lectotype of isthmia corpulenta",1
"lectotype of isthmia ventricosa",1
"lectotype of jaminia producta",1
"lectotype of jaminia seminuda",1
"lectotype of laasbium agassizii",1
"lectotype of labichthys bowersii",1
"lectotype of labidodemas semperianum| syntype of labidodemas semperianum",1
"lectotype of labiduromma labens",1
"lectotype of labiella compacta",1
"lectotype of laccobius ellipticus",1
"lectotype of laccophilus quadrilineatus",1
"lectotype of lacuna neritoidea",1
"lectotype of laemophloeus convexulus",1
"lectotype of laemophloeus geminatus",1
"lectotype of laemophloeus nitens",1
"lectotype of laemophloeus punctatus",1
"lectotype of laemophloeus zimmermanni",1
"lectotype of lanceolites compactus| figured of lanceolites compactus",1
"lectotype of lanxania obscura",1
"lectotype of lasiopogon opaculus| syntype of lasiopogon opaculus",1
"lectotype of lasiopogon tetragrammus| syntype of lasiopogon tetragrammus",1
"lectotype of lasius californicus| syntype of lasius interjectus californicus",1
"lectotype of lathrium convexicolle",1
"lectotype of lathrobium anale",1
"lectotype of lathrobium brevipenne",1
"lectotype of lathrobium californicum",1
"lectotype of lathrobium concolor",1
"lectotype of lathrobium confusum",1
"lectotype of lathrobium debile",1
"lectotype of lathrobium divisum",1
"lectotype of lathrobium grande",1
"lectotype of lathrobium jacobinum",1
"lectotype of lathrobium lituarium",1
"lectotype of lathrobium nigrum",1
"lectotype of lathrobium nitidulum",1
"lectotype of lathrobium othioides",1
"lectotype of lathrobium pallidulum",1
"lectotype of lathrobium pedale",1
"lectotype of lathrobium puncticeps",1
"lectotype of lathrobium punctulatum",1
"lectotype of lathrobium simile",1
"lectotype of lathrobium simplex",1
"lectotype of lathrobium subseriatum",1
"lectotype of lathrobium tenue",1
"lectotype of lathrobium ventrale",1
"lectotype of latirus granulosus",1
"lectotype of latirus liratus",1
"lectotype of latirus polygonus",1
"lectotype of lauxania albovittata",1
"lectotype of leda unca",1
"lectotype of leimadophis parvifrons niger",1
"lectotype of leiobunum parvulum",1
"lectotype of leiodes basalis",1
"lectotype of leiodes dichroa",1
"lectotype of leiodes geminata",1
"lectotype of leiodes globosa",1
"lectotype of leiodes polita",1
"lectotype of leptacinus brunnescens",1
"lectotype of leptacinus flavipes",1
"lectotype of leptacinus grandiceps",1
"lectotype of leptacinus longicollis",1
"lectotype of leptacinus nigritulus",1
"lectotype of leptacinus ruficollis",1
"lectotype of leptacinus seriatus",1
"lectotype of leptinillus validus",1
"lectotype of leptinus americanus",1
"lectotype of leptis costata",1
"lectotype of leptis dimidiata",1
"lectotype of leptodactylus validus",1
"lectotype of leptolinus parcus",1
"lectotype of leptolinus rubripennis",1
"lectotype of leptothyra costata",1
"lectotype of lepus auduboni",1
"lectotype of lepus washingtoni",1
"lectotype of leuronychus pacificus",1
"lectotype of liancalus querulus| syntype of liancalus querulus",1
"lectotype of lima cyclostoma",1
"lectotype of limnaea turgidula",1
"lectotype of limnea pallida",1
"lectotype of limnebius suturalis",1
"lectotype of limocina meridionalis",1
"lectotype of linyphia mandibulata",1
"lectotype of liodes blanchardi",1
"lectotype of liodes discolor",1
"lectotype of liodes globosa bicolor",1
"lectotype of litiopa effusa| voucher of litiopa effusa",1
"lectotype of litiopa saxicola| voucher of litiopa saxicola",1
"lectotype of littorina atrata| voucher of littorina atrata",1
"lectotype of littorina dubiosa| voucher of littorina dubiosa",1
"lectotype of littorina foveata| voucher of littorina foveata",1
"lectotype of littorina jamaicensis",1
"lectotype of lobiger viridis",1
"lectotype of lobioptera lacteipennis",1
"lectotype of loricaria lata| syntype of loricaria lata",1
"lectotype of loxandrus reflexus",1
"lectotype of lucidella aureola granulosa",1
"lectotype of lucidella pilsbryi",1
"lectotype of lucina (codakia) parvula",1
"lectotype of lycosa pacifica",1
"lectotype of lymnaea ambigua",1
"lectotype of lymnaea decollata",1
"lectotype of lymnaea lanceata",1
"lectotype of lymnaea virginica",1
"lectotype of lyonsia ventricosa",1
"lectotype of lyropupa striatula",1
"lectotype of mabuya dominicana",1
"lectotype of macroceramus swiftii",1
"lectotype of macrocheles canadensis| paralectotype of macrocheles canadensis",1
"lectotype of macrocheles sublaevis| paralectotype of macrocheles sublaevis",1
"lectotype of macrurus boops",1
"lectotype of macrurus bucephalus| syntype of macrurus bucephalus| additional material of coryphaenoides bucephalus",1
"lectotype of macrurus fragilis",1
"lectotype of macrurus liraticeps",1
"lectotype of mangelia lanceolata",1
"lectotype of mangelia neglecta| voucher of mangelia neglecta",1
"lectotype of mangelia vicina",1
"lectotype of margarita filogyra",1
"lectotype of marginella alba",1
"lectotype of marginella gracilis",1
"lectotype of marginella jewetti",1
"lectotype of marginella minor| voucher of marginella minor",1
"lectotype of marginella nivea",1
"lectotype of marptusa milleri",1
"lectotype of megalacron lambei",1
"lectotype of megalostoma digitale",1
"lectotype of megalostoma leoninum",1
"lectotype of megalostoma mani",1
"lectotype of megalostoma ungula",1
"lectotype of melampus coronatus",1
"lectotype of melania baccata",1
"lectotype of melania contigua",1
"lectotype of melania gloriosa| voucher of melania gloriosa",1
"lectotype of melania gracillima",1
"lectotype of melania grata",1
"lectotype of melania iota| voucher of melania iota",1
"lectotype of melania lachryma",1
"lectotype of melania (melanoides) herculea| additional material of melania (melanoides) herculea",1
"lectotype of melania napella",1
"lectotype of melania pagodula| additional material of melania pagodula",1
"lectotype of melania succinulata",1
"lectotype of melania terpsichore",1
"lectotype of melania triliniata",1
"lectotype of melania versipellis",1
"lectotype of menemerus fannae",1
"lectotype of meoma ventricosa",1
"lectotype of mesogramma parvula",1
"lectotype of mesogramma planiventris",1
"lectotype of mesograpta arcifera",1
"lectotype of microscapha arctica| syntype of microscapha arctica",1
"lectotype of milichiella bisignata",1
"lectotype of mitra exigua| voucher of mitra exigua",1
"lectotype of modulus dorsuosus",1
"lectotype of monodonta livido-maculatus",1
"lectotype of monodonta maculo-striatus",1
"lectotype of monotygma puncticulata",1
"lectotype of monotygma sinuata",1
"lectotype of mucromalia nitidula",1
"lectotype of mucronalia gracilis",1
"lectotype of munida microphthalma| syntype of munida microphthalma",1
"lectotype of munida stimpsoni| syntype of munida stimpsoni",1
"lectotype of myas foveatus",1
"lectotype of mycetina hornii",1
"lectotype of mycetophila scalaris",1
"lectotype of mycetoporus flavicollis",1
"lectotype of mycetoporus pictus",1
"lectotype of mycothera paula",1
"lectotype of mytilus glomeratus",1
"lectotype of myurella costellifera",1
"lectotype of myurella sculptilis",1
"lectotype of nanina striolata",1
"lectotype of nannocrix porethus",1
"lectotype of narica anomala",1
"lectotype of nassa collaria| voucher of nassa collaria",1
"lectotype of nassa corpulenta| voucher of nassa corpulenta",1
"lectotype of nassa gacilis",1
"lectotype of nassa glauca| voucher of nassa glauca",1
"lectotype of nassa obliqua",1
"lectotype of nassa optata",1
"lectotype of nassa panamensis| voucher of nassa panamensis",1
"lectotype of nassa striata| voucher of nassa striata",1
"lectotype of nassa tegula",1
"lectotype of nassa wilsoni| voucher of nassa wilsoni",1
"lectotype of natica caurina",1
"lectotype of natica lewisi",1
"lectotype of nebria hudsonica",1
"lectotype of nebria ingens",1
"lectotype of nebria livida",1
"lectotype of nebria moesta",1
"lectotype of nebria obliqua",1
"lectotype of nebria suturalis",1
"lectotype of nebria trifaria",1
"lectotype of necrophorus defodiens",1
"lectotype of necrophorus lunatus",1
"lectotype of necrophorus pollinctor",1
"lectotype of neoperla remota",1
"lectotype of neoplasta scapularis",1
"lectotype of nephtys discors",1
"lectotype of nephtys squamosa| additional material of nephtys squamosa| syntype of nephtys squamosa",1
"lectotype of nerita angulosa",1
"lectotype of nerita apiata",1
"lectotype of nerita avellana",1
"lectotype of nerita bicanaliculata",1
"lectotype of nerita bicolor",1
"lectotype of nerita cumingiana",1
"lectotype of nerita interrupta",1
"lectotype of nerita olivacea",1
"lectotype of nerita praecognita",1
"lectotype of nerita rugata",1
"lectotype of nerita squamaepicta",1
"lectotype of nerita squarrosa",1
"lectotype of neritilia pusilla| lectotype of neritina pusilla",1
"lectotype of neritina amoena",1
"lectotype of neritina cornu-copiae",1
"lectotype of neritina depressa",1
"lectotype of neritina dispar",1
"lectotype of neritina jamaicensis| syntype of neritina jamaicensis",1
"lectotype of neritina obtusa",1
"lectotype of neritina porcata",1
"lectotype of neritina retifera",1
"lectotype of neritina rudis",1
"lectotype of neritina tenebricosa",1
"lectotype of neritina violacea",1
"lectotype of neritopsis interlirata",1
"lectotype of nesopupa dentifera| voucher of vertigo dentifera",1
"lectotype of nothrus simplex",1
"lectotype of nothrus truncatus| paralectotype of nothrus truncatus",1
"lectotype of notiphila erythrocera",1
"lectotype of nucula cascoensis",1
"lectotype of nucula sapotilla",1
"lectotype of obisium brunneum",1
"lectotype of ochina nigra| syntype of ochina nigra",1
"lectotype of ochthebius cribricollis",1
"lectotype of ochthebius discretus",1
"lectotype of ochthebius foveicollis",1
"lectotype of ochthebius holmbergi",1
"lectotype of ochthebius lineatus",1
"lectotype of ochthebius puncticollis",1
"lectotype of ochthebius sculptus",1
"lectotype of ochthedromus aratus",1
"lectotype of ochthedromus laticollis",1
"lectotype of ochthedromus tessellatus",1
"lectotype of odostomia canaliculata| voucher of eulimastoma canaliculatum",1
"lectotype of odostomia debilis",1
"lectotype of odostomia gemmulosa",1
"lectotype of odostomia ovuloides",1
"lectotype of odostomia polita",1
"lectotype of odostomia solidula",1
"lectotype of odostomia striata",1
"lectotype of oedostethus femoralis| voucher of oedostethus femoralis| syntype of oedostethus femoralis",1
"lectotype of oeneis pusilla",1
"lectotype of ogcocephalus porrectus",1
"lectotype of oligolophus montanus",1
"lectotype of oligotoma westwoodi",1
"lectotype of olisthaerus nitidus",1
"lectotype of oliva inconspicua| voucher of oliva inconspicua",1
"lectotype of olophrum marginatum",1
"lectotype of olpium modestum",1
"lectotype of omophron dentatum",1
"lectotype of omophron gilae",1
"lectotype of omophron nitidum",1
"lectotype of omophron ovale",1
"lectotype of omphalotropis producta",1
"lectotype of omphalotropis robusta",1
"lectotype of omus laevis",1
"lectotype of omus lecontei",1
"lectotype of onota trivittata",1
"lectotype of oodes elegans",1
"lectotype of oodes fluvialis",1
"lectotype of oodes picipes",1
"lectotype of oodes texanus",1
"lectotype of ophonus mutabilis",1
"lectotype of ophonus opacipennis",1
"lectotype of orconectes difficilis| syntype of cambarus difficilis",1
"lectotype of orconectes obscurus| syntype of cambarus obscurus",1
"lectotype of orizabus snowi| syntype of orizabus snowi",1
