"index.typestatus","reps"
"paratype of austinvillia billingsi",26
"paratype of chamaeleo bitaeniatus altaeelgonis",26
"paratype of eleutherodactylus pantoni pentasyringos",26
"paratype of liguus fasciatus walkeri",26
"paratype of lygodactylus picturatus ukerewensis",26
"paratype of marmosa mitis",26
"paratype of pheidole harlequina",26
"paratype of pheidole lancifer",26
"paratype of pheidole monteverdensis",26
"paratype of tabanus cicur",26
"holotype; holotype; holotype",25
"paraleptotype of ulmeriella rottensis statz, 1930",25
"paratype of amphisbaena ionidesii",25
"paratype of eleutherodactylus emiliae",25
"paratype of eleutherodactylus pantoni amiantus",25
"paratype of heliconius charitonius churchi",25
"paratype of lamprolepis smaragdina",25
"paratype of ninia sebae morleyi| additional material of ninia sebae morleyi",25
"paratype of pelusios williamsi williamsi",25
"paratype of spilogale ambarvalis",25
"supplementary type",25
"syntype of allomerus octoarticulatus var. demerarae",25
"voucher of equus niobrarensis, page 51 in <a href=\http://arctos.database.museum/publication/10004547\>harris and porter 1980</a>",25
"voucher of neospongodes portoricensis",25
"voucher of renilla mülleri",25
"voucher of tropiometra carinata",25
"paratype of anolis",24
"paratype of anolis anchicayae",24
"paratype of arthroleptis bequaerti",24
"paratype of batrachylodes minutus",24
"paratype of breviceps usambaricus",24
"paratype of corticeus notialis",24
"paratype of eleutherodactylus casparii",24
"paratype of hemidactylus persimilis",24
"paratype of hyla wilderi",24
"paratype of pheidole scolioceps",24
"paratype of pheidole texticeps",24
"paratype of schoutedenella xenodactyloides nkukae",24
"paratype of sphaerodactylus brevirostris",24
"topotype of strongylopus fasciatus fulleborni",24
"voucher of wiwaxia corrugata",24
"additional material of parabolinella triarthroides",23
"hyptoype",23
"paratype of anolis rupinae",23
"paratype of boulengerula taitanus| additional material of boulengerula taitanus",23
"paratype of draco biaro",23
"paratype of eleutherodactylus turquinensis",23
"paratype of emoia cyanura",23
"paratype of emoia pseudopallidiceps",23
"paratype of orophocrinus macurdai",23
"paratype of peromyscus leucopus ammodytes",23
"paratype of pheidole perpilosa",23
"paratype of praomys tullbergi melanotus",23
"paratype of tipula carpenteri",23
"paratype of tropidophorus berdmorei laotus",23
"paratype. published 1926.",23
"type of nysius stratus",23
