"typeStatus","reps"
"Paratype of Eleutherodactylus librarius",32
"Paratype of Eurycea bislineata wilderae",32
"Paratype of Rana everetti albotuberculata",32
"Syntype of Anolis lividus",32
"Voucher of Paradoxides harlani",32
"Voucher of Semaprochilodus insignis",32
"Additional Material of Oonops balanus",31
"Paratype.",31
"Paratype of Cornufer parkeri parkeri",31
"Paratype of Draco caerulhians",31
"Paratype of Epicauta floridensis",31
"Paratype of Lycaeides melissa samuelis",31
"Paratype of Pheidole otisi",31
"Paratype of Pheidole specularis",31
"Plasto-paratype",31
"Published 2007.Journal of Paleontology, 81(2): 331-351. 2007.",31
"STUDY MATERIAL",31
"Syntype of Cistudo virginea",31
"voucher of <a href=\http://arctos.database.museum/name/Neotoma lepida\>Neotoma lepida</a>, page 281 in <a href=\http://arctos.database.museum/publication/10007813\>Messing 1986</a>",31
"Paratype of Acestrorhynchus altus",30
"Paratype of Anolis allisoni",30
"Paratype of Bufo cubensis",30
"Type of Sciomyza manca",30
"Voucher of Dipturus teevani",30
"Voucher of Onnia ornatus",30
"Durham, 1944.",29
"Paratype of Chilorhinophis carpenteri liwalensis",29
"Paratype of Crotalus triseriatus aquilus",29
"Paratype of Graptemys barbouri",29
"Paratype of Meristoschisma hudsoni",29
"Paratype of Peromyscus insulanus",29
"Syntype of Stichopathes pourtalesi",29
"Voucher of Comanthus parvicirrus",29
"Voucher of Cyrtometopus clavifrons",29
"Voucher of Neocomatella pulchella| Voucher of Antedon pulchella",29
"Additional Material of Polyipnus clarus",28
"Paratype of Acontias percivali| Additional Material of Acontias percivali",28
"Paratype of Anisocentropus nitidus",28
"Paratype of Cnemidophorus arenivagus",28
"Paratype of Dynamine egaea calais",28
"Paratype of Eleutherodactylus lymani",28
"Paratype of Emoia aurulenta",28
"Paratype of Emoia montana",28
"Paratype of Pheidole browni",28
"Paratype of Pheidole coveri",28
"Paratype of Pheidole rugiceps",28
"Paratype of Pristomyrmex wheeleri",28
"Paratype of Tachys fumatus",28
"Voucher of Dictyonema",28
"Voucher of Koryschisma elegans| Paratype of Koryschisma elegans",28
"Paratype of Anolis alumina",27
"Paratype of Discodeles malukuna",27
"Paratype of Hyperolius milnei| Additional Material of Hyperolius milnei",27
"Paratype of Pheidole furtiva",27
"Paratype of Typhlops hectus",27
"Voucher of Eurypterus fischeri",27
"Voucher of Neospongodes agassizii",27
"Additional Material of Mangora sumauma",26
"Holotype and Paratype",26
"Lectotype",26
"Paratype of Arthroleptis adolfifriederici francei",26
"Paratype of Austinvillia billingsi",26
"Paratype of Chamaeleo bitaeniatus altaeelgonis",26
"Paratype of Eleutherodactylus pantoni pentasyringos",26
"Paratype of Liguus fasciatus walkeri",26
"Paratype of Lygodactylus picturatus ukerewensis",26
"Paratype of Marmosa mitis",26
"Paratype of Pheidole harlequina",26
"Paratype of Pheidole lancifer",26
"Paratype of Pheidole monteverdensis",26
"Paratype of Tabanus cicur",26
"paraleptotype of Ulmeriella rottensis Statz, 1930",25
"Paratype of Amphisbaena ionidesii",25
"Paratype of Eleutherodactylus emiliae",25
"Paratype of Eleutherodactylus pantoni amiantus",25
"Paratype of Heliconius charitonius churchi",25
"Paratype of Lamprolepis smaragdina",25
"Paratype of Ninia sebae morleyi| Additional Material of Ninia sebae morleyi",25
"Paratype of Pelusios williamsi williamsi",25
"Paratype of Spilogale ambarvalis",25
"Supplementary Type",25
"Syntype of Allomerus octoarticulatus var. demerarae",25
"voucher of Equus niobrarensis, page 51 in <a href=\http://arctos.database.museum/publication/10004547\>Harris and Porter 1980</a>",25
"Voucher of Neospongodes portoricensis",25
"Voucher of Renilla mülleri",25
"Voucher of Tropiometra carinata",25
"Paratype of Anolis",24
"Paratype of Anolis anchicayae",24
"Paratype of Arthroleptis bequaerti",24
"Paratype of Batrachylodes minutus",24
"Paratype of Breviceps usambaricus",24
"Paratype of Corticeus notialis",24
"Paratype of Eleutherodactylus casparii",24
