"typeStatus","reps"
"Hypotype. This fossil is probably under another Genus now, possibly Latirus eocenica. See also ref. Calif. Acad. Sci. Proc. 4th Series Vol. 5, No. 3 Pl. 8, fig. 6a-c.",1
"Hypotype. This fossil was given catalogue number UW 534 by Weaver, the number was changed since the original number is no longer valid for macrofossils.",1
"Hypotype. This is figured hypotype UW 531 this no. is no longer valid in our present system so has been renumbered as above.",1
"Hypotype. This is figured hypotype U.W. 532, since these figs. are no longer valid for megafossils the sp. no. was changed to the above.",1
"hypotype, topotype",1
"Hypotype. UW P.G., Vol. 5, Pl. 7, Fig. 5+6, Pl. 8, Fig. 2.",1
"Hypotype. Vol. V, Pl. 59, Fig. 15.",1
"Hypotype.Washington Geology, Vo. 26, No. 1, April 1998.  Marine Fauna of the Middle Eocene Tukwila Formation, King County - Elizabet h A. Nesbitt, p. 17.",1
"Hypotype. W.G.S., Bul. 15, Pl. IX, Fig. 77.",1
"hypotytpe",1
"hyptotype",1
"Ichnogenus.",1
"Ideotype",1
"Ideotype of Achatinella mastersi",1
"Ideotype of Achatinella mucronata",1
"Ideotype of Anculosa melanoides",1
"Ideotype of Boreomelon stearnaii",1
"Ideotype of Cerithium irroratum",1
"Ideotype of Cincinnatia petrifons",1
"Ideotype of Columbella subcostulata",1
"Ideotype of Cyclas minor",1
"Ideotype of Gibbula gaudiosa",1
"Ideotype of Goniobasis crenatella",1
"Ideotype of Heleobops docima",1
"Ideotype of Heleobops docina",1
"Ideotype of Helicina albolabris",1
"Ideotype of Helicina microstoma",1
"Ideotype of Helicina subdepressa",1
"Ideotype of Helix fornicata",1
"Ideotype of Leptachatina optabilis",1
"Ideotype of Leptothyra costata",1
"Ideotype of Liocma viridis",1
"Ideotype of Marginella storeria",1
"Ideotype of Melania elliottii",1
"Ideotype of Paludina angulata",1
"Ideotype of Planorbis pallidus",1
"Ideotype of Pleurocera currierianum",1
"Ideotype of Scaphander interruptus",1
"Ideotype of Spilochlamys conica",1
"Ideotype of Unio regularis",1
"Ideotype of Unio woodwardianus",1
"Ideotype of Venericardia borealis novangliae",1
"Ideotype of Vertigo californica",1
"IsoNeotype",1
"isoparatype",1
"ISOPARATYPE?",1
"Isoparatype of Eriogonum brevicaule Nutt. var. promiscuum S.L.Welsh",1
"Isotype!",1
"Isotype?",1
"Isotype (exsicatus)",1
"isoype",1
"lectotype; cotype",1
"lectotype; holotype",1
"lectotype; lectotype",1
"lectotype; lectotype; lectotype",1
"lectotype; lectotype; syntype",1
"Lectotype of Ablautus mimus| Syntype of Ablautus mimus",1
"Lectotype of Acanthogorgia aspera| Syntype of Acanthogorgia aspera",1
"Lectotype of Achatina angiostoma",1
"Lectotype of Achatina blandiana",1
"Lectotype of Achatina costulata",1
"Lectotype of Achatina costulosa",1
"Lectotype of Achatina elegans",1
"Lectotype of Achatina gracilior",1
"Lectotype of Achatina ingallsiana",1
"Lectotype of Achatina inusitata",1
"Lectotype of Achatina iota",1
"Lectotype of Achatina ligata",1
"Lectotype of Achatina longispira",1
"Lectotype of Achatina nemorensis",1
"Lectotype of Achatina nitida",1
"Lectotype of Achatina paritura",1
"Lectotype of Achatina perplexa",1
"Lectotype of Achatina phillipsii",1
"Lectotype of Achatina procera",1
"Lectotype of Achatina propinqua",1
"Lectotype of Achatina proxima",1
"Lectotype of Achatina puella",1
"Lectotype of Achatina similis",1
"Lectotype of Achatina striosa",1
"Lectotype of Achatina turricula",1
"Lectotype of Achatina unicolor",1
"Lectotype of Achatina vicina",1
"Lectotype of Achatinella (Achatinella) mustelina",1
"Lectotype of Achatinella (Bulimella) viridans",1
"Lectotype of Achatinella citrina",1
"Lectotype of Achatinella decepta| Syntype of Achatinella decepta",1
"Lectotype of Achatinella microstoma",1
"Lectotype of Achatinella modesta",1
"Lectotype of Achatinella nubilosa",1
"Lectotype of Achatinella nucleola",1
"Lectotype of Achatinella rubens",1
"Lectotype of Achatinella striatula",1
"Lectotype of Acidota patruelis",1
"Lectotype of Acidota seriata",1
"Lectotype of Acilius simplex",1
"Lectotype of Acrophyllum clarki| Syntype of Acrophyllum clarki",1
"Lectotype of Acropyga dubitata| Syntype of Rhizomyrma dubitata",1
"Lectotype of Adeorbis abjecta| Voucher of Adeorbis abjecta",1
"Lectotype of Aesopus japonicus",1
"Lectotype of Agabus clavatus",1
"Lectotype of Agabus discolor",1
"Lectotype of Agabus discors",1
"Lectotype of Agabus lugens",1
"Lectotype of Agabus obliteratus",1
"Lectotype of Agabus ovoideus",1
"Lectotype of Agabus punctatus",1
"Lectotype of Agabus spilotus",1
"Lectotype of Agabus strigulosus",1
"Lectotype of Agathidium bistriatum",1
"Lectotype of Agathidium californicum",1
"Lectotype of Agathidium effluens",1
"Lectotype of Agathidium globatile",1
"Lectotype of Agathidium pulchrum",1
"Lectotype of Agathidium sexstriatum",1
"Lectotype of Agelacrinus pileus| Lectotype of Carneyella pilea",1
"Lectotype of Agrion bipunctulatum| Syntype of Agrion bipunctulatum",1
"Lectotype of Agrion violaceum| Syntype of Agrion violaceum",1
"Lectotype of Agromyza melampyga",1
"Lectotype of Agromyza neptis",1
"Lectotype of Agromyza parvicornis",1
"Lectotype of Allognosta similis",1
"Lectotype of Alpheus normanni",1
"Lectotype of Alveolites louisvillensis| Syntype of Alveolites louisvillensis",1
"Lectotype of Amara carinata",1
"Lectotype of Amara harpalina",1
"Lectotype of Amara nupera",1
"Lectotype of Amara rectangula",1
"Lectotype of Amara septentrionalis",1
"Lectotype of Amara terrestris",1
"Lectotype of Amartus rufipes",1
"Lectotype of Amastra (Heteramastra) hutchinsonii",1
"Lectotype of Amastra similaris",1
"Lectotype of Amblyctis praeses| Syntype of Amblyctis praeses",1
"Lectotype of Amphidesma jayanum",1
"Lectotype of Amphidesma proximum| Voucher of Amphidesma proximum",1
"Lectotype of Amphisbaena innocens innocens",1
"Lectotype of Amphizoa insolens",1
"Lectotype of Ampullaria balanoidea",1
"Lectotype of Amycus fallax",1
"Lectotype of Anastoechus barbatus",1
"Lectotype of Anculosa corpulenta",1
"Lectotype of Anculosa costatus",1
"Lectotype of Anculosa ornata",1
"Lectotype of Anculosus dentatus",1
"Lectotype of Ancyrophorus planus",1
"Lectotype of Angulaticeras charmassei",1
"Lectotype of Anisodactylus alternans| Syntype of Anisodactylus alternans",1
"Lectotype of Anisodactylus chalceus| Syntype of Anisodactylus chalceus",1
"Lectotype of Anisodactylus confusus",1
"Lectotype of Anisodactylus consobrinus",1
"Lectotype of Anisodactylus harrisii",1
"Lectotype of Anisodactylus nivalis| Syntype of Anisodactylus nivalis",1
"Lectotype of Anisodactylus obtusus",1
"Lectotype of Anisodactylus semipunctatus",1
"Lectotype of Anisodactylus striatus",1
"Lectotype of Anisodactylus viridescens| Syntype of Anisodactylus viridescens",1
"Lectotype of Anisotoma humeralis",1
"Lectotype of Anodon salweniana",1
"Lectotype of Anodonta bellua",1
"Lectotype of Anodonta nicaraguae",1
"Lectotype of Anolis extremus",1
"Lectotype of Anolis sabanus",1
"Lectotype of Anolis speciosus",1
"Lectotype of Anoma levis unicolor",1
"Lectotype of Anomalocardia laptalea",1
"Lectotype of Anomia tenuis| Voucher of Anomia tenuis",1
"Lectotype of Anthrax ceyx",1
"Lectotype of Anthrax flaviceps",1
"Lectotype of Anthrax lepidotoides",1
"Lectotype of Anthrax sagata",1
"Lectotype of Anthrax scrobiculata",1
"Lectotype of Anthrax stenozona",1
"Lectotype of Antipathes fernandezi| Syntype of Antipathes fernandezi",1
"Lectotype of Antipathes lenta",1
"Lectotype of Antipathes thyoides",1
"Lectotype of Anyphaena perpusilla",1
"Lectotype of Apalone spinifera aspera",1
"Lectotype of Aphodius nevadensis| Syntype of Aphodius nevadensis",1
"Lectotype of Arca pholadiformis| Voucher of Arca pholadiformis",1
"Lectotype of Arca similis| Voucher of Arca similis",1
"Lectotype of Arca tabogensis| Voucher of Arca tabogensis",1
"Lectotype of Arcuoblastus shumardi| Voucher of Granatocrinus shumardi| Voucher of Arcuoblastus shumardi| Syntype of Granatocrinus shumardi",1
"Lectotype of Ardistomis schaumi",1
"Lectotype of Argynnis atlantis ab. chemo| Syntype of Argynnis atlantis ab. chemo",1
"Lectotype of Argyromoeba fur",1
"Lectotype of Asellus brevicaudus",1
"Lectotype of Asemonea gracilis",1
"Lectotype of Ashmunella thomsoniana cooperae",1
"Lectotype of Astarte lens",1
"Lectotype of Asteronyx excavata| Syntype of Asteronyx excavata",1
"Lectotype of Asteronyx plana| Syntype of Asteronyx plana",1
"Lectotype of Astrocerium niagarensis| Lectotype of Michelinia niagarensis",1
"Lectotype of Astyanax anterior",1
"Lectotype of Astyanax fasciatus parahybae",1
"Lectotype of Astyanax zonatus",1
"Lectotype of Ataenius patescens",1
"Lectotype of Atemeles cava",1
"Lectotype of Atomaria ephippiata",1
"Lectotype of Atomaria laetula",1
"Lectotype of Atomaria ochracea",1
"Lectotype of Atomaria testacea",1
"Lectotype of Atomosia sayi",1
"Lectotype of Atopsyche batesi| Syntype of Atopsyche batesi",1
"Lectotype of Atopsyche bolivari| Syntype of Atopsyche bolivari",1
"Lectotype of Aulocystis incrustans| Lectotype of Romingeria incrustans",1
"Lectotype of Aulocystis procumbens| Lectotype of Aulopora procumbens",1
"Lectotype of Auricula concinna| Voucher of Auricula concinna",1
"Lectotype of Auricula infrequens| Voucher of Auricula infrequens",1
"Lectotype of Auricula (Leuconia) opportuna",1
"Lectotype of Auricula panamensis| Voucher of Auricula panamensis",1
"Lectotype of Auricula tabogensis| Voucher of Auricula tabogensis",1
"Lectotype of Auriculella ambusta",1
"Lectotype of Auriculella triplicata",1
"Lectotype of Avicula brunnea",1
"Lectotype of Avicula radiata",1
"Lectotype of Axinidris acholli",1
"Lectotype of Baccha cognata",1
"Lectotype of Baccha latiuscula",1
"Lectotype of Baccha longiventris",1
"Lectotype of Baccha lugens",1
"Lectotype of Baccha obscuricornis",1
"Lectotype of Baccha parvicornis",1
"Lectotype of Baccha scutellatus",1
"Lectotype of Bactea arbor",1
"Lectotype of Balanophyllia palifera",1
"Lectotype of Ballus youngii",1
"Lectotype of Barathrodemus manatinus| Syntype of Barathrodemus manatinus",1
"Lectotype of Bembidium approximatum",1
"Lectotype of Bembidium aptum",1
"Lectotype of Bembidium cordatum",1
"Lectotype of Bembidium erasum",1
"Lectotype of Bembidium plagiatum",1
"Lectotype of Bembidium quadrulum",1
"Lectotype of Bembidium stabile",1
"Lectotype of Berosus altus",1
"Lectotype of Bethanyphyllum pocillum| Lectotype of Cyathophyllum pocillum",1
"Lectotype of Bispira polymorpha",1
"Lectotype of Bittium craticulatum",1
"Lectotype of Blandiella reclusa",1
"Lectotype of Bledius analis",1
"Lectotype of Bledius annularis",1
"Lectotype of Bledius basalis",1
"Lectotype of Bledius brevidens",1
"Lectotype of Bledius cognatus",1
"Lectotype of Bledius confusus",1
"Lectotype of Bledius cribricollis",1
"Lectotype of Bledius diagonalis",1
"Lectotype of Bledius dimidiatus",1
"Lectotype of Bledius divisus",1
"Lectotype of Bledius ferratus",1
"Lectotype of Bledius flavipennis",1
"Lectotype of Bledius forcipatus",1
"Lectotype of Bledius fortis",1
"Lectotype of Bledius fumatus",1
"Lectotype of Bledius gularis",1
"Lectotype of Bledius jacobinus",1
"Lectotype of Bledius laticollis",1
"Lectotype of Bledius luteipennis",1
"Lectotype of Bledius nitidiceps",1
"Lectotype of Bledius nitidicollis",1
"Lectotype of Bledius opacifrons",1
"Lectotype of Bledius opaculus",1
"Lectotype of Bledius ornatus",1
"Lectotype of Bledius phytosinus",1
"Lectotype of Bledius pleuralis",1
"Lectotype of Bledius punctatissimus",1
"Lectotype of Bledius rotundicollis",1
"Lectotype of Bledius ruficornis",1
"Lectotype of Bledius semiferrugineus",1
"Lectotype of Bledius sinuatus",1
"Lectotype of Bledius suturalis",1
"Lectotype of Bledius tau",1
"Lectotype of Blothrus packardi",1
"Lectotype of Bocus excelsus| Syntype of Bocus excelsus",1
"Lectotype of Bohemilla stupenda",1
"Lectotype of Bolitobius anticus",1
"Lectotype of Bolitobius gentilis",1
"Lectotype of Bolitobius intrusus",1
"Lectotype of Bolitobius rostratus",1
"Lectotype of Bombylius atriceps| Syntype of Bombylius atriceps",1
"Lectotype of Bombylius aurifer| Syntype of Bombylius aurifer",1
"Lectotype of Bombylius cachinans| Syntype of Bombylius cachinans",1
"Lectotype of Bombylius lancifer",1
"Lectotype of Bombylius pulchellus",1
"Lectotype of Bombylius semirufa",1
"Lectotype of Bombylius validus",1
"Lectotype of Bothrocaropsis elongata| Syntype of Bothrocaropsis elongata",1
"Lectotype of Bothrops caribbaeus",1
"Lectotype of Brachyacantha indubitabilis",1
"Lectotype of Brachycantha bollii",1
"Lectotype of Brachyopa notata",1
"Lectotype of Brachypalpus frontosus",1
"Lectotype of Brachystylus amplicollis",1
"Lectotype of Brachystylus menetriesii",1
"Lectotype of Bractea impedita| Syntype of Favosites impeditus| Lectotype of Favosites impeditus",1
"Lectotype of Broscus approximatus",1
"Lectotype of Broscus laevipennis",1
"Lectotype of Bryaxis befragei",1
"Lectotype of Bryaxis complectens",1
"Lectotype of Bryaxis foveata",1
"Lectotype of Bryobia weyerensis",1
"Lectotype of Bryoporus rubidus",1
"Lectotype of Bryoporus rufescens",1
"Lectotype of Buccinum (Astyris) rosaceum",1
"Lectotype of Buccinum concinnum",1
"Lectotype of Buccinum lugubre| Voucher of Buccinum lugubre",1
"Lectotype of Buccinum obesum",1
"Lectotype of Buccinum stimpsonianum| Voucher of Buccinum stimpsonianum",1
"Lectotype of Buckleya fasciata",1
"Lectotype of Bulimulus immaculatus",1
"Lectotype of Bulimulus sepulchralis",1
"Lectotype of Bulimus anomalus",1
"Lectotype of Bulimus armatus",1
"Lectotype of Bulimus crassilabrum",1
"Lectotype of Bulimus hortensis",1
"Lectotype of Bulimus infracinctus",1
"Lectotype of Bulimus interstinctus",1
"Lectotype of Bulimus laeviusculus",1
"Lectotype of Bulimus minimus",1
"Lectotype of Bulimus mirabilis",1
"Lectotype of Bulimus monodon",1
"Lectotype of Bulimus nitidiusculus",1
"Lectotype of Bulimus ochrostoma",1
"Lectotype of Bulimus pallidus",1
"Lectotype of Bulimus pauperculus",1
"Lectotype of Bulimus quanensis",1
"Lectotype of Bulimus rambiensis",1
"Lectotype of Bulimus ruquatus",1
"Lectotype of Bulimus striatellus",1
"Lectotype of Bulla (Cylichna) luticola| Voucher of Bulla (Cylichna) luticola",1
"Lectotype of Bulla occulta",1
"Lectotype of Bulla (Tornatina) infrequens| Voucher of Bulla (Tornatina) infrequens",1
"Lectotype of Cadulus amiantus",1
"Lectotype of Cadulus watsoni",1
"Lectotype of Caecum eburneum| Voucher of Caecum eburneum",1
"Lectotype of Caecum firmatum| Voucher of Caecum firmatum",1
"Lectotype of Caecum monstrosum| Voucher of Caecum monstrosum",1
"Lectotype of Cafius decipiens",1
"Lectotype of Cafius luteipennis",1
"Lectotype of Cafius opacus",1
"Lectotype of Cafius seminitens",1
"Lectotype of Calliostoma psyche",1
"Lectotype of Callogaza superba",1
"Lectotype of Calopsocus iridescens",1
"Lectotype of Calostylis trigemma| Lectotype of Zaphrentis trigemma",1
"Lectotype of Calyptraea regularis| Voucher of Calyptraea regularis",1
"Lectotype of Camponotus albistramineus",1
"Lectotype of Camponotus altivagans",1
"Lectotype of Camponotus toussainti",1
"Lectotype of Camponotus ustus depolitus",1
"Lectotype of Cancellaria affinis| Voucher of Cancellaria affinis",1
"Lectotype of Carabodes dorsalis",1
"Lectotype of Cardiophorus convexulus",1
"Lectotype of Cardiophorus robustus",1
"Lectotype of Cardium serratum sybariticum",1
"Lectotype of Carebara longula| Syntype of Carebara longula",1
"Lectotype of Caryophyllia antillarum",1
"Lectotype of Cassis umbilicata",1
"Lectotype of Catinella rubida",1
"Lectotype of Catogenus linearis",1
"Lectotype of Catops brachyderus",1
"Lectotype of Catops luridipennis| Syntype of Catops luridipennis",1
"Lectotype of Catops oblitus",1
"Lectotype of Catops pusio",1
"Lectotype of Celaenopsis americana",1
"Lectotype of Cephaloscymnus occidentalis",1
"Lectotype of Cephaloscymnus ornatus",1
"Lectotype of Cephaloscymnus zimmermanni",1
"Lectotype of Ceratinia acceptabilis| Syntype of Ceratinia acceptabilis",1
"Lectotype of Cercyon capillatum",1
"Lectotype of Cercyon indistinctus",1
"Lectotype of Cercyon naviculare",1
"Lectotype of Ceria abbreviata",1
"Lectotype of Ceria tridens",1
"Lectotype of Cerithidea fuscata",1
"Lectotype of Cerithidea tenuis",1
"Lectotype of Cerithium algicola",1
"Lectotype of Cerithium bicolor",1
"Lectotype of Cerithium bimarginatum| Voucher of Cerithium bimarginatum",1
"Lectotype of Cerithium cylindraceum",1
"Lectotype of Cerithium decoratum",1
"Lectotype of Cerithium emersonii",1
"Lectotype of Cerithium famelicum| Voucher of Cerithium famelicum",1
"Lectotype of Cerithium gibberulum",1
"Lectotype of Cerithium greenii",1
"Lectotype of Cerithium intermedium",1
"Lectotype of Cerithium megasoma",1
"Lectotype of Cerithium modestum",1
"Lectotype of Cerithium mutabile",1
"Lectotype of Cerithium neglectum| Voucher of Cerithium neglectum",1
"Lectotype of Cerithium nigrocinctum",1
"Lectotype of Cerithium pauperculum| Voucher of Cerithium pauperculum",1
"Lectotype of Cerithium pulchrum| Voucher of Cerithium pulchrum",1
"Lectotype of Cerithium (Pyrazus) septemradiatum",1
"Lectotype of Cerithium reevianum| Voucher of Cerithium reevianum",1
"Lectotype of Cerithium terebrale",1
"Lectotype of Cerithium validum| Voucher of Cerithium validum",1
"Lectotype of Cerithium variabile",1
"Lectotype of Cerithium versicolor",1
"Lectotype of Cerylon angustulum",1
"Lectotype of Cerylon simplex",1
"Lectotype of Chama buddiana| Voucher of Chama buddiana",1
"Lectotype of Cheilosia capillata",1
"Lectotype of Cheirurus vinculum| Lectotype of Lehua vincula",1
"Lectotype of Chelanops pulchellus",1
"Lectotype of Chelifer fuscipes",1
"Lectotype of Chelifer texanus",1
"Lectotype of Chemnitzia aculeus| Voucher of Chemnitzia aculeus",1
"Lectotype of Chemnitzia affinis| Voucher of Chemnitzia affinis",1
"Lectotype of Chemnitzia clathratula| Voucher of Chemnitzia clathratula",1
"Lectotype of Chemnitzia gracilior| Voucher of Chemnitzia gracilior",1
"Lectotype of Chemnitzia major| Voucher of Chemnitzia major",1
"Lectotype of Chemnitzia marginata| Voucher of Chemnitzia marginata",1
"Lectotype of Chemnitzia panamensis| Voucher of Chemnitzia panamensis",1
"Lectotype of Chemnitzia turrita| Voucher of Chemnitzia turrita",1
"Lectotype of Chilosia comosa",1
"Lectotype of Chilosia cyanescens",1
"Lectotype of Chilosia leucoparea",1
"Lectotype of Chilosia pallipes",1
"Lectotype of Chilosia plumata",1
"Lectotype of Chilosia tristis",1
"Lectotype of Chiton (Acantochaetes) achates",1
"Lectotype of Chiton erythronatus",1
"Lectotype of Chiton squamulosus",1
"Lectotype of Chloroperla coloradensis",1
"Lectotype of Chlorops maculosa",1
"Lectotype of Chlorostoma rugatum",1
"Lectotype of Choanopoma troscheli",1
"Lectotype of Choleva decipiens",1
"Lectotype of Choleva terminans",1
"Lectotype of Chondrella striata",1
"Lectotype? of Chondrocyclas convexiusculus",1
"Lectotype of Chondropoma assimile",1
"Lectotype of Chondropoma biforme",1
"Lectotype of Chondropoma deceptor",1
"Lectotype of Chondropoma egregium uniplicatum",1
"Lectotype of Chondropoma hamlini",1
"Lectotype of Chondropoma oxytremum",1
"Lectotype of Chondropoma sinuosum",1
"Lectotype of Chondropoma terebra",1
"Lectotype of Chondropoma unilabiatum",1
"Lectotype of Chondrothyra egregium",1
"Lectotype of Chonophyllum nanum| Lectotype of Phymatophyllum nanum",1
"Lectotype of Chrysochlamys buccata",1
"Lectotype of Chrysochlamys croesus",1
"Lectotype of Chrysochlamys dives",1
"Lectotype of Chrysochlamys nigripes",1
"Lectotype of Chrysogaster lata",1
"Lectotype of Chrysogaster nigripes",1
"Lectotype of Chrysogaster nigrivittata",1
"Lectotype of Chrysogaster pictipennis",1
"Lectotype of Chrysogaster ustulata",1
"Lectotype of Chrysogorgia squamata| Voucher of Leiogorgia squamata| Syntype of Dasygorgia squamata",1
"Lectotype of Chrysopa annotaria",1
"Lectotype of Chrysopa placita| Syntype of Chrysopa placita",1
"Lectotype of Chrysopilus foedus",1
"Lectotype of Chrysopilus velutina",1
"Lectotype of Chrysops delicatulus",1
"Lectotype of Chrysops striatus",1
"Lectotype of Chthonius coecus",1
"Lectotype of Cicindela anthracina",1
"Lectotype of Cicindela gabbi",1
"Lectotype of Cicindela puritana",1
"Lectotype of Cicindela senilis",1
"Lectotype of Cicindela vibex",1
"Lectotype of Cingula concinna",1
"Lectotype of Cingula inconspicua| Voucher of Cingula inconspicua",1
"Lectotype of Cingula paupercula| Voucher of Cingula paupercula",1
"Lectotype of Cistula inculta",1
"Lectotype of Clambus puberculus",1
"Lectotype of Clambus seminulum",1
"Lectotype of Clambus vulneratus",1
"Lectotype of Clathurella canaliculata",1
"Lectotype of Clathurella violacea| Voucher of Clathurella violacea",1
"Lectotype of Clausilia buccinella",1
"Lectotype of Clausilia cetivora",1
"Lectotype of Clausilia decurtata",1
"Lectotype of Clausilia delavayana",1
"Lectotype of Clausilia fargesiana",1
"Lectotype of Clausilia fargesianella",1
"Lectotype of Clausilia indurata",1
"Lectotype of Clausilia insularis",1
"Lectotype of Clausilia inversa",1
"Lectotype of Clausilia lunatica",1
"Lectotype of Clausilia pagnucciana",1
"Lectotype of Clausilia retorta",1
"Lectotype of Clausilia succinea",1
"Lectotype of Clinocera lineata",1
"Lectotype of Clivina planicollis",1
"Lectotype of Clivina texana",1
"Lectotype of Cneorane femoralis| Syntype of Cneorane femoralis",1
"Lectotype of Coccidula occidentalis",1
"Lectotype of Coccinella lacustris",1
"Lectotype of Coccinella prolongata",1
"Lectotype of Coccinella subversa",1
"Lectotype of Codoma chloristia",1
"Lectotype of Coelosmilia fecunda",1
"Lectotype of Colangia simplex",1
"Lectotype of Colenis impunctata",1
"Lectotype of Colias occidentalis| Lectotype of Colias occidentalis| Syntype of Colias occidentalis",1
"Lectotype of Colletes campoi| Holotype of Colletes campoi",1
"Lectotype of Colon nevadense",1
"Lectotype of Colon paradoxum",1
"Lectotype of Colon pusillum",1
"Lectotype of Colon thoracicum",1
"Lectotype of Columbella diminuta| Voucher of Columbella diminuta",1
"Lectotype of Columbella gracilis| Voucher of Columbella gracilis",1
"Lectotype of Columbella micans",1
"Lectotype of Columbella moesta| Voucher of Columbella moesta",1
"Lectotype of Columbella ovuloides",1
"Lectotype of Columbella palumbina",1
"Lectotype of Columbella pulchrior| Voucher of Columbella pulchrior",1
"Lectotype of Columbella sandwichensis",1
"Lectotype of Columbella subcostulata",1
"Lectotype of Columbella tesselata| Voucher of Columbella tesselata",1
"Lectotype of Colymbetes ignarus",1
"Lectotype of Colymbetes laramaeus",1
"Lectotype of Comactinia meridionalis hartlaubi| Voucher of Comactinia echinoptera",1
"Lectotype of Conosoma castaneum",1
"Lectotype of Conosoma parvulum",1
"Lectotype of Conosoma scriptum",1
"Lectotype of Conus castrensis",1
"Lectotype of Conus parvus",1
"Lectotype of Coproporus grossulus",1
"Lectotype of Coproporus punctipennis",1
"Lectotype of Corbicula angasi",1
"Lectotype of Corbicula cumingii",1
"Lectotype of Corbicula loehensis",1
"Lectotype of Corbicula lutea",1
"Lectotype of Corbicula occidens",1
"Lectotype of Corbicula primeana",1
"Lectotype of Corbicula squalida",1
"Lectotype of Corbicula sulcatina",1
"Lectotype of Corbicula tumida",1
"Lectotype of Corbula barrattiana",1
"Lectotype of Corbula blandiana",1
"Lectotype of Corbula chittyana",1
"Lectotype of Corbula dietziana",1
"Lectotype of Corbula fulva",1
"Lectotype of Corbula kjoeriana",1
"Lectotype of Corbula knoxiana",1
"Lectotype of Corbula krebsiana| Additional Material of Corbula krebsiana",1
"Lectotype of Corbula newtoniana",1
"Lectotype of Corbula swiftiana",1
"Lectotype of Corticaria herbivagans",1
"Lectotype of Corydoras hastatus| Syntype of Corydoras hastatus",1
"Lectotype of Coryphaenoides carapinus",1
"Lectotype of Coryphium guttatum",1
"Lectotype of Cratogmathus cordatus",1
"Lectotype of Crepidula cerithicola| Voucher of Crepidula cerithicola",1
"Lectotype of Crepidula nivea| Voucher of Crepidula nivea",1
"Lectotype of Crepidula rostrata| Voucher of Crepidula rostrata",1
"Lectotype of Crypthelia peircei",1
"Lectotype of Cryptocephalus aesculi",1
"Lectotype of Cryptocephalus atomarius| Syntype of Cryptocephalus atomarius",1
"Lectotype of Cryptocephalus flavicornis",1
"Lectotype of Cryptocephalus pectoralis",1
"Lectotype of Cryptocephalus tridens",1
"Lectotype of Cryptops loveridgei",1
"Lectotype of Cryptorhopalum haemorrhoidale",1
"Lectotype of Cryptorhopalum triste",1
"Lectotype of Ctenoides planulatus",1
"Lectotype of Ctenopoma clathratum",1
"Lectotype of Ctenopoma coronatum",1
"Lectotype of Ctenopoma deficiens",1
"Lectotype of Ctenopoma honestum",1
"Lectotype of Ctenopoma nobilitatum",1
"Lectotype of Ctenopoma tryoni",1
"Lectotype of Curimatus dorsalis| Syntype of Curimatus dorsalis",1
"Lectotype of Curimatus falcatus| Syntype of Curimatus falcatus",1
"Lectotype of Curimatus lepidurus| Syntype of Curimatus lepidurus",1
"Lectotype of Curimatus leucostictus| Syntype of Curimatus leucostictus",1
"Lectotype of Curimatus macrops| Syntype of Curimatus macrops",1
"Lectotype of Curimatus microcephalus| Syntype of Curimatus microcephalus",1
"Lectotype of Curimatus ocellatus| Syntype of Curimatus ocellatus",1
"Lectotype of Curimatus serpae",1
"Lectotype of Cyathella lutea| Syntype of Cyathella lutea",1
"Lectotype of Cyathophyllum greeni| Lectotype of Blothrophyllum greeni",1
"Lectotype of Cyathophyllum insigne| Lectotype of Heliophyllum insigne",1
"Lectotype of Cybele grisea",1
"Lectotype of Cybocephalus californicus",1
"Lectotype of Cyclas pygmaea",1
"Lectotype of Cyclas veatleyi",1
"Lectotype of Cyclostoma acervatum",1
"Lectotype of Cyclostoma agassizi",1
"Lectotype of Cyclostoma album",1
"Lectotype of Cyclostoma amabile",1
"Lectotype of Cyclostoma amandum",1
"Lectotype of Cyclostoma armatum",1
"Lectotype of Cyclostoma aspiratile",1
"Lectotype of Cyclostoma augustae",1
"Lectotype of Cyclostoma augustae rufilabre",1
"Lectotype of Cyclostoma augustae testudineum",1
"Lectotype of Cyclostoma aurora",1
"Lectotype of Cyclostoma avena",1
"Lectotype of Cyclostoma beaniana",1
"Lectotype of Cyclostoma biangulata",1
"Lectotype of Cyclostoma blandianum",1
"Lectotype of Cyclostoma bourcieri",1
"Lectotype of Cyclostoma bronni",1
"Lectotype of Cyclostoma catenata",1
"Lectotype of Cyclostoma chevalieri",1
"Lectotype of Cyclostoma chevalieri album",1
"Lectotype of Cyclostoma chevalieri virgatum",1
"Lectotype of Cyclostoma chittyi",1
"Lectotype of Cyclostoma cinclidodes",1
"Lectotype of Cyclostoma clathratum",1
"Lectotype of Cyclostoma concentricum",1
"Lectotype of Cyclostoma cordovanum",1
"Lectotype of Cyclostoma crenulosum",1
"Lectotype of Cyclostoma cucullata",1
"Lectotype of Cyclostoma cumingii",1
"Lectotype of Cyclostoma decussatulum",1
"Lectotype of Cyclostoma dubiosum",1
"Lectotype of Cyclostoma enode",1
"Lectotype of Cyclostoma enode baracoense",1
"Lectotype of Cyclostoma fecunda",1
"Lectotype of Cyclostoma fecunda distincta",1
"Lectotype of Cyclostoma fimbriatulum albinodatum",1
"Lectotype of Cyclostoma fimbriatulum decens",1
"Lectotype of Cyclostoma griffithianum",1
"Lectotype of Cyclostoma habichi",1
"Lectotype of Cyclostoma hillianum",1
