"island","reps"
"Guajaba Island",7
"Harbor Island",7
"Henderson Island",7
"Indiantown",7
"Isla Grande de Tierre del Fuego",7
"Karakelong Island",7
"Makatea Atoll",7
"Manitoulin Island",7
"Monhegan",7
"Ovalau Island",7
"Phillip Island",7
"Red Island",7
"Sanak Island",7
"San Ambrosio",7
"Santa Fe",7
"Stewart",7
"St. Michael",7
"Swan's Island",7
"Upper Metacumbe Key",7
"Victoria",7
"Wassaw Island",7
"Woodlark Island",7
"Aitutaki",6
"Appledore",6
"Bird",6
"Brevoort Island",6
"Bugala Island",6
"Calamian Group",6
"Christmas Island",6
"East Sister Island",6
"Flaxman",6
"Friday Island",6
"Green Cay",6
"Hatutu",6
"Hope",6
"Ile a Vache Island",6
"Isla de la Plata",6
"Kalao Island",6
"La Battu Island",6
"La Digue Island",6
"Leti Island",6
"Marco Island",6
"Masirah Island",6
"Miyako-jima Island",6
"Peng Chau",6
"Pitt Island",6
"Popof Island",6
"San Geronimo",6
"San Juan",6
"Santo Domingo Cay",6
"Sibago Island",6
"Singapore",6
"Square Rock",6
"Tanahbesar Island",6
"Tarawa",6
"Taro",6
"Uala",6
"Upper Matecumbe Key",6
"Woodbridge",6
"Aldabra",5
"Aratika Atoll",5
"Aride Island",5
"Bar",5
"Batanta Island",5
"Bongao Island",5
"Brion Island",5
"Cardoso",5
"Castle Island",5
"Darwin",5
"Deer Island",5
"Denis",5
"Deserta Grande",5
"Estevan Group",5
"Fatu Hiva",5
"Galang Island",5
"Gough Island",5
"Grande Cayemite Island",5
"Great Sale Cay",5
"Greenwich Island",5
"Hatteras",5
"Heron",5
"Indian Key",5
"Isla Mona",5
"Isle Royale",5
"Kabara Island",5
"King",5
"Lamma Island",5
"Lower Metacumbe Key",5
"Makemo Atoll",5
"Mangareva",5
"Mannocks Island",5
"Morris Island",5
"Nihoa",5
"Osumi Islands, Tanegashima Island",5
"Pantocunan Island",5
"Pim Island",5
"Pritchards",5
"Prudence Island",5
"Rangiroa Atoll",5
"Sebascodegan",5
"Sovies",5
"Teuri Island",5
"To-shima Island",5
"Ulleungdo",5
"Walcheren",5
"West Island",5
"White Island",5
"Akun",4
"Amagat",4
"Amherst Island",4
"Amlia Island",4
"Ayon Island",4
"Bald Island",4
"Bankawan Island",4
"Banks Island",4
"Big Diomede Island",4
"Bonaventure Island",4
"Bush Key",4
"Butaritari",4
"Bylot Island",4
"Calabadian Island",4
"Camorta",4
"Campbell Island",4
"Coron Island",4
"Corvo",4
"Derawan Island",4
"Duck",4
"Fighting",4
"Fire Island",4
"Gardiners",4
"Glen Island",4
"Great Nicobar Island",4
"Helgoland",4
"Hornos",4
"Ilhéu da Vila",4
"Isla Partida",4
"Kozushima Island",4
"Kure Atoll",4
"Lapinig Island",4
"Lefkada",4
"Little Spoon",4
"Machias Seal Island",4
"Malakula Island",4
"Marinheiros",4
"Marsh",4
"Matia",4
"Milos",4
"More Island",4
"Morgans Island",4
"Muko-jima Island",4
"Nepean Island",4
"Nightingale Island",4
"No Man's Land",4
"Normans Pond Cay",4
"North Seymour",4
"Oneata Island",4
"Otoque Island",4
"Outer Heron Island",4
"Rabbit Island",4
"Ram",4
"Raraka Atoll",4
"Romang Island",4
"Rongelap Atoll",4
"Sabine",4
"Saint Pierre Island",4
"Salawati Island",4
"Sand Shoal",4
"San Esteban",4
"San Ildefonso",4
"Snares Island",4
"St. Vincent",4
"Swains Island",4
"Ultima Esperanza",4
"Vulelua Island",4
"Waldron Island",4
"Washerwoman Cay",4
"Woleai Atoll",4
"Wotje Atoll",4
"Yakushima Island",4
"Ann Island",3
"Antipodes Island",3
"Arno Atoll",3
"Bailey",3
"Bailiwick of Jersey",3
"Bawean Island",3
"Birch Island",3
"Booby Cay",3
"Borgareyjar",3
