"nomenclaturalCode","reps"
"nasal; maxilla; frontal",1
"nasal; nasal; nasal sample",1
"naviculo-cuboid; metatarsal",1
"neural spine; neural spine sample",1
"occipital condyle; basioccipital",1
"palate; tooth",1
"palate; tooth, premolar",1
"palate; tooth, premolar; tooth, molar; tooth, canine",1
"palate; vertebra, atlas; maxilla; skeletal element",1
"palatine; palatine sample",1
"parietal; dentary",1
"parietal; parietal",1
"parietal; parietal; parietal sample",1
"parietal; squamosal",1
"parietal; supraoccipital",1
"pelvic girdle; carapace",1
"pelvic girdle; ilium",1
"pelvic girdle; osteoderm",1
"petrosal; tympanic bulla",1
"phalanx; cuboid; metacarpal; metatarsal; cuneiform; bone",1
"phalanx; humerus; tibiotarsus",1
"phalanx; metatarsal; astragalus; calcaneum; navicular; cuneiform",1
"phalanx; metatarsal; sesamoid; humerus",1
"phalanx; patella",1
"phalanx; phalanx",1
"phalanx; phalanx sample",1
"phalanx; podial; metapodial; calcaneum",1
"phalanx; scapula",1
"phalanx; tarsometatarsus; tibiotarsus",1
"phalanx; tooth, incisor",1
"pharyngeal arch",1
"plastron; scute",1
"podial; phalanx",1
"postorbital; frontal",1
"postorbital; postorbital sample",1
"postorbitofrontal",1
"predentary; neural arch; tendon, ossified; bone; bone",1
"predentary; predentary; predentary sample",1
"premaxilla; dentary",1
"premaxilla; maxilla",1
"premaxilla; maxilla; bone; tooth, premolar; tooth",1
"premaxilla; maxilla; tooth, molar; tooth, canine; tooth, incisor",1
"premaxilla; maxilla; tooth, molar; tooth, incisor",1
"premaxilla; maxilla; tooth, molar; tooth, premolar; tooth, canine",1
"premaxilla; maxilla; tooth, premolar; dentary; tooth, incisor",1
"premaxilla; maxilla; tooth, premolar; tooth, canine; tooth, incisor",1
"premaxilla; palate; tooth, molar; tooth, premolar",1
"premaxilla; premaxilla",1
"premaxilla; premaxilla; premaxilla sample",1
"premaxilla; premaxilla; tooth, molar; tooth, premolar; tooth, incisor",1
"premaxilla; skeletal element; tooth, molar; maxilla",1
"premaxilla; tooth, canine; tooth, incisor; maxilla",1
"premaxilla; tooth, canine; tooth, premolar; maxilla",1
"premaxilla; tooth; dentary; maxilla",1
"premaxilla; tooth, molar; tooth, premolar; maxilla",1
"premaxilla; tooth, premolar; maxilla; tooth, incisor",1
"premaxilla; tooth, premolar; tooth, canine; tooth, incisor; tooth, molar",1
"premaxilla; tooth, premolar; tooth, incisor; maxilla",1
"preoperculum",1
"prootic; prootic",1
"prootic; prootic; prootic sample",1
"pterygoid; pterygoid sample",1
"pubis; ischium",1
"quadrate; quadrate",1
"quadrate; quadrate; quadrate sample",1
"radius; femur",1
"radius; humerus",1
"radius; humerus; ulna",1
"radius; mandible; petrosal",1
"radius; radius",1
"radius; skeletal element; phalanx",1
"radius; ulna",1
"radius; ulna; humerus",1
"rib; long bone",1
"rib; radius",1
"rib; vertebra",1
"rostrum; tooth, premolar",1
"sacrum; ulna; metapodial; femur; tibia; humerus",1
"sacrum; vertebra, lumbar; innominate; ischium",1
"scaphoid; skeletal element; rib; long bone; vertebra, thoracic",1
"scapula; dentary",1
"scapula; femur",1
"scapula; humerus",1
"scapula; rib; vertebra",1
"scapula; rib; vertebra, cervical; vertebra, axis",1
"scapula; sacrum",1
"scapula; scapula",1
"sclerotic plate",1
"skeletal element; long bone",1
"skeletal element; tooth",1
"skeleton, axial",1
"skeleton, axial; carpal; skeleton, axial sample",1
"skeleton, postcranial; skeleton, postcranial sample",1
"skin; hair",1
"skin; skin",1
"skin; skin; skin; skin; skin; skin; skin; skin",1
"skin; skin; skin; skin; skin; skin; skin; skin sample; skull; tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); hair (frozen); hair (frozen); hair (frozen); exoskeleton; dentary; muscle (frozen); muscle (frozen); muscle (frozen); muscle (frozen); bone (frozen); bone (frozen); bone (frozen); bone (frozen); bone (frozen); bone (frozen); bone (frozen); skeleton, postcranial; skeleton, postcranial; skeleton, postcranial; unknown; bone marrow (frozen); bone marrow (frozen); bone marrow (frozen); bone marrow (frozen); bone marrow (frozen); hair; unknown; unknown; muscle (frozen); muscle (frozen); unknown; unknown; hair; hair; hair; vertebra; hair; hair; hair; hair; skeleton, appendicular; hoof wall; unknown; hair (frozen); tibia; skeleton, appendicular; unknown; hair; hair; hair; dentary sample; tibia sample; hair sample; skeleton, postcranial sample; hair sample",1
"skin; skin; skull; skull; rib; humerus; scapula; metatarsal; vertebra, axis; sternum; vertebra, dorsal; vertebra, lumbar; radius; maxilla; skeleton, appendicular; skeleton, appendicular; antler",1
"skin; skull; tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); tissue (frozen); hair (frozen); hair (frozen); sediment; sediment; sediment; sediment; sediment; sediment; sediment; sediment; sediment; sediment; sediment; skeleton, postcranial; hair (frozen); hair (frozen); hair (frozen); hair (frozen); hair (frozen); hair (frozen); hair (frozen); hair (frozen); sediment; dentary; muscle (frozen); horn; sediment; sediment; sediment; sediment; sediment; sediment; sediment; dentary sample",1
"skull; astragalus; tooth; metatarsal",1
"skull; astragalus; vertebra, thoracic; hoof wall; sternum; calcaneum; phalanx; vertebra, atlas; rib; patella; dentary; tooth; metapodial; bone; femur; tarsal; radioulna; scapula; metatarsal; vertebra; vertebra; naviculo-cuboid; tibia; metacarpal; humerus",1
"skull; dentary; hair; tusk; hair sample; dentary sample",1
"skull; dentary; tooth, premolar; tooth, molar",1
"skull; dentary; unknown; rib; vertebra, lumbar; vertebra, cervical; hair; vertebra; vertebra, thoracic; calcaneum",1
"skull; fibula; humerus; humerus; calcaneum; phalanx; phalanx; rib; rib; rib; rib; rib; rib; rib; rib; rib; rib; ilium; radius; radius; tibia; fibula; femur; femur; scapula; ischium; ischium; tibia; ulna; ulna; femur sample",1
"skull; frontal; dentary; parietal",1
"skull; horn",1
"skull; innominate",1
"skull; maxilla; tooth, molar",1
"skull; maxilla; tooth, premolar",1
"skull; nasal",1
"skull; palate",1
"skull; palate; tooth, incisor",1
"skull; palate; tooth, molar",1
"skull; palate; tooth, premolar; tooth, molar",1
"skull; phalanx; skeleton",1
"skull; premaxilla",1
"skull; premaxilla; maxilla; squamosal",1
"skull; premaxilla; tooth, molar; tooth, canine; tooth, premolar; maxilla; tooth, incisor",1
"skull; radioulna; tooth, molar; dentary; dentary sample",1
"skull; sediment",1
"skull; sediment; dentary; bone; tusk; tusk",1
"skull; sediment; sediment; sediment",1
"skull; sediment; tooth",1
"skull; skeleton; dentary",1
"skull; skeleton; femur",1
"skull; skull sample; bone; maxilla",1
"skull; skull sample; dentary",1
"skull; skull sample; tooth; tooth sample",1
"skull; skull; skull",1
"skull; skull; skull; skull; skull sample; dentary",1
"skull; squamosal; parietal",1
"skull; squamosal; parietal; frontal",1
"skull; tibia",1
"skull; tooth, canine; tooth, molar; tooth, incisor",1
"skull; tooth, canine; tooth, premolar",1
"skull; tooth, incisor; tooth, canine; tooth, molar",1
"skull; tooth, incisor; tooth, molar",1
"skull; tooth, molar; tooth, premolar; tooth, incisor",1
"skull; tooth; occipital condyle",1
"skull; tooth, premolar; tooth, premolar; tooth, molar",1
"skull; tympanic bulla; parietal; squamosal",1
"skull; vertebra, atlas; vertebra, cervical; vertebra, axis",1
"skull; vertebra, cervical; dentary",1
"skull; vertebra, cervical; dentary; vertebra, axis; vertebra, atlas",1
"skull; vertebra, cervical; scapula",1
"skull; vertebra; dentary",1
"skull; vertebra, thoracic; tusk; vertebra, thoracic; vertebra, thoracic; vertebra, thoracic; vertebra, thoracic; vertebra, thoracic",1
"splenial; splenial",1
"splenial; splenial; splenial sample",1
"squamosal; dentary; maxilla",1
"squamosal; frontal",1
"squamosal; frontal; parietal",1
"squamosal; mastoid",1
"squamosal; parietal",1
"squamosal; squamosal",1
"stapes; bone; quadrate; supratemporal; basioccipital",1
"sternum; femur",1
"sternum; quadrate; innominate; coracoid; femur; furculum; scapula; humerus",1
"supraoccipital; supraoccipital",1
"surangular; surangular",1
"surangular; surangular; surangular sample; surangular sample",1
"synsacrum; ilium",1
"syrinx",1
"tail tip (dry)",1
"tarsometatarsus; tibiotarsus",1
"tarsus",1
"tarsus; tibia",1
"tibia; calcaneum; metapodial; innominate; astragalus; femur; podial; vertebra; phalanx",1
"tibia; femur",1
"tibia; humerus",1
"tibia; rib; vertebra",1
"tibia; vertebra, lumbar; astragalus; occipital condyle",1
"tibiofibula; calcaneum",1
"tibiofibula; calcaneum; dentary; femur",1
"tibiofibula; maxilla; tooth; femur; metapodial; innominate; calcaneum",1
"tibiofibula; radius",1
"tibiofibula; scapula",1
"tibiofibula; tooth; femur; humerus",1
"tibiotarsus; humerus",1
"tibiotarsus; phalanx",1
"tooth; bone",1
"tooth, canine; maxilla; premaxilla",1
"tooth, canine; tooth, molar; tooth, premolar",1
"tooth; coprolite",1
"tooth; dentary; maxilla",1
"tooth, fang; maxilla",1
"tooth; femur",1
"tooth, incisor; cranium; tooth, molar",1
"tooth, incisor; maxilla; dentary",1
"tooth, incisor; maxilla; premaxilla",1
"tooth, incisor; tooth, incisor",1
"tooth, incisor; tympanic bulla; dentary",1
"tooth; innominate; sacrum",1
"tooth; magnum",1
"tooth; maxilla",1
"tooth; metacarpal; metatarsal",1
"tooth, molar; cranium",1
"tooth, molar; mandible; tooth, premolar; dentary; tooth, incisor",1
"tooth, molar; maxilla; tooth",1
"tooth, molar; maxilla; tooth, canine; dentary; tooth, premolar; tooth, incisor",1
"tooth, molar; maxilla; tooth, premolar; dentary; tooth, incisor",1
"tooth, molar; palate; tooth, premolar; maxilla; tooth, incisor; premaxilla",1
"tooth, molar; premaxilla",1
"tooth, molar; premaxilla; tooth, canine; tooth, incisor; tooth, premolar; maxilla",1
"tooth, molar; premaxilla; tooth, premolar; tooth, incisor; maxilla",1
"tooth, molar; tooth, incisor; maxilla; premaxilla",1
"tooth, molar; tooth, molar sample",1
"tooth, molar; tooth, molar sample; tooth, molar sample",1
"tooth, molar; tooth, molar; tooth, molar",1
"tooth, molar; tooth, premolar; dentary; dentary sample",1
"tooth, molar; tooth, premolar; dentary; palate",1
"tooth, molar; tooth, premolar; maxilla; palate",1
"tooth, molar; tooth, premolar; tooth, incisor",1
"tooth, molar; tooth, premolar; tooth, premolar; maxilla",1
"tooth, molar; tooth; tooth, premolar",1
"tooth, molar; tooth; tooth, premolar; maxilla",1
"tooth, molar; tooth; tooth, premolar; tooth, incisor",1
"tooth, molar; vertebra; dentary; tooth, incisor",1
"tooth; palate",1
"tooth; phalanx",1
"tooth; premaxilla",1
"tooth, premolar; dentary; tooth, molar",1
"tooth, premolar; maxilla; jugal",1
"tooth, premolar; maxilla; premaxilla",1
"tooth, premolar; petrosal; palate",1
"tooth, premolar; tooth, premolar",1
"tooth; radius",1
"tooth; skeletal element; palate",1
"tooth; tooth, molar",1
"tooth; tooth sample; tooth sample",1
"tooth; zygomatic arch; premaxilla",1
"trace fossil; trace fossil; trace fossil; trace fossil; trace fossil",1
"trace fossil; trace fossil; trace fossil; trace fossil; trace fossil; trace fossil; trace fossil; trace fossil",1
"tusk; tooth",1
"tusk; tooth, molar",1
"tympanic bulla; basioccipital; exoccipital",1
"tympanic bulla; exoccipital",1
"tympanic bulla; mastoid",1
"tympanic bulla; temporal",1
"ulna; calcaneum",1
"ulna; coracoid; femur; humerus",1
"ulna; femur; scapula; tooth; tooth, incisor",1
"ulna; metacarpal; metatarsal; skeletal element",1
"ulna; metatarsal; radius; phalanx",1
"ulna; neural arch",1
"ulna; phalanx; carpometacarpus; radius; carpal; humerus",1
"ulna; phalanx; metacarpal; carpal; radius",1
"ulna; podial; radius",1
"ulna; scapula",1
"ulna; tibiofibula; scapula; ischium; femur; humerus",1
"ulna; tooth",1
"ulna; ulna sample",1
"unknown; long bone",1
"unknown; phalanx",1
"unknown; tooth, molar",1
"unknown; unknown",1
"unknown; unknown; unknown",1
"unknown; unknown; unknown; unknown; unknown",1
