"scientificNameAuthorship","reps"
"Günther, 1864",630
"Hall, 1852",629
"(Weller)",628
"d'Orb",627
"Linn.",627
"(Spix, 1825)",627
"(d'Orbigny)",626
"Goode & Bean 1895",622
"Ward",622
"(Peters, 1863)",620
"(Say, 1821)",619
"(Holbrook, 1836)",618
"G. O. Sars, 1882",617
"McLearn",617
"Wheeler, W.M., 1913",616
"Emery, 1894",613
"LeConte",610
"(Walckenaer)",609
"(Conrad, 1841)",608
"Ebeling, 1962",608
"Swain",608
"Sterki",607
"Lamarck 1816",606
"Cooper & Dutro",603
"Emery, 1884",602
"Muller",601
"Pease",601
"Jepsen, 1930",600
"Born, 1778",599
"(Conrad, 1838)",599
"(Schwager)",599
"Boulenger, 1882",598
"not verified",598
"Linneaus, 1758",597
"LeConte 1878",595
"Sohl",594
"(Banks)",589
"(Fabricius, 1798)",589
"Gibbes",588
"Hall, 1843",587
"(Cassin, 1850)",586
"Wheeler, W.M., 1909",581
"Whiteaves",581
"Wiegmann, 1834",581
"(Clerck, 1757)",580
"Reinhardt, 1842",580
"(Schoepff, 1793)",580
"Becker, 1965",576
"(Vieillot, 1808)",575
"Pilsbry, 1912",574
"Gld.",573
"Linnaeus 1758",573
"von Martens, 1894",572
"Yochelson",572
"Tillyard",571
"Whittington",571
"(Daudin, 1802)",568
"Reeside",568
"Adams, C.B.",566
"Simpson",566
"St.John & Worthen",566
"Dunn, 1926",565
"(Bonaparte, 1825)",563
"Wheeler, W.M., 1914",561
"(Günther, 1864)",560
"(Conrad, 1832)",559
"Waterhouse & Lyell, 1914",558
"Edwards, 1971",557
"(Hall, 1857)",557
"(Pallas, 1764)",557
"(Parker & Jones)",556
"(Lamarck, 1816)",555
"Butts",554
"J. F. Gmelin, 1789",554
"(Dillwyn, 1817)",553
"Günther, 1859",552
"Provancher, 1881",552
"Creighton, 1950",550
"Wheeler, W.M., 1902",550
"(Bloch)",549
"Chamberlin, 1920",549
"Darlington 1952",548
"Günther, 1887",548
"Lamarck, 1801",548
"Robertson",548
"Kellogg",547
"Sundberg & McCollum",546
"(Jacquinot and Guichenot, 1853)",543
"(Mitchill, 1815)",543
"(Walker)",542
"MacLeay 1873",540
"Born",539
"(Cope, 1882)",539
"(Davidson)",539
"MacNeil",539
"(Moreau de Jonnès, 1818)",539
"Gill & Ryder, 1883",537
"Whitfield",536
"(Boulenger, 1882)",535
"Oliver",535
"(Wood, 1828)",535
"Yasuhara et al.",535
"(Roger, 1862)",534
"Forel, 1891",533
"(Wied-Neuwied, 1838)",533
"(Linnaeus, 1761)",532
"Clark, 1925",531
"(I. Lea, 1831)",531
"Worthen",531
"(Barnes, 1823)",530
"(G. B. Sowerby I, 1833)",529
"(LeConte)",529
