"phylum","reps"
"Equus calobatus cf.",8
"Equus francisci ?",8
"Fusinus",8
"Fusitriton oregonensis",8
"Geococcyx californianus",8
"Gomphotheriidae sp.",8
"Halobia",8
"Hyolitha",8
"Ichnites",8
"Macoma nasuta",8
"Microtus longicaudus cf.",8
"Microtus mogollonensis ?",8
"Morania nixonforkensis",8
"Morania wagneri",8
"Neolochriea",8
"Neotoma leucodon ?",8
"Neotoma micropus",8
"Ondatra zibethicus",8
"Otospermophilus variegatus cf.",8
"Peromyscus crinitus cf.",8
"Peromyscus laceianus cf.",8
"Pipilo fuscus cf.",8
"Pitar arnoldi",8
"Pituophis catenifer cf.",8
"Pitymys",8
"Sceloporus jarrovii cf.",8
"Spermophilus cf.",8
"Stockoceros conklingi ?",8
"Sturnella sp.",8
"Sylvilagus brasiliensis or Sylvilagus floridanus",8
"Sylvilagus floridanus ?",8
"Symbos",8
"Thomomys cf.",8
"Vulpes macrotis cf.",8
"Xerospermophilus spilosoma cf.",8
"Alces alces",7
"Anadara devincta",7
"Antilocapra americana ?",7
"Antilocapridae ?",7
"Archaeopus lunicarina",7
"Athene cunicularia",7
"Bubo virginianus cf.",7
"Buteo ?",7
"Buteo jamaicensis cf.",7
"Cancellaria crawfordiana",7
"Cervidae ?",7
"Coragyps cf.",7
"Corylites",7
"Cratogeomys castanops cf.",7
"Desmoinesia",7
"Gyalopion canum",7
"Heterodon nasicus",7
"Kewia kannoi",7
"Lemmus trimucronatus",7
"Lepus cf.",7
"Lycopsida",7
"Marmota",7
"Mytilus gratacapi",7
"Natica",7
"Neotoma ?",7
"Pinnidae",7
"Podicipedidae sp.",7
"Pogonophora",7
"Retaria",7
"Shonisaurus",7
"Sonora sp.",7
"Sylvilagus audubonii ?",7
"Ursus arctos",7
"Uta stansburiana",7
"Xanthocephalus cf.",7
"Acila empirensis",6
"Acila gettysburgensis",6
"Anas platyrhynchos cf.",6
"Angiosperms",6
"Antilocapra ?",6
"Artiodactyla ?",6
"Bovidae",6
"Branta canadensis cf.",6
"Buccinum",6
"Canis ?",6
"Canis lupus ?",6
"Carpodacus sp.",6
"Cavia porcellus cf.",6
"Colaptes auratus",6
"Colus halli",6
"Corylites beringianus",6
"Crotaphytus collaris ?",6
"Cryptonatica",6
"Dendraster gibbsii",6
"Diadophis punctatus",6
"Dosinia whitneyi",6
"Gallus gallus ?",6
"Geomys or Thomomys",6
"Gopherus sp.",6
"Hesperotestudo wilsoni",6
"Incertiae sedis",6
"Lucinoma acutilineata",6
"Lynx rufus cf.",6
"Macoma astori",6
"Microtus ochrogaster cf.",6
"Mollsuca",6
"Mollusca sp.",6
"Musculus",6
"Mustela frenata cf.",6
"Mya salmonensis",6
"Mytilus tichanovitchi",6
"Nannippus sp.",6
"Neotoma cinerea ?",6
"Neotoma floridana cf.",6
"Neotoma pygmaea ?",6
"Ovis canadensis cf.",6
"Pachydiscus",6
"Pandora yakatagensis",6
"Pecten cosibensis",6
"Pentastomida",6
"Perognathus flavus",6
"Peromyscus crinitus",6
"Petalonamae",6
"Plestiodon multivirgatus cf.",6
"Progymnospermophyta",6
"Rallidae sp.",6
"Rena sp.",6
"Saiga",6
"Sapelnikoviella santuccii",6
"Sceloporus clarkii cf.",6
"Spea bombifrons",6
"Spilogale cf.",6
"Trachemys gaigeae or Trachemys scripta",6
"Trochodendroides",6
"Villarroelia totoyoi",6
"Vulpes macrotis",6
"Anadara",5
"Ancistrolepis",5
"Angiosperms - Magnoliids",5
"Antilocapra or Stockoceros",5
"Antrozous pallidus cf.",5
"Aphelocoma californica ?",5
"Arthropodae",5
"Artiodactyla cf.",5
"Bacillariophyta",5
"Bison cf.",5
"Bison or Ovibos",5
"Buteo cf.",5
"Canis familiaris ?",5
"Canis familiaris or Canis latrans",5
"Capromeryx ?",5
"Cardiidae",5
"Cervus",5
"Conchocele",5
"Corvus corax cf.",5
"Cratogeomys cf.",5
"Crepidula",5
"Cyclocardia crebricostata",5
"Decapoda",5
"Diplodonta parilis",5
"Echinodermata?",5
"Ginkgo",5
"Ginkgophyta",5
"Glycymeris crescentensis",5
"Hemiauchenia cf.",5
"Hormogonales",5
"Hypacrosaurus",5
"Ichnotaxa",5
"Icteridae cf.",5
"Incilius alvarius",5
"Lemmiscus curtatus cf.",5
"Macoma lipara",5
"Macoma lorenzoensis arnoldi",5
"Mephitis cf.",5
"Mollusca?",5
"Mustelidae cf.",5
"Neotoma floridana ?",5
"Neotoma floridana or Neotoma micropus",5
"Neptunia",5
"Neverita",5
"Nothrotheriops shastensis cf.",5
"Nuculana washingtonensis",5
"Pectinidae",5
"Peromyscus boylii",5
"Peromyscus laceianus or Peromyscus truei",5
"Peromyscus nasutus cf.",5
"Phoca hispida",5
"Plestiodon obsoletus",5
"Proboscidea sp.",5
"Remondella waldroni",5
"Scaphiopus couchii cf.",5
"Sceloporus magister cf.",5
"Scleractinian ?",5
"Securella",5
"Spatangoida",5
"Spea sp.",5
"Taxaceae",5
"Terebratalia transversa",5
"Testudinidae",5
"Trionyx spiniferus cf.",5
"Tumion gracillimum",5
"Xenacoelomorpha",5
"Accipiter cooperii",4
"Acritarcha",4
"Amphibia sp.",4
"Anabernicula ?",4
"Anas ?",4
"Angiosperms - Commelinids",4
"Anser ?",4
"Antilocapra cf.",4
"Apalone sp.",4
"Aphelocoma californica cf.",4
"Aquila chrysaetos ?",4
"Aquila chrysaetos cf.",4
"Arborimus albipes",4
"Arctodus or Ursus",4
"Asio flammeus cf.",4
"Barnacles",4
"Bison bison",4
"Bogertophis subocularis cf.",4
"Bos taurus cf.",4
"Brachiopod",4
"Calippus sp.",4
"Canis dirus",4
"Capromeryx or Stockoceros",4
"Charadrius vociferus",4
"Chlamys",4
"Chordata | Vertebrata",4
"Choristites",4
"Clinocardium meekianum",4
"Coleoptera",4
"Coniferophyta",4
"Cratogeomys sp.",4
"Crotalus cf.",4
"Crustacea",4
"Cryptozoa",4
"Cyrtonyx cf.",4
"Dendraster coalingensis",4
"Edmontosaurus",4
"Elgaria kingii",4
"Emberizidae sp.",4
"Equus caballus cf.",4
"Erethizon dorsatum cf.",4
"Falconiformes sp.",4
"Foraminella",4
"Fulica americana",4
"Geomys cf.",4
"Gulo",4
"Gymnogyps californianus cf.",4
"Hemiauchenia ?",4
"Hemithiris psittacea",4
"Hesperotestudo wilsoni cf.",4
"Hirundo fulva or Hirundo pyrrhonota",4
"Holcophylloceras costiparsum",4
"Iguanidae sp.",4
"Kirkospira glacialis",4
"Lampropeltis getula cf.",4
"Lepus townsendii ?",4
"Lucinoma",4
"Lynx ?",4
"Lynx sp.",4
"Macrocallista",4
"Mammuthus meridionalis cf.",4
