"index.specificepithet","reps"
"columbi",1007
"solitarius",1007
"sulcatus",1007
"moorei",1006
"nuttallii",1006
"collinsonii",1003
"washingtonensis",1002
"olssoni",1001
"umbratus",1000
"cristatus",992
"alata",987
"discolor",984
"collaris",983
"aequalis",980
"lamellosa",980
"bowerbanki",978
"marginatus",978
"trossulus",978
"rotunda",976
"atlantica",975
"cardinalis",974
"coalingensis",973
"lienosa",972
"pedicellatus",972
"anza",971
"mesolobus",971
"senegalensis",970
"typicalis",970
"nivalis",968
"coelestinus",965
"martinicensis",964
"decipiens",960
"maderensis",959
"pumilus",959
"obtusiplicata",956
"smaragdina",954
"flaveola",951
"grevyi",951
"olivacea",951
"dunlopei",946
"lenticularis",946
"parvula",944
"speciosus",944
"pellucida",943
"synoicus",943
"caloosaensis",940
"haitiensis",939
"hedleyi",938
"wilsoni",938
"californianus",937
"cucullatus",937
"garmanii",937
"islandica",935
"labiata",933
"iliaca",932
"chipolanum",930
"inornatus",928
"braziliensis",926
"corona",925
"mutabilis",925
"murchisoni",923
"pulcher",923
"ater",922
"iowensis",921
"chilensis",920
"guttata",920
"bimaculatus",916
"dakotensis",916
"musculus",915
"argus",914
"demissa",914
"madagascariensis",914
"saltatrix",914
"milleri",913
"cornutus",910
"spatula",909
"wagneri",908
"bidentatus",907
"acutidens",906
"tripunctulatus",905
"cora",903
"cavernosa",902
"inaequalis",899
"advena",897
"coniforme",897
"lineolata",897
"aedon",896
"ulrichi",896
"congregata",895
"terricola",895
"fossilis",894
"simpsoni",894
"virescens",894
"albolabris",889
"impressa",889
"sandrae",888
"newberryi",887
"helenae",885
"rectum",883
"ocoee",881
"gibbsii",878
"guadalupensis",878
"petrosa",877
"troelseni",877
"tumida",876
"pinetorum",875
"mucronata",874
"neglecta",874
"gilchristensis",872
"ingrahami",872
"muelleri",872
"hatcheri",870
"formicarum",867
"beanii",865
"centralis",865
"conoideus",864
"modestus",864
"reticulatus",864
"scitulus",864
"miaolingensis",863
"pennsylvanica",863
"carolinus",861
"crenella",861
"coerulescens",859
"scolopaceus",859
"sylvaticus",858
"costatus",857
"cuspidata",856
"curvirostra",855
"annulata",854
"leptofasciatus",853
"magnifica",853
"flavescens",852
"texanum",852
"wabashensis",852
"arboreus",851
"gyrina",849
"schoepfii",849
"densatum",848
"stelleri",848
"talpoides",848
"conica",846
"antiqua",845
"hungerfordi",844
"ruficollis",843
"kugleri",842
"lotor",841
"orestes",841
"dofleini",840
"kashimaensis",840
"navalis",840
"sayi",840
"simplicidens",840
"vaughani",840
"lurida",839
"evansi",838
"mercenaria",838
"decorus",837
"analis",836
"pica",836
"nigrescens",834
"spinosus",834
"verrucosa",834
"atlanticum",833
"aureus",833
"lagopus",832
"obesa",831
"africana",827
"elegantissima",827
"simulata",827
"pinus",826
"bislineata",824
"mauli",823
"vetusta",823
"fuscipes",822
"gularis",822
"brunneus",820
"humilis",820
"palmarum",818
"crestes",817
"mlynarskii",817
"vanuxemi",817
"lyelli",816
"guppyi",815
"uticana",814
"oceanica",812
"increbescens",811
"limatula",810
"poweriae",810
"lunata",809
"rattus",809
"fimbriata",806
"pallidus",806
"troglodytes",806
"gidleyi",805
"globosus",803
"fasciculatus",802
"leucas",802
"megacephala",802
"barbouri",801
"aduncus",798
"alabamensis",798
"schopfii",797
"septemspinosa",797
"galbula",796
"sessile",796
"latifrons",795
"muscarum",795
"edulis",793
"contortus",791
"obtusata",791
"sinensis",789
"decussata",787
"afer",786
"nimbosa",785
"valida",785
"magnus",784
"radiatus",783
"symmetrica",783
"truncatulinoides",780
"arkansana",779
"grayvillense",779
"chapmani",778
"boa",777
"concolor",775
"cyaneus",775
"hudsonius",773
"wagneriana",773
"pelagicus",772
"clamitans",770
"hygomii",770
"gregarius",769
"frondicola",767
"aldrichi",766
"ramosa",764
"triangulum",764
"xerampelina",764
"variegata",763
"virginiensis",763
"dominica",761
"emarginata",761
"angustidens",760
"gabbi",760
"conspersus",757
"iris",756
"sericea",756
"dilatata",755
"angolensis",754
"furcata",754
"uniformis",752
"delicatula",751
"perhumerosa",751
"quiscula",751
"stellata",751
"grangeri",750
"concinnus",749
"podiceps",749
"purpureus",749
"trilineata",749
"nucleolatus",748
"schmidti",747
"priscus",746
"inornata",745
"aurata",743
"ellogimus",742
"eurytheme",742
"arenaria",741
"eurystyle",741
"sexguttatus",741
"shumardi",740
"stantoni",740
"thesaurensis",740
"stratulus",739
"rarinervis",738
"sinuatus",738
"peregrina",737
"copeanus",736
"hirundo",736
"winchelli",736
"constrictor",734
"clypeatus",733
"georgiana",733
"nodulosa",733
"bellistriata",731
"loveorum",731
"setigera",729
"conchaphila",728
"sialis",728
"solitaria",728
"goldfussi",727
"coarctatus",725
"curta",725
"obliquata",725
"compacta",724
"arcticus",723
"cypha",723
