"genus","reps"
"Loxia",1285
"Cyphomyrmex",1284
"Geocapromys",1283
"Microspermopteris",1282
"Euproops",1281
"Macrocallista",1281
"Cymatium",1280
"Campeloma",1279
"Illaenus",1276
"Levenea",1267
"Stomias",1267
"Schuchertella",1263
"Acanthis",1262
"Crotalus",1261
"Didelphis",1258
"SINISTROFULGUR",1257
"Wilsonia",1257
"Viviparus",1256
"OLIVELLA",1255
"TRACHYCARDIUM",1250
"Hipparion",1248
"Cucullaea",1245
"Dosinia",1245
"Bothrops",1240
"Derbya",1240
"Nannobrachium",1237
"Sphaerexochus",1235
"Tanaoblastus",1235
"Bumastus",1231
"Mus",1231
"CERITHIUM",1230
"Tegula",1230
"Monongahela",1229
"Ovibos",1228
"Lophamplexus",1226
"Lepidocyclus",1224
"Aimophila",1222
"Heterotrypa",1220
"Pagurus",1217
"Felis",1216
"Helicostyla",1216
"Melampus",1216
"Chonetina",1213
"Udara",1213
"Betula",1211
"Toxostoma",1210
"Calippus",1209
"Helisoma",1208
"Uintacrinus",1207
"Euomphalus",1205
"Sagenodus",1205
"Aythya",1204
"Prionocyclus",1204
"DIODORA",1203
"Busycon",1202
"Micropterus",1199
"Pachytesta",1199
"Delocrinus",1197
"Placenticeras",1195
"Merista",1194
"Homogalax",1191
"Pseudacris",1191
"Aquila",1190
"Schizocosa",1190
"ANOMIA",1189
"Gaudryina",1188
"Productella",1188
"Prasinohaema",1186
"Diodora",1184
"Prosciurus",1184
"Notharctus",1180
"Mugil",1179
"Mulinia",1177
"Parafusulina",1177
"Parallelodon",1177
"Poecilozonites",1177
"Xysticus",1177
"TRANSENNELLA",1176
"Nerodia",1175
"Chondropoma",1174
"Forelius",1174
"Scenella",1173
"Chilomycterus",1171
"Cyanocitta",1169
"Niptomomys",1169
"Scinax",1167
"Gonichthys",1166
"Cardita",1165
"Pinna",1164
"DOSINIA",1162
"Acipenser",1161
"BUSYCON",1160
"Sphyraena",1159
"TURBO",1154
"Tropidoleptus",1152
"Fusus",1151
"Notolychnus",1151
"NATICARIUS",1149
"Barbatia",1148
"Spinocyrtia",1147
"Columba",1138
"Wasmannia",1135
"Martesia",1133
"Synaptomys",1133
"NEVERITA",1131
"Seiurus",1128
"Terebratulina",1128
"Parasthetops",1127
"Pycnonotus",1127
"CALLIOSTOMA",1126
"Spongia",1124
"Spiriferina",1123
"Gehyra",1121
"Leperditia",1121
"Phacoides",1119
"Zaphrentites",1119
"Acila",1117
"Tringa",1116
"Anochetus",1114
"Modiolopsis",1114
"LIROPHORA",1111
"HYSTRIVASUM",1110
"Odostomia",1108
"Sphenopteris",1108
"Haliotis",1106
"Lopha",1106
"Hallopora",1105
"Reedops",1105
"Laevicardium",1104
"Hyrachyus",1102
"Stenamma",1102
"LAEVICARDIUM",1098
"Pristis",1098
"SIPHOCYPRAEA",1096
"BUSYCOTYPUS",1092
"Ottoia",1090
"Cimolodon",1089
"Crucibulum",1089
"Passer",1089
"TURBINELLA",1089
"Zonitoides",1089
"Lagopus",1084
"Tamias",1081
