"index.genus","reps"
"carditamera",1475
"purgatorius",1475
"echinolampas",1473
"pagurus",1472
"abies",1470
"bolinichthys",1468
"crassostrea",1464
"arthroleptis",1460
"squalicorax",1457
"elphidium",1455
"pliohippus",1452
"hypertragulus",1448
"acanthotelson",1447
"colaptes",1443
"calyptraea",1441
"vasum",1441
"transennella",1436
"carpodacus",1434
"girtyocoeliana",1427
"fusulina",1421
"passerina",1420
"sternoptyx",1419
"amietophrynus",1416
"homotrypa",1416
"pisidium",1414
"cyathophyllum",1408
"chilomycterus",1407
"amazilia",1393
"lima",1392
"triodopsis",1390
"pteria",1388
"gastrocopta",1387
"schizodus",1386
"quiscalus",1385
"gopherus",1380
"tamiasciurus",1380
"liolaemus",1379
"lepidophanes",1378
"agama",1377
"ursus",1375
"melania",1373
"vinlandostrophia",1373
"septimyalina",1369
"amphiscapha",1366
"lirophora",1366
"anthoena",1365
"atractosteus",1363
"sialia",1362
"lobianchia",1359
"nuculites",1359
"delias",1358
"macrocranion",1358
"parvilucina",1357
"eupleura",1353
"encope",1349
"coelocladia",1343
"erisocrinus",1343
"lophamplexus",1343
"echinauris",1341
"delocrinus",1338
"mus",1338
"codakia",1335
"sternotherus",1333
"tangara",1332
"eoasianites",1329
"trochus",1329
"hipparion",1328
"schwagerina",1321
"strumigenys",1314
"terebratulina",1314
"stomias",1313
"campeloma",1312
"geomys",1312
"osteopilus",1312
"fissurella",1310
"cyrtina",1309
"ammobaculites",1303
"illaenus",1302
"medullosa",1295
"tabularia",1294
"busycotypus",1293
"sieberella",1292
"contopus",1288
"cyphomyrmex",1288
"levenea",1286
"loxia",1285
"sinistrofulgur",1285
"euproops",1283
"geocapromys",1283
"microspermopteris",1282
"schuchertella",1275
"columbella",1271
"panopea",1266
"didelphis",1265
"martesia",1264
"crotalus",1260
"chondropoma",1258
"nannobrachium",1256
"callista",1245
"pseudacris",1245
"chonetina",1244
"merista",1244
"nerodia",1242
"odostomia",1241
"wilsonia",1240
"elrathia",1239
"mitrella",1238
"sphaerexochus",1237
"clypeaster",1234
"tanaoblastus",1232
"ovibos",1231
"pinna",1229
"bumastus",1228
"lenticulina",1225
"phyllonotus",1224
"aythya",1223
"turbinella",1223
"euspira",1221
"pachycondyla",1221
"scinax",1221
"marginulina",1219
"carolinapecten",1214
"toxostoma",1212
"anachis",1211
"derbya",1211
"micropterus",1211
"peradectes",1211
"uintacrinus",1208
"helisoma",1207
"productella",1207
"sagenodus",1205
"spiriferina",1203
"callipepla",1202
"heterotrypa",1201
"prionocyclus",1201
"pachytesta",1199
"helicostyla",1197
"schizocosa",1197
"cardita",1194
"prasinohaema",1191
"bulimulus",1189
"homogalax",1189
"lepidocyclus",1188
"poecilozonites",1188
