"identifiedBy","reps"
"Olson, Storrs L., Curator of Fossil Birds (BIRDS), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",274
"Cobban; Hook",273
"Phleger; Parker; Peirson",273
"Shaw",273
"James Draper Lazell Jr., Ernest E. Williams",272
"Yehudah Leopold Werner",272
"Heather M. Wilson",271
"Beall",270
"Allen E. Greer, Jr.",269
"Don Mikulic",269
"Leigh Van Valen",269
"Richard E. Blackwelder",269
"Emily VanNortwick",268
"J. Alan Holman",267
"Boardman",266
"Thomas M. Bown",266
"Ellen Thomas",265
"John H. Ostrom",265
"Jones",265
"Kennedy",265
"Labbish N. Chao",265
"David Richman",264
"Karsten E. Hartel, Christopher P. Kenaley",264
"Loeblich",264
"Rigby",264
"Joe Martinez",263
"Davis",262
"George R. Crotch",261
"E/V Nautilus, Ocean Exploration Trust",260
"Gilmore",260
"Michael G. Branstetter",260
"Prosser; Kindle",260
"Robinson, P",258
"Philip D. Gingerich",257
"Jeremy Miller",256
"Amy R. McCune",255
"Cushman; Todd; Post",255
"Wolfgang Sterrer",255
"Boeck",254
"Utgaard",254
"Brett D. Russell",252
"Hinrich Kaiser",252
"Thomas M. Bown, Kenneth D. Rose",251
"Vršanský, Peter, Ph.D.",251
"Augustus Addison Gould",250
"Favier, Vic",250
"Lewis, SE",250
"Olsson",250
"Juan Arturo Rivero",249
"William B. Scott",249
"Cheetham",248
"Ivan Magalhaes",248
"Phleger; Parker",248
"David B. Wake",246
"J. Adams",246
"Addison Emery Verrill",245
"E. A. Nesbitt",245
"James K. Liebherr",245
"J. Tuttle",244
"Walaszczyk, Ireneusz; Cobban, William A.",243
"Frederick R. Schram",242
"Laurent",242
"Aaron R. Wood",241
"Campbell",241
"Cobban; Hook; Kennedy",241
"Ronald C. Baird, James E. Craddock",241
"Skipp, Betty A.L., (USGS-D), U.S. Department of the Interior (UNITED STATES)",241
"Alexander Agassiz",240
"E. B. Bryant",240
"Jesse J. Galloway",240
"S. Adam Ślipiński",240
"Heather A. Jasso",239
"Bryan L. Stuart",238
"Eicher, DL, Don",238
"John D. Lynch",238
"Ralph E. Crabill",238
"Deborah A. Triant",236
"Snelling",236
"William Smith-Vaniz",236
"Howe",235
"Ligia R. Benavides",235
"Millener, P. R.",235
"Steven Poe",235
"Theodore Lyman III",235
"Wayne P. Maddison",235
"Barry Bolton",234
"Conkin, J. E.; Conkin, J. E.",234
"Vandamme, D, Dider",234
"Garvie, Christopher",233
"James R. McCranie",233
"Janet R. Gomon",233
"John L. Cisne",233
"Mamet, BL, Bernard",233
"Martin Schwentner",233
"Alex K. Hastings",232
"Breimer; Macurda",232
"Gisele Y. Kawauchi",230
"Gustavo Hormiga",230
"Krumm, DK2",230
"Arthur L. Bloom",229
"Hayward; Buzas",229
"Kammerer, Christian F., (NCSM), North Carolina Museum of Natural Sciences (UNITED STATES)",229
"Carl Graf Attems",228
"MacKenzie, Kristen",228
"Mark M. Leiby",228
"Rivero",228
"A. P. Conway",227
