"identifiedBy","reps"
"Gunth.",4
"Gustavo Bravo",4
"Gutschick; Treckman",4
"Gutstadt",4
"(Hall), Clark",4
"(Hall), Haugh",4
"(Hall), Meek+Worthen",4
"Hallow.",4
"Handfield; Hansman",4
"Handfield; McKinney",4
"Harold Lester Babcock",4
"Harper; Towe, Kenneth M.",4
"Harrison E. Smith",4
"Harry Changnon",4
"Hartmann, JH",4
"Hasiotis, Stephen T.; Mitchell",4
"H. B. Thompson",4
"Hebrew Univ. Dept. of Entomology",4
"Hedges",4
"Henderson, Junius",4
"Henry P. Tsai, Kevin M. Middleton, John R. Hutchinson, Casey M. Holliday",4
"Hermann Augener",4
"Hising",4
"Hodgkins, JM",4
"Holdhaus",4
"Holland",4
"Holmgren",4
"Horace W. Stunkard",4
"Horne; Johnson",4
"Horner, John R.; Weishampel, David B.",4
"Horodyski",4
"House; Blodgett",4
"H. Sick",4
"Hubbard",4
"Hubert",4
"Hugh MacIntosh",4
"Hull",4
"Hu; Lochman, Christina",4
"Hurst; Watkins",4
"Ichiro Takeuchi",4
"Isch.",4
"ISRAELSKY",4
"Iván",4
"Jürgen Gruber",4
"J. A. Genaro",4
"Jalen Winstanley",4
"James A. Peters",4
"James C. Merrill",4
"James E. Böhlke, et al.",4
"James Hamilton McLean",4
"James Morris",4
"James S. Albert",4
"Jane Fromont",4
"Jann Vendetti",4
"Javidpour",4
"J. Barry",4
"J. C. Davis",4
"J. D. Tothill",4
"Jean Louis Hardouin-Michelin",4
"Jeanne S. Schwengel",4
"Jean T. Delacour, James C. Greenway",4
"Jeff Bartlett",4
"Jens V. Vindum, et.al.",4
"J. H. Eads",4
"J. Hunter, 1983",4
"Jim Duncan",4
"J. J. Rivers",4
"J. L. Hancock",4
"JLK, GF?",4
"J. Maudsley",4
"J. M. Cate, Oct 1963",4
"JMGallardo",4
"Joachim Barrande, Whittard",4
"Joaquim Reis",4
"John C. Moulton",4
"John D. McEachran, Richard E. Matheson, Jr.",4
"John E. McCosker, Richard H. Rosenblatt",4
"John E. Randall, J.D. DiBattista",4
"John E. Thayer, Outram Bangs",4
"John F. Lawrence",4
"John H. Ostrom, John S. McIntosh",4
"John K. Galbraith, Karsten E. Hartel",4
"John Pojeta",4
"John S. McIntosh, Kenneth Carpenter",4
"Johnson; Kendall",4
"John S. Owen",4
"John V. Calhoun",4
"John Vezey",4
"Jones; Irwin",4
"Jorgen G. Nielsen, M. P. Fahey",4
"Jorgen G. Nielsen, Peter Rask Moller",4
"Joseph Hartman",4
"Joseph Koniecki",4
"Jose Stuardo",4
"J. R. Dube",4
"J. R. H. Gibbons",4
"Jules Marcou",4
"JWF",4
"Kammer",4
"Karaman",4
"Karsten E. Hartel, George C. Miller",4
"Karsten E. Hartel, George V. Lauder",4
"Karsten E. Hartel, Michael Rhodin",4
"Karsten E. Hartel, William L. Fink",4
"Kay, Harris",4
"Kayser",4
"Kaza V. Rama-Rao",4
"Keith S. Thomson, Peter P. Vaughn",4
"Ken W. Able, M.P. Fahey",4
"Kevin Stack",4
"Kindle, Haynes",4
"Kirby Gilmore",4
"K.J. Ahn",4
"(Kloucek), Bruton",4
"K. M. Catley",4
"Kohn",4
"Kraft",4
"Kroeber",4
"Lafuste; Plusquellec, Yves",4
"Laiming",4
"(Lamarck), Hubert Lyman Clark, Benjamin Walworth Arnold",4
"LAMARK",4
"Larry D. Martin",4
"Larson, Peter L., (BHIGR), Black Hills Institute of Geological Research, Inc. (UNITED STATES)",4
"Laura M. I. Dean",4
"Laurent LeSage",4
"Lee",4
"Legacy - Currie, Philip J., (RTMP), Royal Tyrrell Museum of Paleontology (CANADA)",4
"Legacy - Oliver, William A., Jr., (USGS), United States Geological Survey (UNITED STATES)",4
"LeVeque, N1",4
"Lieberman; Edgecombe; Eldredge",4
"Linda S. Klise",4
"(Linne), Zeddie Paul Bowen",4
"L.Nesbitt",4
"Lochman",4
"Lochman-Balk, Christina",4
"Locket, 1961",4
"Loeblich Et Al",4
"Louis Hussakof",4
"L. Provancher",4
"Lucas, Spencer G., (NMMNHS), New Mexico Museum of Natural History & Science (UNITED STATES)",4
"Luciano Javier Avila",4
"Ludwig S. Schultze, Jackson",4
"Lukas Hartmann",4
"Luke Parry",4
"(Lycett), Buckman",4
"Lyelli",4
"Lyndon K. Murray",4
"MacNeil; MacNeil; Mertie; Pilsbry",4
"Maddocks",4
"Malinky; Mapes; Broadhead",4
"Mamay, Sergius H.; Reed",4
"Man-Wah Tan",4
"Mapes; Fahrer; Babcock",4
"Margaret S. Stevens",4
"Margery C. Coombs",4
"Mari H. Eilertsen, Manuel Antonio E. Malaquias",4
"Marius S. Wasbauer",4
"Marland Pratt Billings, Billings+Cleaves",4
"Marland Pratt Billings, Raymond",4
"Marland Pratt Billings, Willard",4
"Martens",4
"Martini",4
"Martin Pickersgill",4
"Massare, Judy A., (SUNY), State University of New York, Brockport (UNITED STATES)",4
"Matson",4
"Matthew; Granger",4
"Matthew P. Heinicke, Lauren M. Adderly, Aaron M. Bauer",4
"Matt Leister",4
"McCoy, Fay",4
"(McCoy), Stumm",4
"McDonald, Jerry N.",4
"McDunnough",4
"M. C. Knapp",4
"McLaughlin; Enbysk",4
"(Meek), Schuchert",4
"Meek; Worthen",4
"Merle Wesley Wing",4
"Michael A. Ivie",4
"Michael J. Ghedotti",4
"Michael W. Caldwell",4
"Michel Lapointe",4
"Miller and Gauly",4
"Miller+Gurley, Jackson",4
"Miller; Kummel, Bernard",4
"Miller, L.",4
"Miller; Parizek",4
"Mitchell; Repenning",4
"M.L.S. 1961",4
"Moore, Donald",4
"M. P. Fahey, Ken W. Able",4
"M.R. Brown",4
"Mr. George Langford Jr.",4
"M. T. Greenwald",4
"(Mueller), Hauser",4
"Muir-Wood, H. M.; Williams",4
"M.W. Brogan",4
"M. Weber",4
"Myron Budd Mittleman",4
"Naoko Egi",4
"Naomi Morris",4
"Nathaniel Ellis Atwood",4
"Nesbitt, Sterling J., (VPI), Virginia Polytechnic Institute and State University (UNITED STATES)",4
"(Nicholson), Davis",4
"Nicolas Pike Collection",4
"Nikolsky",4
"Noah L. Getz",4
"Noetling, Kummel+Steele",4
"O. Israelsson",4
"Okulitch+Albritton",4
"Oliver Lambert, Christian de Muizon, Giovanni Bianucci",4
"Oliver Luther Austin, Jr.",4
"Olsen",4
"Oswaldo Luiz Peixoto",4
"O. Torres-Carvajal",4
"Otto H. Swezey",4
"PAC",4
"Packard; Jones",4
"Palmer; Wilson",4
"Pape",4
"P.A. Pilitt, iii.2003",4
"P. A. Sarno",4
"Patricia A. Holroyd, Fabrice Lihoreau, Gregg F. Gunnell, Ellen R. Miller",4
"Paul A. Methuen, Hewitt",4
"Paul E. Olsen, Annika K. Johansson",4
"Paul Hillyard",4
"Paul Loiselle",4
"Paul M. Barrett",4
"Paul Muller",4
"Paulo Petry",4
"Percy M. Butler, James R. Mills",4
"Peter A. Jell",4
"Peter Forey",4
"Peter Gellinau",4
"Peter Rask Moller, Werner Schwarzhans",4
"Peter Reiners",4
"Petters; El-Nakhal; Cifelli",4
"Pfeifer",4
"Philip D. Gingerich, Richard A. Haskin",4
"Philipp Kruger",4
"Phyllis Maunt",4
"Pierre Pruvost",4
"Plafker, George; Harris; Reed",4
"Pojeta, John; Zhang",4
"Predeek, D.",4
"Pregill, Gregory K.; Olson",4
"Pribyl & Vanek",4
"Prosser",4
"Prothero, Donald R., (UNITED STATES)",4
"Ptasznik, Anna",4
"P. Warney",4
"Ralph E. Molnar, Kenneth Carpenter",4
"R.A. Travers",4
"Raymond A. Dart",4
"Raymond R. Hibbard",4
"Razouin",4
"R. Carter, 1986",4
"R. C. Osborn",4
"Redfield",4
"Reeside; Cobban",4
"Reiff",4
"Renaud Paulian",4
"Rene Jeannel",4
"Rezak",4
"R.F.D.",4
"R. F. Lang",4
"R. G. Bennett, vi.1987",4
"R. Hadorn",4
"RHeyer",4
"R. Ibers",4
"Ricardo Pittino",4
"Ricardo S. Santos",4
"Richard F. Kay, Elwyn L. Simons, Jennifer L. Ross",4
"Richard P. Vari, Carlos D. de Santana",4
"Rigby; Clement",4
"Rigby; Keyes",4
"Rigby; Stokes",4
"R. M. Dobson",4
"R.M. Reeves",4
"Robert D. Gordon",4
"Robert H. Gibbs, et al.",4
"Robert H. Kanazawa",4
"Robert J. Hamton",4
"Roberto Donoso-Barros",4
"Roberto E. Reis, Luiz R. Malabarba",4
"Robert Prescott",4
"Robert Ridgway",4
"Robert T. Jackson",4
"Robison+Sprinkle",4
"Roemer, Ludwig S. Schultze",4
"Rohwer, SA",4
"Rollins; Batten",4
"Roman Kozlowski",4
"Ronald J. McGinley",4
"Rosa Fernández, et al.",4
"Rose",4
"Rose A. Burch",4
"Rosenberg",4
"Ross, A. J.",4
"Roth",4
"ROUNDY",4
"Rowell; Beall",4
"(Rowley), Bodenbender",4
"R. P. Withington III",4
"R. R. Forster",4
"R. Squires & L. Groves",4
"Rudolf E. Mell",4
"R. W. Dexter",4
"Safford",4
"Sally Landry",4
"Samuel N. Rhoads",4
"Samuel S. Haldemann, Walcott",4
"Sandberg; Streel; Scott",4
"Sara ElShafie",4
"Sara J. Elshafie",4
"Saskia Brix",4
"Savage; Goodwin",4
"S. Campell",4
"Schaeffer, Bobb",4
"Schaeffer, Bobb; McDonald",4
"Schenck, H.",4
"SCHLUMBERGER",4
"Schmid",4
"Schneider/Wheeler",4
"Schramme",4
"(Schuchert), Zeddie Paul Bowen",4
"Sean O'Keefe",4
"Seiglie; Rivera",4
"Seitaro Goto",4
"Sellards",4
"Shaler+Foerste, Amadeus William Grabau",4
"Shiguru Shirai, Hiroyuki Tachikawa",4
"Shimer; Shrock",4
"Shotwell, J.",4
"Simon Yung Wa Sin",4
"Simpson,",4
"Sinclair",4
"Small",4
"S. M. Buck",4
"Smith; Bengston",4
"Snyder",4
"(Sowerby), Billings+Cleaves",4
"Spencer Fullerton Baird",4
"Speyer; Brett, Carlton E.",4
"S. S. B.",4
"Stanley Kemp",4
"Stark, RJ",4
"Steffi Ickert-Bond",4
"Stenzel, H",4
"Stephenson, Lloyd W.; Berry",4
"Steven L. Leipertz, Theodore W. Pietsch",4
"Stewart Blaine Peck, Joyce Cook",4
"S. Thorpe",4
"Stillman",4
"(Stoyanow), Teichert",4
"Strathearn",4
"Susan Cachel",4
"Sutherland",4
"(Swartz+Whitmore), Zeddie Paul Bowen",4
"Takuya Konishi",4
"T. Cekalovic",4
"Teodor T. Nalbant",4
"Teruaki Nishikawa",4
"Tetsuji Nakabo",4
"Theodore W. Pietsch, David B. Grobecker",4
"Thiel, Bruce",4
"THOMPSON, P.",4
"Tigran Tadevosyan",4
"Tinsley",4
"Todd Et Al",4
"Townsend",4
"T. T. Macan",4
"Ukhaguajargal Sanisuren",4
"Ulrich; Bridge",4
"Ulrich, Galloway+Kaska",4
"(Ulrich), Harris",4
"United States Exploring Expedition",4
"Upchurch",4
"Victor G. Springer, Karsten E. Hartel",4
"Villamil, T",4
"Vladimir J. Okulitch, Okulitch",4
"Vokes; Vokes",4
"Von Meyer, Phleger",4
"Wachsmuth+Springer",4
"Wagl.",4
"Walcott, DeMott",4
"Walcott, Landing",4
"Waller",4
"Walter G. Joyce, Ariel Revan, Tyler R. Lyson, Igor G. Danilov",4
"(Wanner)",4
"W.A. Palsson",4
"(WARTHIN)",4
"Wayne E. Clark",4
"W. Edgar Taylor",4
"Weems; Horman",4
"Weishampel, David B.; Heinrich",4
"Welby",4
"Westgate, James W., Lamar University (UNITED STATES)",4
"(White), Bernhard Kummel",4
"White, Wachsmuth+Springer",4
"Whitfield, August Frederick Foerste",4
"Wilcox",4
"William B. Rogers, Henry D. Rogers",4
"William C. Forbes",4
"William Clarke-Macintyre",4
"William Henry Twenhofel",4
"William J. Sinclair, Marcus S. Farr",4
"William More Gabb, Warren D. Allmon",4
"William P. Hall, III",4
"Winslow Lewis",4
"W.J. Gertsch, 1963; C. Rheims, 2004",4
"W. Keferstein",4
"W. L. Brown",4
"Wolcott",4
"Woodward",4
"W. S. Wright",4
"Xiao-Chun Wu, Donald B. Brinkman, Anthony P. Russell",4
"Xueshi Huang",4
"Yingiun Tang, Defa Yan",4
"Yochelson; Flower; Webers",4
"Yochelson; Lewis",4
"Yuong-Nam Lee",4
"Yu-ping Zhang",4
"Ziegler; Boucot; Sheldon",4
"Zodrow",4
"Zweiful",4
":",3
"Abdullah",3
"Abel",3
"A.B.T. Smith",3
"A.C. Edmond",3
"Achilles Andreae",3
"Adam Cohen",3
"Adamczak, F.",3
"Adkins",3
"A. D. Nash",3
"Édouard Placide Duchassaing",3
"Édouard Placide Duchassaing, Gioanni Michelotti",3
"A, E",3
"¿fide Causey, 1962¿",3
"Agassiz, Bruce Runnegar",3
"A. Gill",3
"A. Jacobi",3
"Akiko Okusu",3
"Aki Nakamura",3
"Alan H. Bornbusch, John G. Lundberg",3
"Alan Owston",3
"Alípio de Mirand- Ribeiro",3
"Albert K. Gunther",3
"Albert Monard",3
"Albert R. Main",3
"Alcide d'Orbigny, Jackson",3
"Alcide d'Orbigny, Pojeta+Runnegar",3
"Alcide d'Orbigny, Stumm",3
"Alexander Agassiz, Alfred Goldsborough Mayer",3
"Alexander L. Weickhardt",3
"Alexander Wetmore, James L. Peters",3
"Alex J. Haro",3
"Alfred S. Romer, Llewlyn I. Price",3
"Allan F. Archer",3
"A. L. Morrow",3
"A. Lourenco Gomes",3
"Alvah G. Dorr",3
"A. Matsukuma",3
"Amy Maxmen",3
"Anders M.C. Silfvergrip",3
"Andre",3
"Andre Giroti",3
"Andrew F. Atkins",3
"Angela M. Zanata",3
"Anna Jaquez",3
"Anne W. Everly, P.B. McInerney",3
"Annie T. Slosson",3
"A. Ownston",3
"A. Pazos",3
"Aquarial Gardens",3
"AquariumFish.net",3
"Arden H. Brame, Wake",3
"Arnal",3
"Arnold S. Menke",3
"Arnold Weber",3
"Arthur Daily",3
"Arthur S. Woodward",3
"Asahina",3
"A. Scholt",3
"A. S. F. Ditadi",3
"A. S. Honiball",3
"Ash; Pigg",3
"August C. Boll",3
"Auguste Henri André Duméril, Auguste Henri André Duméril",3
"Ayala",3
"Ayress, Michael A.",3
"Bückle",3
"Babcock, Loren E., (OSU), Ohio State University (UNITED STATES)",3
"BAGG",3
"Band, Girard",3
"Bangs and Goldthwaite",3
"Barbara Brown",3
"Barbara Lawrence, Arthur Loveridge",3
"(Barrande), Arthur J. Boucot",3
"Barrett, Paul",3
"Barr, F. T.",3
"Bartsch",3
"Basilewsky",3
"Basterot, Warren D. Allmon",3
"BAU",3
"BAUMFALK, ET AL.",3
"B. Dayrat",3
"B. Donovan",3
"Beard, K. Christopher, (CMNH), Carnegie Museum of Natural History (UNITED STATES)",3
"B. E. Bassett",3
"Bellamy",3
"Bellardi, Amadeus William Grabau",3
"Benjamin Gomez-Moliner, Oihana Razkin",3
"Ben Thuy",3
"Bergstrom; Cooper",3
"Berman; Reisz, Robert R.; Eberth",3
"BERMUDEZ",3
"BERRY",3
"Bert Hölldobler",3
"Best",3
"BGM",3
"Billings",3
"(Billings), DeMott",3
"(Billings), Willard",3
"Bin Bai, Yuan-Qing Wang, Fang-Yuan Mao, Jin Meng",3
"Birenheide",3
"Bistrom",3
"B. J. Kaston",3
"Bjork",3
"Blainville",3
"B. L. J. Delvinquier",3
"Bodo Hasso Dietz",3
"Bogan, A.",3
"Bohm, Alpheus Hyatt",3
"Bojanus",3
"BOLL",3
"Bolli; Bermudez",3
"Boston Society of Natural History Fish Ledger",3
"Boston University",3
"Bottle Label(s), Christopher P. Kenaley, Ann E. Holmes",3
"Bottle Label(s), Karsten E. Hartel",3
"Boyer, Doug M., Duke University (UNITED STATES)",3
"BRADY, H.",3
"Bramlette",3
"Bramlette; Riedel",3
"Brendon E. Boudinot, Rachelle Adams, Theodore P. Sumnicht",3
"BRENNER",3
"Brian V. Timms",3
"Britta Doering, Sven Mecke",3
"Brocchi",3
"Brotzen",3
"Brouwers, EM, Elisabeth",3
"Browley",3
"Bruce B. Collette, Nicolay V. Parin",3
"Bruce Runnegar",3
"Bttgr.",3
"Burckhardt",3
"Burckhardt, Albritton",3
"Butterfield",3
"C. Abbott",3
"C. A. Collingwood",3
"Camras",3
"Canadian Arctic Expedition 1913-1918",3
"Carey Croneis",3
"Carleton A. Shurtleff",3
"Carlos D. de Santana, Richard P. Vari",3
"Carl Semper",3
"Carol Hickman",3
"(Carsey)",3
"Carter, Claire",3
"Carter R. Gilbert, Robert H. Gibbs",3
"Casey Richart",3
"Cate",3
"C. Barry Knisley",3
"C. C. Finley",3
"C. Champion",3
"C. C. Young",3
"Cecil Frank Underwood",3
"C. G. Jara",3
"Chaloner",3
"Chandra Aulsbrook",3
"Chapman; Weber; Churkin; Carter",3
"Charlene A. Clark",3
"Charles A. M. Meszoely",3
"Charles C. Stebbins",3
"Charles D. Michener",3
"Charles Eaton Bailey",3
"Charles J. Maynard, Zeddie Paul Bowen",3
"Charles M. Sternberg",3
"Charles Thomas Bingham",3
"Charles Wenner",3
"CHARLTON",3
"Chase D. Brownstein",3
"CHECC-RISPOLI",3
"C. Henderson",3
"C. Herbert, Torsten Dikow",3
"C. H. Richardson",3
"Chris R. Feldman, Richard F. Hoyer",3
"Christina Byrd",3
"Christine L. Chandler",3
"Christopher B. Stringer",3
"Christopher C. Gilbert, Biren A. Patel, Ashley C. Friedman, Kelsey Pugh, John G. Fleagle, Rajeev Patnaik",3
"Chuck Byrne",3
"Clarke, Billings+Cleaves",3
"Clark, W",3
"Clell L. Metcalf",3
"Clement S. Brimley",3
"Cloud; Germs",3
"C.L.Smith",3
"C. Muniz",3
"Colbath",3
"CONKIN",3
"(Conrad)",3
"Cooper; Phelan",3
"Cooper, Roger",3
"Coquand, Hamlin",3
"CORYELL | BOOTH",3
"CORYELL | ROGATZ",3
"Cory S. Sheffield",3
"Cotteau, Hubert Lyman Clark",3
"CR",3
"Crane; Dilcher, David L.",3
"CRONEIS, GALE",3
"Cushman; Dorsey",3
"CUSHMAN | HUGHES",3
"Cynthia Klepadlo",3
"D. A. Bassett",3
"Dale R. Jackson",3
"Daniela Andriamalala",3
"Daniel F. Damrow",3
"Daniel Goujet",3
"Danny Shpeley",3
"(d'Archiac+Verneuil), Fay",3
"Darragh",3
"David B. Legters",3
"David Cameron, Rajeev Patnaik, Ashok Sahni",3
"David F. Wright, Alycia L. Stigall Rode",3
"David G. Robinson",3
"David G. Smith, Rex Passion",3
"David K. Moss, Steven Westrop",3
"David Starr Jordan, Charles H. Gilbert",3
"David W. Greenfield",3
"D.B. Shirt",3
"D. Dilwyn John",3
"(de Ferussac+D'Orbigny",3
"(de Gregorio), Warren D. Allmon",3
"Dehm",3
"Deiss",3
"Delise Alison, Robert L. Carroll",3
"Dennis Bazylinski",3
"Denton",3
"(de Serres), Smith",3
"De Verneuil, Geinitz",3
"D. G. Reid",3
"D. Guinot",3
"Dickhort",3
"(Diener), Teichert+Kummel",3
"Dimitrov and Hormiga",3
"D. Krueger",3
"Dolidier",3
"Dominique A. Didier, et al.",3
"Donald Baird, John R. Horner",3
"Donald E. Bright",3
"Donald Fife",3
"Donald R. Davis",3
"Donn E. McAllister",3
"d'Orb",3
"(D'ORBIGNY)",3
"Doug Nelson",3
"DOUVILLE",3
"Dowling",3
"Doyle; Hickey, Leo J.",3
"D. Parmley",3
"DR",3
"Dr. A.J. (Ton) de Winter",3
"Dr. Antonio Santos-Silva, Eugenio H. Nearns, Dr. Ian P. Swift",3
"Dr. Debra A. Willard",3
"Dr. D. Thys van den Audenaerde",3
"Dr. Francis M. Hueber",3
"Dr. Ilya Temkin",3
"Dr. Ing. C. van Achterberg",3
"Dr. Jeremy Hatch",3
"Dr. Joseph A. Cushman, J. B. Garrett",3
"Dr. Mark W. Westneat",3
"Dr. Michael S. Caterino",3
"Dr. Otis",3
"D.R. Smith",3
"Dr. Stuart Weller",3
"D. S. Thompson",3
"D. Thistle",3
"Duane E. Stevenson, Christopher P. Kenaley",3
"Duges",3
"(Duncan), Vaughan",3
"D. W. C. Brown",3
"E. A. Schwarz",3
"E.B.B. and H.E.F.",3
"Edger E. Teller",3
"Edmond V. Malnate",3
"Edwards, R. A.",3
"Edwin H. Colbert, Paul E. Olsen",3
"E. Ehlers?",3
"Elena K. Kupriyanova",3
"Emig",3
"Emilio Rolán, Federico Rubio",3
"Emry, Robert J.; Purdy, Robert W.",3
"Emry, Robert J.; Thorington",3
"ENI",3
"Erickson",3
"Eric Simms",3
"Ernest André",3
"Erving",3
"Eshelman, Ralph, Museum Director (CMM), Calvert Marine Museum (UNITED STATES)",3
"Estrada, Orlando H. Garrido",3
"(Etheridge+Carpenter), Fay",3
"Eugene K. Balon",3
"Eugene Louis Bouvier, Fenner A. Chace, Jr.",3
"E/V Nautilus-087, Ocean Exploration Trust",3
"Exequiel González, Les Watling",3
"Fabricius",3
"F. Chapman ident.",3
"F. E. Blaisdell",3
"Federico Rubio",3
"Felipe Curcio",3
"F. G. G. Sargent",3
"F. H. Bradley",3
"(FICHTEL | MOLL)",3
"Fide Maglio 1970",3
"F. Meinert",3
"Fonger, George Charles",3
"Francesco Patti",3
"Francis Arthur Bather",3
"Francis Bernard",3
"Francis N. Balch",3
"Frank J. Mather III",3
"Frank Lesure",3
"Frank Morton Carpenter",3
"Frank Stephens",3
"Frazier",3
"Frederick B. Loomis",3
"Frederick B. Plummer",3
"Frederick H. Berry, Izadore Barrett",3
"Friend; Riedel",3
"Friese",3
"Fr. Winterfeld",3
"Fry",3
"FSV Henry B. Bigelow, Karsten E. Hartel",3
"F. S. Wright",3
"(Gabb 1860)",3
"Gallerdo",3
"GALLOWAY",3
"Galloway | WISSLER",3
"Garbe",3
"Garry F. Mayer, Janis Speel",3
"Gary J. Umphrey",3
"Gates",3
"Gauld",3
"G.D.F. Wilson",3
"Gemminger",3
"George B. Rabb",3
"George E. Bohart",3
"George H. Girty",3
"George H. H. Tate",3
"George H. Parker",3
"George S. Myers, Richard P. Vari",3
"George W. Bond",3
"Gerard case",3
"Gerhard Solle",3
"Gerhardus P. F. Van Dam",3
"Gerrit S. Miller, Jr.",3
"Gerschman-Schiapelli",3
"G. F. Becker",3
"Gillette",3
"G. Kanakoft",3
"Glenn Bacon",3
"Glover Morrill Allen, Arthur Loveridge",3
"Gmelin",3
"G. M. Kay",3
"G. Nekola",3
"GNL",3
"G. O. Hunter",3
"Goin",3
"Goldfuss ?",3
"Goldfuss, Hamlin",3
"Goodchild",3
"Gordon Hendler",3
"Gordon; Yochelson, Ellis L.",3
"Grabau",3
"Graham",3
"(Gray",3
"Greene (Wisconsin), Stumm",3
"Gregg",3
"Gregor",3
"G. Richard Harbison",3
"Gries, R",3
"Griswold",3
"Groves",3
"Guibe",3
"Guillermo J. Wibmer",3
"Gulf Specimens Marine Laboratories",3
"Gulick",3
"Gunnar Hoy",3
"Guppy, Jackson",3
"Gustavo Augusto S. Melo-Filho, Alphonse Milne-Edwards",3
"Guy E. Pilgrim, G. D. Cotter",3
"Gygi; Hillebrandt",3
"(Hall), Bodenbender",3
"(Hall), Haynes",3
"Hall in Miller",3
"(Hall), Kindle+Whittington",3
"(Hall), Shaw",3
"Hall; Simpson",3
"Han Nijssen, Isaac J. H. Isbrücker, J. Géry",3
"Hanselman",3
"Hansen",3
"Hans G. Kugler",3
"Hans G. Stehlin",3
"Harmatuk, Peter James, Sr.",3
"Hartmut Nordsieck",3
"Hass, W. H.",3
"(Hawle+Corda)Bruton",3
"Hayward; Poignant",3
"Hazel, J. E.",3
"H. Bustard",3
"H C Brimley",3
"H. Davis",3
"Heidi M. Banford",3
"HEIM",3
"Heinrich Georg Bronn, Campbell",3
"Heinrich Georg Bronn, G. A. Moore",3
"Hempel",3
"Hendrik Klaas Mienis",3
"Henry A. Ward",3
"Henry B. Roberts",3
"Henry K. Townes",3
"Henry M. Reiswig, Martin Dohrmann",3
"Herman A. Scullen",3
"Hermann Stitz",3
"H. Franz",3
"H. Garrett",3
"H. G. May, vii.1917",3
"H.H. Eames",3
"H. Hill",3
"Hillmer; Gautier; McKinney",3
"H.J. Clark",3
"H. Krause",3
"Hoffmeister",3
"Holo",3
"Honttugn.",3
"Horace Mann, Jr.",3
"HOta",3
"HOWE, GARRETT",3
"HOWE, SPURGEON",3
"H. R. Oliver",3
"H. Sahlman",3
"Huene",3
"Hugh C. Land",3
"Hugh Daigle",3
"Humphrey",3
"H. V. Wilson",3
"Hyatt, G. A. Moore",3
"Hyatt+Smith, Kummel+Erben",3
"H. Zaber",3
"H. Zaher",3
"Id. confirmed by A. Baker, 25.v.2001",3
"ident. W.F. Whittard",3
"I. Lea",3
"Imlay, Ralph W., Geologist, U.S. Geological Survey",3
"Inocencio A. Ronquillo",3
"I. S. Davesky",3
"Jacisin III, John",3
"(Jackson), Cutress",3
"Jae-Cheon Sohn",3
"James A. Vanegas-Rios",3
"James B. Thompson Jr., Arthur J. Boucot",3
"James E. Craddock, Charles Karnella",3
"James E. Craddock, Giles W. Mead, Jr.",3
"James E. Morrow, Jr., Judy D. Weinstein",3
"James E. Parham",3
"James V. Moody",3
"James Wittenmyer Chapman",3
"Jan Bohatý",3
"Jan O. Ebbestad",3
"Jason L Brown",3
"J. A. Vargas",3
"J.B. Folsom",3
"J. Boughman",3
"J. C. Chamberlin",3
"J. C. den Hartog",3
"J. C. McCain",3
"J. D. Hague",3
"JDL?",3
"J. D. Smith",3
"J.D. Smith",3
"J. E. De Falla",3
"Jefferies",3
"Jefferies Wyman",3
"Jeffrey H. Skevington",3
"Jerdon",3
"J. E. Roughgarden, Garry F. Mayer, Diego F. B. Vaz",3
"Jesse Francis McClendon",3
"Jessica D. Cundiff",3
"J. F. LeBaron",3
"J F. Manso",3
"J. Frank McKinney",3
"J. F. Zikan",3
"J. G. Cooper",3
"J. H. Sternbergh",3
"Jiří Kříž",3
"Jim I. Mead",3
"Jim Kerr",3
"Jiri Zidek",3
"J. M. Nickles",3
"J. M. Watts",3
"Joanna G. Larson, Breda M. Zimkus",3
"Joel E. Carman",3
"Johannes Müller",3
"Johann Friedrich von Eschscholtz",3
"John A. White",3
"John J. Burns",3
"John P. Hunter, Joseph H. Hartman, David W. Krause",3
"John Pope, Hairstron",3
"John R. Bartlett",3
"John R. Horner, Armand De Ricqles, Kevin Padian",3
"Johnson, Garrett S. Glodek",3
"Johnson, J.",3
"Johnson; Ludvigsen, Rolf",3
"John Veazey",3
"Jones; Detterman",3
"Jong",3
"Jordon; Banner",3
"Jorge W. Moreno-Bernal",3
"José Miguel Cei, Castro",3
"José Templado",3
"Josef Müller",3
"Jose Hidasi",3
"Jose Leal",3
"Joseph Willcox",3
"Joshua H. Miller",3
"J.P.E.M., 1946",3
"J. Q. B., Mrs. E. Clark",3
"J. R. Maudsley",3
"J. Salmela",3
"Juan C. Cisneros",3
"Ju-kang Woo, Minchen Chow",3
"JULIA SCHAPP",3
"J. van der Vech",3
"J. W. Fitzpatrick",3
"Kaltenbach",3
"K. Amaoka",3
"Karaw",3
"Karl F. Hirsch",3
"Karrer",3
"Karsten E. Hartel, Ann E. Holmes",3
"Karsten E. Hartel, Bruce B. Collette",3
"Karsten E. Hartel, Douglass F. Hoese",3
"Karsten E. Hartel, Giles W. Mead, Jr.",3
"Karsten E. Hartel, P. A. Hulley",3
"Karsten E. Hartel, Ricardo S. Santos",3
"Karsten E. Hartel, Richard H. Backus",3
"Karsten E. Hartel, Shelley Bleiman",3
"Karsten E. Hartel, Van Ryn",3
"Kate Edwards",3
"Kathleen S. Anderson",3
"K. A. Williams",3
"(Kay), Harris",3
"Keiji Baba",3
"Keith Bannister",3
"Kellett, Betty",3
"Kemp, AH",3
"Kemper, C.",3
"Kenneth D. Rose, Marc Godinot, Thomas M. Bown",3
