"class","reps"
"Appendicularia",6
"Dictyostelia",6
"Group Default",6
"HETERACTINIDA",6
"Magnoliids",6
"Mollusca",6
"Myxogastria",6
"Pentamerida",6
"Pteridophyta",6
"Rhynchonellida",6
"Spatangoida",6
"Vetigastropoda",6
"Articulata (Brachiopoda)",5
"Cephalaspidea",5
"Desmospongea",5
"Dinocaridida",5
"Euomphalina",5
"Ichnotaxa",5
"Monogenea",5
"Pelecaniformes",5
"Plesiosauria",5
"Rostrochonchia",5
"Solenogastres",5
"Algae",4
"Annularia",4
"Anthoceropsida",4
"Anthrozoa",4
"ARACHNIDA",4
"Artiodactyla, Perissodactyla",4
"Bacillariophycidae",4
"CALCAREA",4
"Camarodonta",4
"Dinocardia",4
"Diptera",4
"Echinoida",4
"Gingkoopsida",4
"Helcionelloida",4
"Lagenina",4
"Magnoliophyta",4
"Merostomoidea",4
"Onychyophorida",4
"Parablastoidea",4
"Pinales",4
"Sabellida",4
"Sphinctozoa",4
"Thoracica",4
"Tommotiida",4
"Zoantharia",4
"Zygnematophyceae",4
"Aglaophytopsida",3
"Anthozoa?",3
"Archaeogastropoda",3
"Batoidea",3
"Branchiura",3
"?Calyptoptomatida",3
"Cambroemida",3
"Cephalopoda | Ammonoidea",3
"CHILEATA",3
"Cidaroida",3
"Condylarthra",3
"Cryptogamas",3
"Desmostylia",3
"Entognatha?",3
"Gammaproteobacteria",3
"Granuloreticulosa",3
"HOLOTHUROIDEA",3
"Homolazoa",3
"Kinorhyncha",3
"Lepidocystoidea",3
"Limoida",3
"Medusae",3
"Mesogastropoda",3
"Miliolidia",3
"Multiplacophora",3
"Nematophyta",3
"Peltaspermopsida",3
"Psammocorallia",3
"Rhychonellata",3
"Rhynchonella",3
"Rotalidia",3
"RYNCHONELLATA",3
"Siluriformes",3
"Stylommatophora",3
"Amphibia ichnites",2
"Arachnida?",2
"Arbacioida",2
"Archaeopriapulida",2
"Archypolypoda",2
"Atrypida",2
"BACILLARIOPHYCEAE",2
"bird track",2
"Brachiopoda incertae sedis",2
"Canalipalpata",2
"Caprimulgiformes",2
"Catenulida",2
"Cetartiodactyla",2
"Cheilostomatida",2
"Cnidaria",2
"Coniferopsida",2
"Crinoidea?",2
"Dichoporita",2
"Echiura",2
"Fenestrida",2
"Graptolithoidea",2
"Halwaxiida",2
"HELICOPLACOIDEA",2
"Hepticae",2
"Heterotrichea",2
"Hexactinellidas",2
"ICZN",2
"IRREGULARES",2
"Marsupialia",2
"Medusae?",2
"Medusozoa",2
"Myzostomia",2
"Nectonematoida",2
"Neoloricata",2
"Noeggerathiopsida",2
"Palm",2
"PATERINATA",2
"Pisces",2
"Proteales",2
"Reptile",2
"RHOMBIFERA",2
"Salenioida",2
"Scaphopoda?",2
"Silicispongiae",2
"Sirenia",2
"Stauropteridopsida",2
"Stomatopoda",2
"Temnospondyli",2
"Tubulinea",2
"Unionida",2
"Vermes",2
"Vetulicolida?",2
