"family","reps"
"Labridae",1916
"Callistophytaceae",1908
"DIDELPHIDAE",1905
"Oonopidae",1904
"Proetidae",1895
"Typhlopidae",1891
"Pleurotomariidae",1876
"Matoniaceae",1857
"Mammutidae",1851
"Podicipedidae",1851
"Finkelnburgiidae",1850
"Caprimulgidae",1849
"Limidae",1849
"Mosasauridae",1848
"Meliphagidae",1847
"Dendrocolaptidae",1835
"Spinocyrtiidae",1835
"CAMELIDAE",1834
"Chamidae",1822
"Neoicoceratidae",1821
"Lingulidae",1819
"Pediomyidae",1799
"Pipridae",1799
"Kannemeyeriidae",1798
"Dichograptidae",1792
"Trachyleberididae",1789
"Caryocrinitidae",1787
"Notonectidae",1775
"CYPRAEIDAE",1774
"PYRAMIDELLIDAE",1767
"LEPORIDAE",1758
"PLICATULIDAE",1752
"Strophodontidae",1747
"Cicadellidae",1741
"Helicellidae",1739
"Cambaridae",1733
"Lauraceae",1730
"Majidae",1729
"Sphenodiscidae",1727
"Pipidae",1725
"CASSIDULIDAE",1722
"Taxodiaceae",1719
"Arthroleptidae",1718
"Gymnophthalmidae",1712
"Streptaxidae",1712
"Bakevelliidae",1706
"Pachyporidae",1706
"Percidae",1705
"VOLUTIDAE",1704
"Hypertragulidae",1696
"Sturnidae",1689
"Aulophyllidae",1682
"Terebratulidae",1672
"FAVIIDAE",1670
"Asterothecaceae",1668
"Amphilemuridae",1665
"Pteriidae",1663
"FISSURELLIDAE",1662
"Maeandrostiidae",1653
"Grammysiidae",1646
"Cancellariidae",1640
"Leguminosae",1622
"Cylindrodontidae",1621
"Gobiidae",1606
"Bibionidae",1602
"Pomacentridae",1596
"Wellerellidae",1595
"Toxasteridae",1594
"Dermatemydidae",1590
"Plataleidae",1584
"Centronellidae",1583
"Phrurolithidae",1578
"Estrildidae",1574
"Pseudorthoceratidae",1574
"Tetragnathidae",1566
"Xanthidae",1553
"Mycetophilidae",1542
"Ampullariidae",1536
"Architectonicidae",1536
"Paguridae",1532
"Megatheriidae",1526
"Schuchertellidae",1524
"Faviidae",1521
"Phytosauridae",1521
"Rhacophoridae",1520
"Tenebrionidae",1517
"LEPTOMERYCIDAE",1509
"Lithobiidae",1509
"Monarchidae",1509
"Siphonariidae",1506
"Ataxophragmiidae",1505
"Hemiasteridae",1505
"ISCHYROMYIDAE",1500
"NOETIIDAE",1499
"Patellidae",1490
"Anazygidae",1485
"Elateridae",1485
"Purgatoriidae",1470
"Sphenophyllaceae",1468
"RHINOCEROTIDAE",1462
"Aplodontidae",1460
"Sphingidae",1450
"Odontopleuridae",1449
"Thiaridae",1439
"Potamididae",1437
"Cercopithecidae",1435
"Anopliidae",1431
"Girtyocoeliidae",1424
"Procyonidae",1423
"Glyptodontidae",1420
"Triglidae",1415
"Heterelasminidae",1409
"SCIURIDAE",1407
"Triaenonychidae",1404
"Thyasiridae",1402
"Yoldiidae",1402
"Erinaceidae",1398
"Merluccidae",1395
"Hyracodontidae",1390
"Hyaenodontidae",1388
"Isectolophidae",1384
"Richthofeniidae",1383
"ANOMIIDAE",1380
"MELLITIDAE",1380
"Eucalyptocrinitidae",1379
"Parallelodontidae",1378
"Chitonidae",1372
"Psammobiidae",1371
"Trogonidae",1361
"Acanthoceratidae",1360
"Acteonidae",1360
"Hesperorthidae",1355
"Scaphandridae",1347
"Edmondiidae",1345
"Hahniidae",1343
"Mugilidae",1342
"Brancoceratidae",1335
"Cottidae",1332
"Lepidosirenidae",1330
"Monotomidae",1329
"Zygopteridaceae",1327
"Schizophoriidae",1322
"Stenoscismatidae",1320
"Periptychidae",1318
"Protoscutellidae",1318
"PROSCIURIDAE",1314
"Stomiidae",1311
"Notharctidae",1308
"Pristidae",1303
"Elopidae",1302
"Amplexidae",1299
"Mephitidae",1299
"Muraenidae",1296
"Erisocrinidae",1287
"Sciuravidae",1287
"Euphemitidae",1283
"Spongiidae",1283
"Amphicyonidae",1281
"Crangonidae",1281
"Lampterocrinidae",1281
"Myophoriidae",1280
"Leptictidae",1274
"OLIVELLIDAE",1272
"Catacrinidae",1269
"Araucariaceae",1268
"Scolopendridae",1259
"NUCULANIDAE",1253
"Stagonolepididae",1253
"RHIZANGIIDAE",1252
"Dugongidae",1249
"Cranaenidae",1237
"Campephagidae",1234
"Cathartidae",1232
"Sparidae",1230
"BRISSIDAE",1229
"Gryllidae",1228
"Acipenseridae",1227
"Catostomidae",1220
"Cucullaeidae",1219
"Viverravidae",1219
"Triviidae",1215
"Paromomyidae",1214
"GEOMYIDAE",1198
"Miacidae",1196
"Uintacrinidae",1196
"Bothidae",1194
"Helaletidae",1190
"Conulariidae",1178
"Apodidae",1174
"Portunidae",1174
"Psaroniaceae",1174
"Sphyraenidae",1174
"Cyclidae",1173
"Discidae",1173
"VERMETIDAE",1169
"Pholcidae",1165
"Protoceratidae",1163
"Salmonidae",1162
"Eucosmodontidae",1157
"Phymatopleuridae",1156
"Lyttoniidae",1155
"Cyathopsidae",1151
"Spiraxidae",1149
"Punctospiriferidae",1138
"Amphisbaenidae",1135
"Lemmatophoridae",1135
"Capitonidae",1133
"CALLIOSTOMATIDAE",1132
"Saturniidae",1132
"EPITONIIDAE",1131
"Murchisoniidae",1129
"Bombycillidae",1126
"Plethopeltidae",1125
"Ophichthidae",1121
"Hebetoechiidae",1118
"Acanthotelsonidae",1116
"Cyrtiidae",1115
"Fabaceae",1113
"Paralichthyidae",1112
"TOXASTERIDAE",1108
"Buliminidae",1106
"Clubionidae",1106
"Alokistocaridae",1105
"OCYPODIDAE",1105
"Pteropodidae",1105
"Spiriferinidae",1101
"Belemnitidae",1098
"Osmundaceae",1090
"Nautilidae",1089
"Astronesthidae",1082
"PORTUNIDAE",1082
"TORNIDAE",1082
"Balaenopteridae",1078
"Macluritidae",1078
"Rhodocrinitidae",1074
"Peradectidae",1071
"Pachyporidae?",1066
"Buthidae",1065
"Diprotodontidae",1062
"Haliotidae",1062
"Mantellidae",1056
"Exocoetidae",1054
"DENTALIIDAE",1049
"Istiophoridae",1047
"Obolidae",1047
"Nemichthyidae",1045
"Cimolodontidae",1044
"Neurodontopteridaceae",1041
"Halloporidae",1039
"Pomatomidae",1038
"Gempylidae",1035
"HETEROMYIDAE",1035
"Bullidae",1033
"Parastrophinidae",1029
"Batocrinidae",1025
"Paradoxididae",1024
"Hughmilleriidae",1023
"Tetrarhynchiidae",1022
"Phillipsiidae",1019
"Scorpaenidae",1012
"Sulidae",1011
"Placenticeratidae",1009
"Adapisoricidae",1008
"Rhamnaceae",1007
"EULIMIDAE",1006
"Redfieldiidae",1002
"Trinucleidae",1002
"Acanthuridae",1000
"Malacosteidae",1000
"Natricidae",999
"Solenidae",999
"Agnostidae",996
"PALAEONISCIDAE",994
"Craniidae",991
"Ginkgoaceae",989
"FLEMINGOSTREIDAE",988
"Hexanchidae",984
"Cyclophoridae",982
"Monacanthidae",981
"Equisetaceae",979
"Meniscotheriidae",979
