"index.phylum","reps"
"plestiodon obsoletus",5
"proboscidea sp.",5
"remondella waldroni",5
"scaphiopus couchii cf.",5
"scleractinian ?",5
"securella",5
"spatangoida",5
"taxaceae",5
"testudinidae",5
"tumion gracillimum",5
"acritarcha",4
"amoebozoa",4
"amphibia sp.",4
"angiosperms - eudicots",4
"angiosperms - eurosids ii (malvids)",4
"anser ?",4
"apalone sp.",4
"aphelocoma californica cf.",4
"aquila chrysaetos ?",4
"aquila chrysaetos cf.",4
"arborimus albipes",4
"arctodus or ursus",4
"arthropodae",4
"asio flammeus cf.",4
"bacillariophyta",4
"barnacles",4
"bogertophis subocularis cf.",4
"bos taurus cf.",4
"brachiopod",4
"capromeryx or stockoceros",4
"charadrius vociferus",4
"choanozoa",4
"chordata | vertebrata",4
"coleoptera",4
"cratogeomys sp.",4
"crustacea",4
"cryptozoa",4
"cyrtonyx cf.",4
"dicyemida",4
"elgaria kingii",4
"emberizidae sp.",4
"erethizon dorsatum cf.",4
"falconiformes sp.",4
"foraminella",4
"geomys cf.",4
"gulo",4
"gymnogyps californianus cf.",4
"hemithiris psittacea",4
"ichnotaxa",4
"iguanidae sp.",4
"kirkospira glacialis",4
"nannippus peninsulatus",4
"panope",4
"pantherophis emoryi cf.",4
"prolicaphrium sanalfonensis",4
"pseudacris triseriata cf.",4
"quiscalus sp.",4
"radiolaria",4
"saiga tatarica",4
"saurichthys",4
"serpulidae",4
"smilodon fatalis",4
"spermatophyta",4
"subansiria",4
"tomiopsis",4
"trimerophytophyta",4
"trophonopsis",4
"urocyon cinereoargenteus cf.",4
"accipitridae",3
"anaxyrus cognatus",3
"anaxyrus cognatus cf.",3
"ancistrolepis eucosmius",3
"ankylosauridae",3
"anomia",3
"anthropoda",3
"antiplanes",3
"antiplanes voyi",3
"ardeidae",3
"aspidoscelis tigris",3
"beringius crebricostatus",3
"bogertophis or elaphe",3
"bos or equus",3
"brachylagus idahoensis ?",3
"cathartes aura cf.",3
"chaetodipus cf.",3
"chelonia ?",3
"cidaroida",3
"ciliophora",3
"coragyps occidentalis ?",3
"cygnus",3
"desmostylidae",3
"eptesicus fuscus cf.",3
"fusitriton",3
"geomys arenarius or geomys bursarius",3
"ginkgophyta",3
"idiognathoides",3
"leptagonia",3
"linoproductus meniscus",3
"lucina hannibali",3
"macoma inquinata",3
"macoma moesta",3
"mactra",3
"?mollusca",3
"molossidae sp.",3
"muramotoceras",3
"muridae",3
"mustelidae ?",3
"myrmicinae",3
"natica clausa",3
"navahoceros ?",3
"navahoceros fricki",3
"navahoceros fricki ?",3
"numenius americanus",3
"odontophoridae sp.",3
"onychomys cf.",3
"ophiuroidea",3
"oreamnos ?",3
"pachycephalosauridae",3
"parataxodium wigginsii",3
"picidae sp.",3
"pinaceae",3
"pinales",3
"plesiosauria",3
"pliomys deeringensis",3
"porifera?",3
"proteobacteria",3
"pseudoprotophyllum",3
"pusa hispida",3
"quenstedtoceras",3
"salvadora cf.",3
"sauria ?",3
"scutellaster hertleini",3
"sonninia projectifer cf.",3
"spirotropis",3
"stegacanthia",3
"strigiformes sp.",3
"tapirus sp.",3
"theosodon sp.",3
"tympanuchus cf.",3
"tyto alba",3
"urocitellus elegans cf.",3
"urosaurus ornatus cf.",3
"vespertilionidae",3
"zoantharia",3
"accipitridae cf.",2
"acroteuthis",2
"admete couthouyi",2
"aforia clallamensis",2
"alispirifer",2
"alphachoristites trautscholdi",2
"ammospermophilus sp.",2
"anatidae",2
"anaxyrus debilis",2
"anaxyrus punctatus cf.",2
"ancistrolepis clarki",2
"angiosperms - magnoliids",2
"anser  ?",2
"antiplanes perversa",2
"antrozous cf.",2
"aphelocoma ?",2
"aphelocoma californica",2
"aphelocoma cf.",2
"aquila or haliaeetus",2
"ardeidae ?",2
"asio ?",2
"asteroidea",2
"aves ?",2
"aves cf.",2
"baiomys or reithrodontomys",2
"brachiopoda | mollusca",2
"camelidae",2
"carabidae",2
"caracara cheriway cf.",2
"cardium alaskensis",2
"cathartes ?",2
"cathartes aura ?",2
"cathartidae ?",2
"centrocercus minimus ?",2
"cervidae sp.",2
"chaetodipus hispidus cf.",2
"chaetodipus intermedius cf.",2
"chelonia cf.",2
"chonetinella sp.",2
"chordata|vertebrata",2
"chytridiomycota",2
"clypeasteroida",2
"colaptes auratus cf.",2
"colinus cf.",2
"colinus or oreortyx",2
"colinus virginianus ?",2
"colubridae cf.",2
"conepatus or mephitis",2
"coniferophyta",2
"conus adversarius",2
"corynorhinus townsendii cf.",2
"cubanaster torrei",2
"cylindroteuthis",2
"cynomys or otospermophilus",2
"dasiops",2
"declinognathodus noduliferus noduliferus",2
"dennstaedtia",2
"dinosauria ?",2
"dolichoderinae",2
"dromaeosaurus albertensis",2
"echinodermata?",2
"eocylindroteuthis gracilenta",2
"eptesicus fuscus ?",2
"equisetites",2
"equisetum",2
"eremophila alpestris cf.",2
"erignathus barbatus",2
"euceratherium collinum cf.",2
"felidae",2
"felidae sp.",2
"fissurellidae",2
"galliformes sp.",2
"gastropod",2
"geococcyx californianus conklingi ?",2
"geococcyx californianus conklingi cf.",2
"geomyidae ?",2
"geomyidae cf.",2
"glyptostrobus",2
"gopherus ?",2
"gymnospermopsida",2
"hindeodus minutus",2
"hypsiglena sp.",2
"ictaluridae sp.",2
"junco cf.",2
"laqueus",2
"leodia sexiesperforata",2
"lepus or sylvilagus",2
"linoproductus",2
"liocyma",2
"lithobates blairi or lithobates pipiens",2
"lora",2
"macclintockia",2
"macoma lorenzoensis",2
"macrophylloceras",2
"mactridae",2
"mangelia variegata",2
"marcia angustifrons",2
"marginella",2
"meleagris cf.",2
"meleagris crassipes",2
"meleagris crassipes cf.",2
"meleagris gallopavo ?",2
"menispermites",2
"mennerella",2
"messor sp.",2
"metasequoia occidentalis",2
"mimidae",2
"mimus polyglottos",2
"mohnia exquisita",2
"mollusa",2
"mytilidae",2
"myxozoa",2
"natica russa",2
"nautiloidea",2
"navahoceros cf.",2
"neotoma quadriplicatus",2
"neptuneidae",2
"noeggerathiophyta",2
"notiosorex dalquesti cf.",2
"nuculanidae",2
"nymphaeales",2
"ogmodontomys poaphagus cf.",2
"onychomys bensoni",2
"oomycota",2
"oreamnos cf.",2
"oreamnos harringtoni ?",2
"panomya norvegica",2
"panope snohomishensis",2
"paramylodon garbanii cf.",2
"pediomys",2
"perognathus strigipredus",2
"peronidia",2
"peronosporomycetes",2
"phasianinae",2
"phocidae",2
"pipilo sp.",2
"podicipedidae",2
"pooecetes cf.",2
"predicrostonyx",2
"proboscidea ?",2
"productina",2
"progymnospermophyta",2
"protothaca staleyi",2
"pteridaceae",2
"remondella gabbi",2
"rhinocheilus lecontei cf.",2
"richardoestesia",2
"rostrospiroidea",2
"salpinctes obsoletus cf.",2
"saurornitholestes langstoni",2
"scalopus sp.",2
"sciuridae",2
"scutellaster cretaceus",2
"securella securis",2
"serripes groenlandicus",2
"serripes laperousii",2
"solamen columbianum",2
"sphenobaiera",2
"sphenopteris",2
"spiriferellina sp.",2
"stegomastodon sp.",2
