"order","reps"
"Eurypterida",238
"Arbacoida",236
"Ichnites",236
"Uranoscopiformes",235
"PELYCOSAURIA",234
"Amphinomida",233
"Euphorbiales",233
"PTEROSAURIA",233
"Archaeocyathida",232
"Ascocerida",230
"ANTIARCHI",228
"Leptolepiformes",225
"Ebenales",224
"Mesostigmata",224
"Slopalinida",224
"Molpadiida",222
"Trigonoida",222
"Aspidorhynchiformes",219
"Hexactinosida",218
"Priacanthiformes",217
"CROCODYLIA",215
"Cerithimorpha",214
"CLUPEIFORMES",214
"Dendrocrinida",214
"Protorthida",214
"Tubicola",214
"Ricinulei",213
"Thecideida",213
"Diptera?",212
"Echinoida",211
"VALVATIDA",211
"Sphenacodontia",210
"Dilleniales",208
"Euryalida",208
"Hydrocharitales",207
"Hypsogastropoda",207
"Synbranchiformes",206
"Phoenicopteriformes",205
"Pygocephalomorpha",205
"Cryptostomida",204
"FISH COPROLITE",203
"PACHYCORMIFORMES",203
"PASSERIFORMES",203
"Cornulitida",201
"Dentalida",201
"Bactritida",200
"Pectinoidea",200
"Heteractinida",199
"Petromyzontiformes",199
"THECOSOMATA",199
"Notacanthiformes",198
"Reculida",197
"Allocaudata",195
"ISOCRININA",195
"PLESIOSAURIA",195
"Thalattosauria",195
"Mesonychia",194
"Zeiformes",194
"Conocardiida",192
"Scrophulariales",192
"Canalipalpata",191
"Arcidae",189
"Bradoriida",189
"Radiodonta",189
"Coliiformes",188
"Echinodermata",187
"Gasterosteiformes",187
"Palaechinoida",187
"Torpediniformes",186
"Scorpionida",185
"Umbellales",185
"Casuariiformes",184
"Coleoptera?",184
"Cardita",183
"SALENOIDA",183
"Squatiniformes",181
"Hesperornithiformes",180
"Arhynchobdellida",178
"Caproiformes",178
"Myopsida",178
"Systellommatophora",178
"Obolellida",176
"Sphinctozoa",176
"URODELA",176
"Anabantiformes",175
"Kutorginida",175
"TSELFATIIFORMES",175
"Iniopterygiformes",174
"Rhynchonellata",174
"CYPRINODONTIFORMES",173
"unassigned",172
"Dasycladales",171
"Plumatellida",170
"Arthropoda",169
"Pholidota",169
"Haplotaxida",168
"Polymixiiformes",168
"Rubiales",168
"TABULATA",168
"Dentiliida",167
"Sipunculiformes",167
"GRAPTOLOIDEA",166
"Aciculata",165
"Amphisbaenia",165
"Cete",165
"Halecostomi",165
"Roveacrinida",165
"Peltaspermales",164
"Reticulosa",164
"Cyclophyllidea",163
"Pharetronida",163
"Trigoniida",163
"Plesiosauria",161
"Rutales",161
"Trimerellida",161
"Zingiberales",161
"Bourgueticrinida",160
"Ctenacanthiformes",160
"Osteolepiformes",160
"Astrophorida",159
"PHACOPIDA",158
"Triconodonta",158
"Millericrinida",157
"Crocodylomorpha",156
"Hydrocorallina",156
"Incertae Sedis",156
"Lampriformes",156
"Metacopida",156
"Paterinida",156
"Ellimmichthyiformes",155
"Lychniskida",154
"Anthracosauria",153
"CYPRINIFORMES",153
"Protorosauria",153
"SAURISCHIA",153
"Spirillinida",153
"?",152
"Halocyprida",152
"Aglaspida",151
"ECHINOIDA",151
"Stomopneustoida",151
"Marsupialia? indet",150
"PHYMOSOMATOIDA",150
"Anagalida",149
"Billingsellida",149
"SILURIFORMES",148
"TEMNOPLEUROIDA",148
"Uropygi",146
"Caryophyllales",145
"Ceratodontiformes",145
"Cercidiphyllales",145
"CROSSOPTERYGII",145
"Salviniales",145
"Arbacioida",142
"Ellesmerocerida",142
"Stromboidea",142
"Halichondrida",141
"Pennatulacea",141
"Chradriiformes",140
"Robertinida",140
"Sauropterygia",140
"Typhales",138
"Lepidopleurida",137
"CIMOLESTA",136
"Miomera",136
"Spirulida",136
"NEOLORICATA",135
"Salvinales",135
"Paucituberculata",134
"COELACANTHIFORMES",133
"Violales",133
"BATOIDEA",132
"Charales",132
"Trigonocarpales",132
"Unionida",131
"Buxales",130
"Cladocera",130
"Lithornithiformes",130
"Dinocerata",129
"Gogiida",129
"Myricales",128
"Voltziales",128
"XENARTHRA",128
"Aistopoda",127
"Elasipodida",127
"Alismatales",126
"ANSERIFORMES",126
"Pachycormiformes",126
"Struthioniformes",126
"Cephalaspida",125
"Labechiida",125
"Ptyctodontida",125
"Leptothecata",124
"Pholidophoriformes",124
"Ctenostomata",122
"Monostilifera",120
"TREPOSTOMATIDA",120
"Craterostigmorpha",119
"Taxales",119
"Diadectomorpha",118
"Muchisoniina",118
"Taeniodonta",118
"Bursovaginoidea",117
"Filospermoidea",117
"Glomerida",117
"Megaloptera",117
"Pedunculata",117
"Miomoptera",116
"Teuthida",116
"Coronata",115
"Gordioida",115
"Sandcoleiformes",115
"Aracales",114
"Percopsiformes",114
"Spinulosida",114
"Cyperales",113
"Cyrotoneritomorpha",113
"Pityales",113
"RHYNCHONELLIDA",113
"Serpulimorpha",113
"Stromatoporida",112
"Lychniscosida",111
"Tillodonta",111
"insectivore indet.",110
"PANTOLESTA",110
"COMATULIDA",109
"Cyrtonellida",109
"Digenea",109
"Astrapotheria",108
"Cochliodontiformes",108
"Dryolestida",108
"Grylloblattida",108
"Hymenoptera?",108
"Solenida",106
"Tarrasiiformes",106
"Calycina",105
"Cotylosauria",105
"Stephanoberyciformes",105
"Anaspidiformes",104
"Lepidocarpales",104
"Myxiniformes",103
"Pholadacea",103
"Echinocystitoida",102
"Fenestrata",102
"Galaxiiformes",102
"Trochida",102
"Ephippiformes",101
"Eucommiales",101
"Septemchitonida",101
"Thraciida",101
"Ptenoglossa",100
"Architectibranchia",99
"Ceratophyllales",99
"Cystoporata",98
"Diplostraca",98
"Lyssacinosida",98
"Stenurida",98
"Pleurocanthodii",97
"Radiolaria",97
"Schizomida",97
"Eupantotheria",96
"SEMIONOTIFORMES",96
"Sessila",96
"STAURIIDA",96
"Coleoidea",95
"Monotremata",95
"Coscinodiscales",94
"Marchantiales",94
"Proteutheria",94
"Sacoglossa",94
"Dickinsoniamorpha",92
"Amphidiscosida",91
"BERYCIFORMES",91
"Nautiloidea",91
"Amblyopsiformes",90
"Cynodontia",90
"Heterodontiformes",90
"ORNITHISCHIA",90
"Piperales",89
"Garryales",88
"LEPISOSTEIFORMES",88
"Dictyida",87
"NOTOUNGULATA",87
"Siphonostomatoida",87
"Aulacocerida",86
"CREODONTA",86
"Stemmiulida",86
"Arthrodiriformes",85
"Ichthyornithiformes",85
"Phalangiotarbi",85
"Apiales",82
"DERMOPTERA",82
"Megasecoptera",82
"Stylephoriformes",82
"MICROSAURIA",81
"Anthoathecata",80
"Nilssoniales",80
"Uranotheria",80
"Vitales",80
"Chaetetida",79
"Docodonta",79
"Liliales",79
"Rhipidistia",79
"Captorhinomorpha",78
"Craniopsida",78
"Flabelligerida",78
"Raphidiodea",78
"Aneurophytales",77
"Corallinales",77
"Cupressales",77
"Oligopygoida",77
"GALLIFORMES",76
"Pharyngobdellida",75
"Siphonophorae",75
"Calamitales",74
"Hemiptera?",74
"Aepyornithiformes",73
"Amblypygi",73
"Callipodida",73
"GRUIFORMES",73
"Hoplostraca",73
"Poromyida",73
"ELLIMMICHTHYIFORMES",72
"INIOPTERYGIFORMES",72
"Opheliida",72
"Protelytroptera",72
"Raphidioptera",72
"[Unassigned]Patellogastropoda",72
"Aetosauria",71
"Amphionomida",71
"Pandorida",71
"Polyzoniida",71
"Chaetodermatida",70
"Guildayichthyiformes",70
"PETALODONTIDA",70
"Ischnacanthiformes",69
"Semaeostomeae",69
"Cyclostomatida",68
"Modiomorphida",68
"Seguenziida",68
"Sphenodonta",68
"Asioryctitheria",67
"Bryozoa",67
"Caytoniales",67
"Cerititida",67
"Helodontiformes",67
"HETEROCORALLIA",67
"Najadales",67
"Protolepidodendrales",67
"Siphonophorida",67
"Anthoathecatae",66
"Burgessiida",66
"Carybdeida",66
"Echinothurioida",66
"LYSOROPHIA",66
"PHOLADOMYOIDA",66
"ANASPIDEA",65
"Climatiiformes",65
"Palaeodictyoptera",65
"Araneida",64
"Ardeiformes",64
"Cumacea",64
"Docoglossa",64
"Neritoida",64
"Rhynchocephalia",64
"Cephalaspidiformes",63
"CONODONTOPHORIDA",63
"Verongida",63
"Beyrichicopida",62
"Caloneurodea",62
"Gymnosomata",62
"Hiodontiformes",62
"MONOBATHRIDA",62
"PATELLOGASTROPODA",62
"Pinnipedia",62
"Sparassodonta",62
"Diprotodontia",61
"Lucinidae",61
"Oleales",61
"Basslerocerida",60
"Cyrtodontida",60
"Notostraca",60
"Pygasteroida",60
"Dichoporita",59
"Anomodontia",58
"Coronatae",58
"Spongiophytales",58
"Tuzoida",58
"Coccolithales",57
"DIPTERIFORMES",57
"EUOMPHALINA",57
"Loftusiida",57
"NOTHOSAURIA",57
"Osteostraci",57
"Hypoperlida",56
"Ostariophysi",56
"Chancelloriida",55
"Dacryoconarida",55
"Marsupialia indet.",55
"Tetradiida",55
"Unidentified",55
"Aquifoliales",54
"Aspidales",54
"Austrobaileyales",54
"DISPARIDA",54
"ALCYONACEA",53
"Arales",53
"ATHYRIDIDA",53
"Lecithoepitheliata",53
"ORTHOCERIDA",53
"Sphaerotheriida",53
"CETE",52
"CHITONIDA",52
"NECTRIDEA",52
"THECIDEIDA",52
"Articulata",51
"Cyrtocrinida",51
"Illicales",51
"LEPTOLEPIFORMES",51
"MILLEPORINA",51
"Onychodontiformes",51
"Polemoniales",51
"RUGOSA",51
"XENACANTHIDA",51
"Angulotretida",50
"Cephalaspidae",50
"Dioscoreales",50
"Leucosolenida",50
"Pentoxylales",50
"Rhyniales",50
"ARAEOSCELIDA",49
"Archaeopteridales",49
"Archaeopulmonata",49
"Dicksoniales",49
"Hybocrinida",49
"Nematophytales",49
"Canadaspidida",48
"Cyatheales",48
"Cydippida",48
"Diadematoida",48
"Dipterida",48
"Istiophoriformes",48
"Notomyotida",48
"Ostreoida?",48
"Procolophonomorpha",48
"Umbraculida",48
"Cariamiformes",47
"Discoasterales",47
"Medusinimorpha",47
"Notoptera",47
"PALAEOCOPIDA",47
"Phyllocarida?",47
"PYCNODONTIFORMES",47
"Pyrotheria",47
"Stauriidae",47
"Aspidelliformes",46
"Cincta",46
"Desmiodontiformes",46
"Euthycarcinoida",46
"Phrynophiurida",46
"Zygopteridales",46
"HESPERORNITHIFORMES",45
"Protobranchia",45
"Pseudorthocerida",45
"Pyramidellimorpha",45
"Santalales",45
"Synapsida",45
"Agoniatitida",44
"Lichenocrinus?",44
"Petalichthyida",44
"Polycystida",44
"Porolepiformes",44
"Embrithopoda",43
"Neritomorpha",43
"ORECTOLOBIFORMES",43
"Ralliformes",43
"Rhizodontiformes",43
"Schwagerinida",43
"Selaginellales",43
"SYMMORIIDA",43
"AGNOSTIDA",42
"AMIIFORMES",42
"Dennstaedtiales",42
"Myidae",42
"Polyxenida",42
"Rangeomorpha",42
"TRIGONIOIDA",42
"Bryopsidales",41
"Fucales",41
"Oxalidales",41
"Polypteriformes",41
"Protodonata",41
"ANTHRACOSAURIA",40
"APATOTHERIA",40
"Archaeocopida",40
"Brachypoda",40
"Coenopteridales",40
"CRANIIDA",40
"EUGENEODONTIDA",40
"Loftusiidae",40
"Mesosauria",40
"Archinacellida",39
"Hymenophyllales",39
