"specificEpithet","reps"
"DUPLICATA",819
"iowensis",819
"talpoides",819
"mlynarskii",817
"trossulus",817
"ambigua",816
"rattus",816
"curta",815
"angulata",814
"inornata",814
"arkansana",812
"fuscipes",812
"navalis",812
"flavescens",811
"gabbi",811
"kingii",811
"undet",811
"annulata",810
"poweriae",809
"conica",807
"concolor",803
"leucas",802
"mucronata",801
"oceanica",800
"aduncus",798
"EBOREUS",798
"humilis",798
"latifrons",797
"schopfii",797
"galbula",796
"sp 1",796
"ramosa",795
"septemspinosa",795
"wabashensis",795
"fornicata",793
"diaphana",792
"conoideus",790
"megacephala",790
"tener",790
"LATERALIS",789
"PLANA",789
"pellucida",786
"SUBOVATA",783
"lurida",781
"troglodytes",780
"fimbriata",778
"radiatus",778
"boa",777
"glaber",777
"truncatulinoides",776
"depressus",775
"PLICATELLA",775
"venusta",775
"obesa",774
"texanum",774
"arboreus",773
"spinulosus",772
"ACULEATUS",771
"angulatus",771
"sinuatus",771
"clamitans",770
"dominica",770
"hygomii",770
"madagascariensis",770
"pennsylvanica",770
"frondicola",769
"ARATA",767
"unicolor",766
"olssoni",765
"xerampelina",764
"verrucosa",763
"clypeatus",759
"affine",758
"milleri",758
"proxima",757
"panamensis",756
"coloradoensis",755
"patula",755
"purpureus",755
"chemungensis",754
"crucifer",752
"wilsoni",752
"conspersus",751
"quadriplicata",751
"quiscula",751
"pectinata",750
"podiceps",749
"cuspidata",746
"xiphodon",746
"GOULDII",745
"granulosus",745
"nambeensis",745
"variegatus",745
"ellogimus",742
"eurytheme",742
"stratulus",742
"antiqua",741
"sexguttatus",741
"vermicularis",741
"anceps",740
"priscus",740
"thesaurensis",740
"trentonensis",740
"inaequalis",739
"lasallensis",739
"teres",739
"rarinervis",738
"furcata",737
"aequalis",736
"copeanus",735
"davisi",735
"rosea",734
"fuliginosus",732
"guadalupensis",732
"virginiensis",732
"cylindrica",731
"goldfussi",731
"loveorum",731
"muricata",729
"pica",729
"uniformis",729
"constrictor",728
"dilatata",728
"sialis",728
"gracile",724
"edulis",723
"aurata",722
"fossilis",722
"narinari",722
"pensylvanica",721
"vibex",721
"angolensis",720
"hasitata",720
"nodulosa",720
"bellistriata",719
"setigera",718
"georgiana",717
"cincinnatiensis",716
"gouldii",716
"chrysaetos",715
"obsoletus",715
"SPECIOSA",715
"auriculatus",714
"mayri",714
"demissa",713
"gallopavo",713
"medius",712
"serratus",711
"dentata",710
"iris",709
"rockymontanus",709
"perspicillata",708
"idahoensis",707
"SAYANA",707
"trilineata",707
"GIGANTEUS",706
"guppyi",706
"tortacloaca",706
"edwardsi",704
"lyelli",704
"sp. A",703
"violacea",703
"asio",702
"grangeri",702
"platyrhynchos",702
"pygmaeus",701
"braueri",700
"hemispherica",699
"leptostomus",699
"amoenum",698
"asper",698
"KUGLERI",697
"sessile",697
"cromis",696
"decorus",696
"tricolor",696
"cunicularia",695
"cyaneus",695
"GRANULATA",695
"circularis",694
"columbiana",694
"nebulosus",693
"quadrata",693
"undatum",693
"dekayi",692
"LATILIRATA",692
"sumani",692
"cayana",691
"microdon",690
"MACULATA",689
"defensor",685
"hilli",684
"waterhousii",684
"arborea",683
"indianensis",683
"pipiens",683
"WAGNERIANA",683
"increbescens",682
"CORNUTA",679
"profunda",679
"pruinosus",679
"pinetis",678
"cataracta",677
"triangulum",677
"lapillus",676
"VIRGINICA",676
"maritimus",675
"longifolia",674
"exigua",671
"hirundo",670
"longiramus",670
"typhonius",670
"graysonana",668
"leiseyi",668
"emsliei",667
"pilifera",667
"compacta",666
"giganteus",665
"subtortuosa",664
"bimaculatus",663
"CRENELLA",663
"maculatum",663
"signifera",663
"chaneyi",660
"conchaphila",660
"eugeneae",660
"tessellata",659
"arenaria",658
"cinnamomeoventris",657
"schmidti",656
"testudinaria",656
"gilvus",655
"africanus",654
"suborbitale",654
"domesticus",653
"jelskii",653
"lenis",653
"cordylina",652
"pulcher",652
"schucherti",650
"crocodilus",649
"longipes",649
"prolifica",649
"rona",649
"umbellus",649
"curvilateralis",647
"ELEGANS",647
"hicksi",647
"terrapin",646
"opacicollis",645
"californianus",644
"lineatum",644
"comprimus",643
"calcaratus",642
"acadica",640
"cingulata",639
"digitalis",639
"gramineus",639
"wattsi",639
"humeralis",637
"sphenophylloides",634
"stellata",634
"torquata",634
"derbyi",633
"sinensis",633
"lividus",632
"toro",632
"knoxense",631
"ladon",631
"ALBA",630
"muscarum",630
"regina",630
"CHIPOLANUS",629
"africana",627
"duplicata",627
"MORTONI",627
"dawsoni",626
"solitaria",624
"ustulatus",624
"alabamensis",623
"atlanticum",622
"cowlitzensis",622
"walkeri",622
"MARYLANDICA",620
"rotunda",620
"ruficeps",620
"limifrons",619
"ludwigi",619
"polita",619
"afer",618
"chilensis",618
"arcuatus",616
"kuszmauli",615
"latidens",615
"nasutus",615
"ulrichi",615
"squamosa",614
"gemma",613
"norwoodi",613
"leucoptera",612
"obesus",612
"picturatus",612
"utahensis",612
"eocenica",611
"neorufibarbis",611
"enucleator",610
"fowleri",610
"angusta",609
"annectens",608
"knighti",608
"pergandei",608
"rufa",607
"CONGREGATA",606
"lynx",606
"w-nigrum",606
"barracuda",605
"sylvatica",605
"williamsonii",605
"bilineata",604
"vison",604
"campestris",603
"elliptica",602
"fossatus",601
"hystrix",601
"alta",600
"gilberti",600
"gregarius",600
"albifrons",599
"eomigrans",599
"stocki",599
"agassizii",598
"pedaliota",598
"cornuta",597
"melanocephalum",597
"mephitis",597
"celata",596
"DALLI",596
"nana",596
"bottae",595
"barrisi",594
"cliftonensis",594
"inermis",594
"furcifera",592
"philodice",592
"breviceps",590
"cyanea",590
"limatula",590
"spinulosa",590
"muelleri",589
"photonotus",589
"sinuata",589
"spinifera",589
"verneuili",589
"ANABATHRUM",588
"evermanni",588
"fratris",588
"nearcticus",588
"albogularis",587
"bovidens",587
"erminea",587
"NIMBOSA",587
"striatula",587
"emarginatum",586
"cuniculus",585
