"index.order","reps"
"harpacticoida",98
"radiolaria",98
"stenurida",98
"metacopida",97
"schizomida",97
"ctenostomata",96
"eupantotheria",96
"lysorophia",96
"monotremata",96
"plagiorchiida",96
"pleurocanthodii",96
"semaeostomeae",96
"coleoidea",95
"ovalentaria",95
"ellesmerocerida",94
"heterodontiformes",94
"desmostylia",93
"hydroida",93
"sepiolida",93
"siphonostomatoida",92
"cynodontia",90
"petalodontida",90
"cyperales",89
"otidiformes",89
"mysida",88
"opisthopora",88
"architectibranchia",86
"myodocopida",86
"stemmiulida",86
"arthrodiriformes",85
"dickinsoniamorpha",85
"phalangiotarbi",85
"psilotales",84
"megasecoptera",82
"trigoniida",81
"acroida",80
"ctenostomatida",80
"uranotheria",80
"amblypygi",79
"chaetetida",79
"docodonta",79
"rhipidistia",79
"siphonophorae",79
"aulacocerida",78
"craniopsida",78
"ephedrales",78
"notostraca",78
"trigonoida",78
"violales",78
"geraniales",77
"scombriformes",77
"aneurophytales",76
"archaeopulmonata",76
"crocodylomorpha",76
"cubomedusae",76
"gymnosomata",76
"pholidophoriformes",75
"brassicales",74
"hemiptera?",74
"umbraculida",74
"aepyornithiformes",73
"bourgueticrinida",73
"callipodida",73
"hoplostraca",73
"pholadida",73
"septemchitonida",73
"opheliida",72
"[unassigned]patellogastropoda",72
"aetosauria",71
"amphionomida",71
"polyzoniida",71
"centrarchiformes",70
"chaetodermatida",70
"echinothurioida",70
"filospermoidea",70
"guildayichthyiformes",70
"helodontiformes",70
"ischnacanthiformes",69
"nothosauria",69
"unassigned",69
"carditida",68
"cumacea",68
"diadematoida",68
"protelytroptera",68
"seguenziida",68
"asioryctitheria",67
"bryozoa",67
"caytoniales",67
"cerititida",67
"protolepidodendrales",67
"euphorbiales",66
"onychodontiformes",66
"osteostraci",66
"leucosolenida",65
"pempheriformes",65
"verongiida",65
"docoglossa",64
"cephalaspidiformes",63
"nilssoniales",62
"pygasteroida",61
"coronatae",60
"cyrtodontida",60
"dichoporita",60
"dictyida",60
"sphaerotheriida",60
"rhizostomeae",59
"anomodontia",58
"austrobaileyales",58
"cercidiphyllales",58
"spongiophytales",58
"tuzoida",58
"aglaspida",57
"caloneurodea",57
"crocodilia",57
"dipteriformes",57
"hiatellida",57
"miomoptera",57
"xenacanthida",57
"cystoporata",56
"palaeodictyoptera",56
"marsupialia indet.",55
"siphonophorida",55
"tetradiida",55
"unidentified",55
"climatiiformes",54
"pholadacea",54
"crossosomatales",53
"eugeneodontida",53
"lecithoepitheliata",53
"araeoscelida",52
"chancelloriida",52
"cyclopoida",52
"fucales",52
"hybocrinida",52
"sphaeropleales",52
"araneida",51
"illicales",51
"notomyotida",51
"angulotretida",50
"huerteales",50
"pentoxylales",50
"rhyniales",50
"archaeopteridales",49
"cydippida",49
"enterogona",49
"gonorynchiformes",49
"helioporacea",49
"modiomorphida",49
"nematophytales",49
"dipterida",48
"ostreoida?",48
"procolophonomorpha",48
"medusinimorpha",47
"phyllocarida?",47
"pyrotheria",47
"stauriidae",47
"thoracica",47
"aspidelliformes",46
"basslerocerida",46
"cincta",46
"desmiodontiformes",46
"ebenales",46
"eurotiales",46
"cochliodontiformes",45
"phrynophiurida",45
"pseudorthocerida",45
"synapsida",45
"agoniatitida",44
"beroida",44
"cycloneritomorpha",44
"euthycarcinoida",44
"lichenocrinus?",44
"notoptera",44
"polycystida",44
